Name,Gen,Gen2,Description,Note,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Reaper Cloth,4,,A held item that allows Dusclops to evolve into Dusknoir when traded.,,れいかいのぬの,Reikai no Nuno,Tissu Fauche,Düsterumhang,Terrorpanno,Tela Terrible,영계의천,Yeonggye-ui Cheon,靈界之布 / 灵界之布,Língjiè-zhī Bù / Lìhnggaai-jī Bou,16
Oak's Letter,4,,Opens the Seabreak Path and allows the user to face Shaymin.,,オーキドのてがみ,Okido no Tegami,Lettre Chen,Eichs Brief,Lettera di Oak,Carta Pr Oak,오박사의 편지,O-baksa-ui Pyeonji,大木的信,Dàmù-de Xìn / Daaihmuhk-dīk Seun,0
Ice Memory,7,,Makes Silvally a Ice-type Pokémon and makes Multi-Attack a Ice-type move.,,アイスメモリ,Ice Memory,ROM Glace,Eis-Disc,ROM Ghiaccio,Disco Hielo,아이스메모리,Ice Memory,"冰雪記憶碟*
冰雪存储碟","Bīngxuě Jìyìdié / Bīngsyut Geiyīkdihp*
Bīngxuě Cúnchǔdié",3
Nomel Berry,3,,Pokéblock and Poffin ingredient.,,ノメルのみ,Nomel no Mi,Baie Tronci,Tronzibeere,Baccalemon,Baya Monli,노멜열매,Nomel Yeolmae,檬檸果 / 檬柠果,Méngníng Guǒ / Mūngnìhng Gwó,0
Ice Stone,7,,Can be used to evolve Alolan Sandshrew and Alolan Vulpix.,,こおりのいし,Kōri no Ishi,Pierre Glace,Eisstein,Pietragelo,Piedra Hielo,얼음의돌,Eoreum-ui Dol,冰之石,Bīng-zhī Shí / Bīng-jī Sehk,0
Sun Stone,2,,"Can be used to evolve Sunkern, Gloom, Cottonee, Petilil, and Helioptile.",,たいようのいし,Taiyō no Ishi,Pierre Soleil,Sonnenstein,Pietrasolare,Piedra Solar,태양의돌,Taeyang-ui Dol,日之石,Rì-zhī Shí / Yaht-jī Sehk,128
Steel Teeth,3,,Give to the old man in front of Under Colosseum to obtain the L-Disk.,,はがねのいれば,Hagane no Ireba,Dentier d'Acier,Zahnprothese,Dentacciaio,Dentadura,,,,,0
Liberty Pass,5,,Gives access to Liberty Garden.,,リバティチケット,Liberty Ticket,Passe Liberté,Gartenpass,Liberticket,Ticket Libertad,리버티티켓,Liberty Ticket,自由船票,Zìyóu Chuánpiào / Jihyàuh Syùhnpiu,128
King's Rock,2,,Slightly increases the chances of inflicting the Flinch condition on the opponent. Allows Slowpoke and Poliwhirl to evolve when traded.,,おうじゃのしるし,Ōja no Shirushi,Roche Royale,King-Stein,Roccia Di Re,Roca del Rey,왕의징표석,Wang-ui Jingpyoseok,王者之證 / 王者之证,Wángzhě-zhī Zhèng / Wòhngjé-jī Jing,0
Premier Ball,3,,A Poké Ball with special coloring. The Poké Mart cashier will give one to the player for free if ten or more standard Poké Balls are purchased.,,プレミアボール,Premier Ball,Honor Ball,Premierball,Premier Ball,Honor Ball,프레미어볼,Premier Ball,紀念球 / 纪念球,Jìniàn Qiú / Géinihm Kàuh,0
Salac Berry,3,,Raises Speed when HP is below ⅓ of maximum.,,カムラのみ,Camula no Mi,Baie Sailak,Salkabeere,Baccasalak,Baya Aslac,캄라열매,Kamra Yeolmae,沙鱗果 / 沙鳞果,Shālín Guǒ / Sālèuhn Gwó,0
Loot Sack,,,,,たからぶくろ,Takara Bukuro,Sac Butin,Beutesack,Bottinosacca,Saca Botín,보물주머니,Bomul Jumeoni,寶物袋 / 宝物袋,Bǎowù Dài / Bóumaht Doih,0
Purple Nectar,7,,Changes Oricorio to its Sensu Style.,,むらさきのミツ,Murasaki no Mitsu,Nectar Mauve,Purpurner Nektar,Nettare viola,Néctar Violeta,보라꿀,Bora Kkul,蘭紫色花蜜 / 兰紫色花蜜,Lánzǐ-sè Huāmì / Làahnjí-sīk Fāmaht,0
Lure Ball,2,,A type of Poké Ball that works best on Pokémon caught using a rod.,,ルアーボール,Lure Ball,Appat Ball,Köderball,Esca Ball,Cebo Ball,루어볼,Lure Ball,誘餌球 / 诱饵球,Yòu'ěr Qiú / Yáuhneih Kàuh,0
Yellow Apricorn,2,,"If taken to Kurt, he will make the player a Moon Ball out of it.",Formatted as Ylw Apricorn prior to Generation VI.,きぼんぐり,Ki Bonguri,Noigrume Jne,Aprikoko Glb,Ghicocca Gialla,Bonguri Amarillo,노랑규토리,Norang Gyutori,黃球果 / 黄球果,Huáng Qiúguǒ / Wòhng Kàuhgwó,1072
Sablenite,6,,Allows Sableye to Mega Evolve into Mega Sableye.,,ヤミラミナイト,Yamiraminite,Ténéfixite,Zobirisnit,Sableyeite,Sableynita,깜까미나이트,Kamkaminite,勾魂眼進化石 / 勾魂眼进化石,Gōuhúnyǎn Jìnhuà Shí / Ngāuwàhnngáahn Jeunfa Sehk,0
Super Potion,1,,Restores 60 HP. (50HP before Gen. VII).,,いいキズぐすり,Ii Kizu Gusuri,Super Potion,Supertrank,Super Pozione,Superpoción,좋은상처약,Jo-eun Sangcheo Yak,好傷藥 / 好伤药,Hǎo Shāngyào / Hóu Sēungyeuhk,16
Lens Case,6,,Stores colored contact lenses that allow the player to change their eye color.,,レンズケース,Lens Case,Boîte Lentilles,Linsenetui,Portalenti,Portalentillas,렌즈케이스,Lens Case,隱形眼鏡盒 / 隐形眼镜盒,Yǐnxíng Yǎnjìng Hé / Yányìhng Ngáahngeng Hahp,0
Yellow Nectar,7,,Changes Oricorio to its Pom-Pom Style.,,やまぶきのミツ,Yamabuki no Mitsu,Nectar Jaune,Gelber Nektar,Nettare giallo,Néctar Amarillo,진노랑꿀,Jinnorang Kkul,金黃色花蜜 / 金黄色花蜜,Jīnhuáng-sè Huāmì / Gāmwòhng-sīk Fāmaht,0
Magmarizer,4,,A held item that allows Magmar to evolve when traded.,,マグマブースター,Magma Booster,Magmariseur,Magmaisierer,Magmatore,Magmatizador,마그마부스터,Magma Booster,熔岩增幅器,Róngyán Zēngfú Qì / Yùhngngàahm Jāngfūk Hei,0
Storage Key,4,,Gives the player access to the Galactic Warehouse in Veilstone City.,,そうこのカギ,Sōko no Kagi,Clé Stockage,Lagerschlüssel,Chiave magazzino,Llave Almacén,창고열쇠,Changgo Yeolsoe,倉庫鑰匙 / 仓库钥匙,Cāngkù Yàoshi / Chōngfu Yeuhksìh,32
Steel Mail,4,,Mail with a metallic design. To be held by a Pokémon for delivery.,,スチールメール,Steel Mail,Lettre Acier,Stahlbrief,Mess. Lega,Carta Acero,스틸메일,Steel Mail,,,0
Full Heal,1,,Cures any status condition.,,なんでもなおし,Nandemo Naoshi,Total Soin,Hyperheiler,Cura Totale,Cura Total,만병통치약,Manbyeongtongchiyak,萬靈藥 / 万灵药,Wànlíngyào / Maahnlìhngyeuhk,0
Wide Lens,4,,Boosts accuracy of holder by an 110%.,,こうかくレンズ,Kōkaku Lens,Loupe,Großlinse,Grandelente,Lupa,광각렌즈,Gwanggak-lens,廣角鏡 / 广角镜,Guǎngjiǎo Jìng / Gwónggok Geng,0
Shell Bell,3,,Restores HP to the holder based on damage inflicted to the opponent.,,かいがらのすず,Kaigara no Suzu,Grelot Coque,Seegesang,Conchinella,Campana Concha,조개껍질방울,Jogaekkeopjil Bang-ul,貝殼之鈴 / 贝壳之铃,Bèiké-zhī Líng / Buihok-jī Lìhng,0
Fluffy Tail,3,,Allows the player to flee from any wild Pokémon battle.,,エネコのシッポ,Eneco no Shippo,Queue Skitty,Eneco-Rute,Coda Skitty,Cola Skitty,에나비꼬리,Enabi Kkori,向尾喵的尾巴,Xiàngwěimiāo-de Wěibā/Xiàngwěimiāo-de Yǐba / Heungméihmīu-dīk Méihbā,0
Dubious Disc,4,,A hold item that allows Porygon2 to evolve when traded.,,あやしいパッチ,Ayashii Patch,CD Douteux,Dubiosdisc,Dubbiodisco,Discoxtraño,괴상한패치,Goesanghan Patch,可疑補丁 / 可疑补丁,Kěyí Bǔdīng / Hóyìh Bóudīng,0
Energy Root,2,,"Restores 200 HP, but lowers friendship.",,ちからのねっこ,Chikara no Nekko,Racine Énergie,Kraftwurzel,Radicenergia,Raíz Energía,힘의뿌리,Himui Ppuri,元氣根 / 元气根,Yuánqì Gēn / Yùhnhei Gān,128
Dome Fossil,3,,A Fossil from which a Kabuto can be resurrected.,,こうらのカセキ,Kōra no Kaseki,Fossile Dôme,Domfossil,Domofossile,Fósil Domo,껍질화석,Kkeopjil Hwaseok,甲殼化石 / 甲壳化石,Jiǎké Huàshí / Gaaphok Fasehk,128
Aerodactylite,6,,Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.,,プテラナイト,Pteranite,Ptéraïte,Aerodactylonit,Aerodactylite,Aerodactylita,프테라나이트,Pteranite,化石翼龍進化石 / 化石翼龙进化石,Huàshíyìlóng Jìnhuà Shí / Fasehkyihklùhng Jeunfa Sehk,0
PP Max,3,,Raises the PP of a move to the maximum.,,ポイントマックス,Point Max,PP Max,AP-Top,PP-Max,PP Máximos,포인트 맥스,Point Max,ＰＰ極限提升劑 / ＰＰ极限提升剂,PP Jíxiàn Tíshēngjì / PP Gihkhaahn Tàihsīngjaih,16
Fame Checker,3,,"Records information on famous people, such as Gym Leaders.",,ボイスチェッカー,Voice Checker,Memorydex,Ruhmesdatei,PokéVIP,Memorín,,,,,0
Escape Rope,1,,Teleports the player out of a cave or dungeon if the player cannot find the way out.,,あなぬけのヒモ,Ananuke no Himo,Corde Sortie,Fluchtseil,Fune di Fuga,Cuerda Huida,동굴탈출로프,Donggul Talchul Rope,離洞繩 / 离洞绳,Lídòng Shéng / Lèihduhng Sìhng,0
Tidal Bell,4,,Allows the Kimono Girls to summon Lugia.,,うみなりのスズ,Uminari no Suzu,Glas tempête,Gischtglocke,Camp. Onda,Camp. Oleaje,해명의방울,Haemyeong-ui Bang-ul,海聲鈴鐺 / 海声铃铛,Hǎishēng Língdāng / Hóisīng Lìhngdōng,0
Great Ball,1,,A moderately good type of Poké Ball.,,スーパーボール,Super Ball,Super Ball,Superball,Mega Ball,Superball,수퍼볼,Super Ball,超級球 / 超级球,Chāojí Qiú / Chīukāp Kàuh,16
Bloom Mail,4,,A flower-printed stationery. To be held by a Pokémon for delivery.,,ブルームメール,Bloom Mail,Lett. Pétale,Blütenbrief,Mess. Petalo,Carta Flores,블룸메일,Bloom Mail,,,0
Grass Memory,7,,Makes Silvally a Grass-type Pokémon and makes Multi-Attack a Grass-type move.,,グラスメモリ,Grass Memory,ROM Plante,Pflanzen-Disc,ROM Erba,Disco Planta,그래스메모리,Grass Memory,"青草記憶碟*
青草存储碟","Qīngcǎo Jìyìdié / Chīngchóu Geiyīkdihp*
Qīngcǎo Cúnchǔdié",3
Adrenaline Orb,7,,"When used, makes wild Pokémon more likely to call allies for help in an SOS Battle. Is not consumed if it fails. If the holder is affected by Intimidate, its Speed is increased by one stage.",,ビビリだま,Bibiri Dama,Orbe Frousse,Zitterorb,Fifasfera,Nerviosfera,주눅구슬,Junuk Guseul,膽怯球 / 胆怯球,Dǎnqiè Qiú / Dáamhip Kàuh,0
Fist Plate,4,,Raises the power of Fighting-type moves.,,こぶしのプレート,Kobushi no Purēto,Plaque Poing,Fausttafel,Lastrapugno,Tabla Fuerte,주먹플레이트,Jumeok Plate,拳頭石板 / 拳头石板,Quántóu Shíbǎn / Kyùhntàuh Sehkbáan,0
Honey,4,,Can be slathered on orange trees to attract rare Pokémon; or used in grass to attract wild Pokémon the same way Sweet Scent does.,,あまいミツ,Amai Mitsu,Miel,Honig,Miele,Miel,달콤한꿀,Dalkomhan Kkul,甜甜蜜,Tiántián Mì / Tìhmtìhm Maht,0
Greet Mail,5,,Stationary for introductory greetings. To be held by a Pokémon for delivery.,,はじめてメール,Hajimete Mail,Lettre Salut,Grußbrief,Mess. Inizio,C. Inicial,첫메일,Cheot Mail,初次郵件 / 初次邮件,Chūcì Yóujiàn / Chōchi Yàuhgín,0
Town Map,1,,Contains an interactive map of the region and where the player is at the time.,,タウンマップ,Town Map,Carte,Karte,Mappa,Mapa,타운맵,Town Map,城鎮地圖 / 城镇地图,Chéngzhèn Dìtú / Sìhngjan Deihtòuh,16
Prison Bottle,6,,Used to transform Hoopa Confined to Hoopa Unbound.,,いましめのつぼ,Imashime no Tsubo,Vase Scellé,Banngefäß,Vaso del vincolo,Vasija Castigo,굴레의항아리,Gulle-yi Hang-ari,懲戒之壺 / 惩戒之壶,Chéngjiè-zhī Hú / Chìhnggaai-jī Wùh,0
Odd Keystone,4,,A stone that can trap Spiritomb.,,かなめいし,Kaname Ishi,Clé de Voûte,Spiritkern,Roccianima,Piedra Espíritu,쐐기돌,Sswaegi Dol,楔石,Xiē Shí / Sit Sehk,16
Gonzap's Key,3,,Opens an item box containing TM30 (Shadow Ball).,,ゴンザのカギ,Gonza no Key,Cle Helgonza,Schlüssel,Chiave Helg.,Llave Golka,,,,,0
Soda Pop,1,,Restores 50 HP. (60HP before Gen. VII).,,サイコソーダ,Saiko Soda,Soda Cool,Sprudel,Gassosa,Refresco,미네랄사이다,Mineral Cider,勁爽汽水 / 劲爽汽水,Jìnshuǎng Qìshuǐ / Gihngsóng Heiséui,0
Teru-sama,2,,A group of dummy items. Unobtainable during normal gameplay.,,,,,,,,,,,,0
Grass Mail,4,,Mail with a grass pattern. To be held by a Pokémon for delivery.,,グラスメール,Grass Mail,Lettre Herbe,Wiesenbrief,Mess. Erba,Carta Hierba,잔디메일,Jandi Mail,,,0
Subway Key,3,,Operates the subway between The Under and the Shadow PKMN Lab.,,ちかてつのカギ,Chikatetsu no Kagi,Cle de Contact,Zugschlüssel,Chiave Metro,Llave Metro,,,,,0
Passho Berry,4,,Reduces damage from a super effective Water-type move.,,イトケのみ,Itoke no Mi,Baie Pocpoc,Foepasbeere,Baccapasflo,Baya Pasio,꼬시개열매,Kkosigae Yeolmae,千香果,Qiānxiāng Guǒ / Chīnhēung Gwó,0
Silver Leaf,2,,May be held by a Pokémon transferred from Generation I.,,ぎんのはっぱ,Gin no Happa,Feuille Arg.,Silberblatt,Fogliargento,Hoja Plata,은빛나뭇잎,Eunbit Namunnip,,,0
Ein File C,3,,Describes Celebi.,,ボルグファイルＣ,Borg File C,Dossier Teck C,Culpa-Akte C,Genus.File C,Parte Ein: C,,,,,0
Diancite,6,,Allows Diancie to Mega Evolve into Mega Diancie.,,ディアンシナイト,Diancinite,Diancite,Diancienit,Diancite,Diancita,디안시나이트,Diancienite,蒂安希進化石 / 蒂安希进化石,Dì'ānxī Jìnhuà Shí / Dai'ōnhēi Jeunfa Sehk,0
Surprise Mulch,6,,"When applied to a Berry patch, increases the chance of Berry mutation.",,びっくりこやし,Bikkuri Koyashi,Fertistantané,Wundermulch,Fertilsorpresa,Abono Sorpresa,깜놀비료,Kkamnol Biryo,吃驚肥 / 吃惊肥,Chījīng Féi / Hekgīng Fèih,0
Reply Mail,5,,Stationary for writing a reply. To be held by a Pokémon for delivery.,,おかえしメール,Okaeshi Mail,Let. Réponse,Rückbrief,Mess. Risp.,C. Respuesta,답장메일,Dapjang Mail,回覆郵件 / 回复邮件,Huífù Yóujiàn / Wùihfūk Yàuhgín,0
Galactic Key,4,,Allows player to access the Galactic HQ in Veilstone City.,,ギンガだんのカギ,Ginga-dan no Kagi,Clé Galaxie,G-Schlüssel,Galachiave,Ll. Galaxia,갤럭시단의 열쇠,Galaxy Dan-ui Yeolsoe,銀河隊鑰匙 / 银河队钥匙,Yínhé Duì Yàoshi / Ngàhnhòh Déui Yeuhksìh,0
Bonsly Photo,3,,The Battle Bingo prize for winning/using the Bonsly Card.,,ウソハチ・フォト,Usohachi Photo,Photo Manzai,Mobai-Foto,Foto Bonsly,Foto Bonsly,,,,,0
Macho Brace,2,,Raises Effort values but lowers Speed.,,きょうせいギプス,Kyōsei Gips,Bracelet Macho,Machoband,Crescicappa,Brazal Firme,교정깁스,Gyojeong Gips,強制鍛鍊器 / 强制锻炼器,Qiángzhì Duànliànqì / Kèuhngjai Dyunlihnhei,144
Topo Berry,3,,"Pokéblock ingredient. If transferred to Generation IV via Pal Park, it will turn into an Enigma Berry.",,,,,,,,,,,,0
Lift Key,1,,Allows operation of the elevator (lift) in the Team Rocket Hideout.,,エレベータのカギ,Elevator no Kagi,Cle Asc.,Liftöffner,Chiave Ascensore,Llave Ascensor,엘리베이터열쇠,Elevator Yeolsoe,電梯鑰匙 / 电梯钥匙,Dìantī Yàoshi / Dihntāi Yeuhksìh,0
Level Ball,2,,A type of Poké Ball that works better on Pokémon with a lower level than the player's.,,レベルボール,Level Ball,Niveau Ball,Levelball,Level Ball,Nivel Ball,레벨볼,Level Ball,等級球 / 等级球,Děngjí Qiú / Dángkāp Kàuh,0
Swift Wing,5,,Raises the Speed of a Pokémon.,,しゅんぱつのハネ,Shunpatsu no Hane,Aile Sprint,Flinkfeder,Piumreazione,Pluma Ímpetu,순발력날개,Sunballyeok Nalgae,瞬發之羽 / 瞬发之羽,Shùnfā-zhī Yǔ / Seunfaat-jī Yúh,16
Zoom Lens,4,,A held item that boosts the critical hit ratio if the holder moves after the foe.,,フォーカスレンズ,Focus Lens,Lentille Zoom,Zoomlinse,Zoomlente,Telescopio,포커스렌즈,Focus Lens,對焦鏡 / 对焦镜,Duìjiāo Jìng / Deuijīu Geng,128
Whipped Dream,6,,Allows Swirlix to evolve when traded.,,ホイップポップ,Whip Pop,Chantibonbon,Sahnehäubchen,Dolcespuma,Dulce de Nata,휘핑팝,Whipping Pop,泡沫奶油,Pàomò nǎiyóu / Póuhmuht Náaihyàuh,0
Aguav Berry,3,,"When HP falls below 25%, restores 50% HP, but confuses Pokémon that dislike bitter food (12.5% when below 50% before Gen. VII).",,バンジのみ,Banji no Mi,Baie Gowav,Gauvebeere,Baccaguava,Baya Guaya,아바열매,Ava Yeolmae,樂芭果 / 乐芭果,Lèbā Guǒ / Lohkbā Gwó,0
Silver Powder,2,,Raises the power of Bug-type moves.,Formatted as SilverPowder prior to Generation VI.,ぎんのこな,Gin no Kona,Poudre Argentée,Silberstaub,Argenpolvere,Polvo Plata,은빛가루,Eunbit Garu,銀粉 / 银粉,Yínfěn / Ngàhnfán,1152
Pink Bow,2,,Raises the power of Normal-type moves.,,ピンクのリボン,Pink no Ribbon,Ruban Rose,Rosa Band,Fiocco Rosa,Lazo Rosa,핑크빛리본,Pink-bit Ribon,,,0
Yellow Scarf,3,,Raises the Tough condition.,,きいろのバンダナ,Kiiro no Bandana,Foul. Jaune,Gelber Schal,Fascia Gialla,Pañuelo Amarillo,노랑밴드,Norang Band,黃色頭巾 / 黄色头巾,Huáng-sè Tóujīn / Wòhng-sīk Tàuhgān,0
Mimikium Z,7,,Allows Mimikyu to upgrade Play Rough to the special Z-Move Let's Snuggle Forever.,,ミミッキュＺ,Mimikkyu-Z,Mimiquizélite,Mimigmium Z,Mimikyum Z,Mimikyustal Z,따라큐Z,Ttarakyu-Z,謎擬ＱＺ / 谜拟ＱＺ,Mínǐ-Q-Z / Màihyìh-Q-Z,0
Gold Bottle Cap,7,,Can be traded to Mr. Hyper to maximize all of a Pokémon's IVs in Hyper Training.,,きんのおうかん,Kin no Ōkan,Capsule d'Or,Goldkronkorken,Tappo d'oro,Chapa Dorada,금왕관,Geum Wanggwan,金色王冠,Jīnsè Wángguān / Gāmsīk Wòhnggūn,0
Relic Vase,5,,Can be sold for 50000 to the villa owner in Undella Town.,,こだいのツボ,Kodai no Tsubo,Vieux Vase,Alte Vase,Vasantico,Ánfora,고대의항아리,Godae-yi Hang'ari,古代之壺 / 古代之壶,Gǔdài-zhī Hú / Gúdoih-jī Wùh,0
Icium Z,7,,Allows a Pokémon to upgrade their Ice-type damaging moves to the Z-Move Subzero Slammer or upgrade their Ice-type status moves into Z-Moves. Makes Arceus an Ice-type Pokémon.,,コオリＺ,Ice-Z,Cryozélite,Glacium Z,Glacium Z,Criostal Z,얼음Z,Eol-eum-Z,冰Ｚ,Bīng-Z / Bīng-Z,0
Blue Card,2,,Allows player to answer daily question on Buena's show to get points exchangeable for items.,,ブルーカード,Blue Card,Carte Bleue,Blaue Karte,Carta Blu,Tarjeta Azul,블루카드,Blue Card,藍卡 / 蓝卡,Lán Kǎ / Làahm Kāat,0
Lock Capsule,5,,Not available without cheating. Can be relocated from HeartGold or Soul Silver to obtain TM95 (Snarl).,,ロックカプセル,Lock Capsule,Capsule Anti-vol,Tresorkapsel,Cap. Scrigno,Cáp. Candado,록캡슐,Lock Capsule,上鎖的容器 / 上锁的容器,Shàngsuǒ-de Róngqì / Séuhngsó-dīk Yùhnghei,0
Snowball,6,,Raises the holder's Attack by one stage after being hit by an Ice-type attack. Consumed after use.,,ゆきだま,Yukidama,Boule de Neige,Schneeball,Palla di Neve,Bola de Nieve,눈덩이,Nundeong-i,雪球,Xuěqiú / Syutkàuh,0
Pass,2,,"Allows the player to ride the Magnet Train between Saffron City, Kanto; and Goldenrod City, Johto.",,リニアパス,Linear Pass,Passe Train,Fahrschein,Superpass,Magnetopase,리니어패스,Linear Pass,定期月票,Dìngqī Yuèpiào / Dihngkèih Yuhtpiu,956
Clever Wing,5,,Raises the Special Defense of a Pokémon.,,せいしんのハネ,Seishin no Hane,Aile Mental,Espritfeder,Piumintuito,Pluma Mente,정신력날개,Jeongsinryeok Nalgae,精神之羽,Jīngshén-zhī Yǔ / Jīngsàhn-jī Yúh,16
Leftovers,2,,Heals a little HP at the end of each turn.,,たべのこし,Tabe Nokoshi,Restes,Überreste,Avanzi,Restos,먹다남은음식,Meokda Nameun Eumsik,吃剩的東西 / 吃剩的东西,Chīshèng-de Dōngxī / Heksihng-dīk Dūngsāi,0
Ground Gem,5,,"Increases the power of the holder's first Ground-type move by 50%, and is consumed after use.",,じめんのジュエル,Jimen no Jewel,Joyau Sol,Bodenjuwel,Bijouterra,Gema Tierra,땅주얼,Ttang Jewel,地面寶石 / 地面宝石,Dìmiàn Bǎoshí / Deihmín Bóusehk,16
Ghost Memory,7,,Makes Silvally a Ghost-type Pokémon and makes Multi-Attack a Ghost-type move.,,ゴーストメモリ,Ghost Memory,ROM Spectre,Geister-Disc,ROM Spettro,Disco Fantasma,고스트메모리,Ghost Memory,"幽靈記憶碟*
幽灵存储碟","Yōulíng Jìyìdié / Yāulìhng Geiyīkdihp*
Yōulíng Cúnchǔdié",3
Cheri Berry,3,,Heals paralysis.,,クラボのみ,Kurabo no Mi,Baie Ceriz,Amrenabeere,Baccaliegia,Baya Zreza,버치열매,Beochi Yeolmae,櫻子果 / 樱子果,Yīngzi Guǒ / Yīngjí Gwó,0
Pinap Berry,3,,Pokéblock and Poffin ingredient.,,パイルのみ,Pairu no Mi,Baie Nanana,Sananabeere,Baccananas,Baya Pinia,파인열매,Pine Yeolmae,凰梨果,Huánglí Guǒ / Wòhnglèih Gwó,0
Black Glasses,2,,Raises the power of Dark-type moves.,Formatted as BlackGlasses prior to Generation VI.,くろいメガネ,Kuroi Megane,Lunettes Noires,Schattenglas,Occhialineri,Gafas de Sol,검은안경,Geomeun An-gyeong,黑色眼鏡 / 黑色眼镜,Hēi-sè Yǎnjìng / Hāak-sīk Ngáahngeng,1152
Psychic Gem,5,,"Increases the power of the holder's first Psychic-type move by 50%, and is consumed after use.",,エスパージュエル,Esper Jewel,Joyau Psy,Psychojuwel,Bijoupsico,Gema Psíquica,에스퍼주얼,Esper Jewel,超能力寶石 / 超能力宝石,Chāonénglì Bǎoshí / Chīunàhnglihk Bóusehk,16
GS Ball,2,,Allows Celebi to be caught in Pokémon Crystal.,,ジーエスボール,GS Ball,GS Ball,GS-Ball,GS Ball,GS Ball,GS볼,GS Ball,ＧＳ球,GS Qiú / GS Kàuh,0
Litebluemail,2,,Mail with a Dratini pattern. To be held by a Pokémon for delivery.,,みずいろメール,Mizuiro Mail,LetrBleuCiel,Cyanbrief,Mess. Azzurro,Carta Azul,옥빛메일,Okbit Mail,,,0
Morph Mail,2,,Mail with a Ditto design. To be held by a Pokémon for delivery.,,へんしんメール,Henshin Mail,Lettre Morph,Morph-Brief,Mess. Morph,Cartmorfosis,변신메일,Byeonsin Mail,,,0
Kelpsy Berry,3,,"Raises friendship, but lowers Attack EV.",,ネコブのみ,Nekobu no Mi,Baie Alga,Setangbeere,Baccalga,Baya Algama,시마열매,Sima Yeolmae,藻根果,Zǎogēn Guǒ / Jóugān Gwó,0
Grass Gem,5,,"Increases the power of the holder's first Grass-type move by 50%, and is consumed after use.",,くさのジュエル,Kusa no Jewel,Joyau Plante,Pflanzenjuwel,Bijouerba,Gema Planta,풀주얼,Pul Jewel,草之寶石 / 草之宝石,Cǎo-zhī Bǎoshí / Chóu-jī Bóusehk,80
TMs (50-100 different),1,,One-time use items that can teach moves to Pokémon.,,,,,,,,,,,,0
Light Stone,5,,Stone used to revive Reshiram,,ライトストーン,Light Stone,Galet Blanc,Lichtstein,Chiarolite,Orbe Claro,라이트스톤,Light Stone,光明石,Guāngmíng Shí / Gwōngmìhng Sehk,0
Genius Wing,5,,Raises the Special Attack of a Pokémon.,,ちりょくのハネ,Chiryoku no Hane,Aile Esprit,Geniefeder,Piumingegno,Pluma Intelecto,지력날개,Jiryeok Nalgae,智力之羽,Zhìlì-zhī Yǔ / Jilihk-jī Yúh,16
Sail Fossil,6,,A Fossil from which an Amaura can be resurrected.,,ヒレのカセキ,Hire no Kaseki,Fossile Nageoire,Flossenfossil,Fossilpinna,Fósil Aleta,지느러미화석,Jineuleomi Hwaseok,鰭之化石 / 鳍之化石,Qí-zhī Huàshí / Kèih-jī Fasehk,0
Green Shard,3,,Exchangeable for a variety of services.,,みどりのかけら,Midori no Kakera,Tesson Vert,Grünstück,Coccio Verde,Parte Verde,초록조각,Chorok Jogak,綠色碎片 / 绿色碎片,Lǜsè Suìpiàn / Luhksīk Seuipin,0
God Stone,5,,Not available without cheating. Currently has no use.,,ゴッドストーン,God Stone,,,,,,,神石,Shénshí / Sàhnsehk,1024
Quick Claw,2,,May allow the user to move first.,,せんせいのツメ,Sensei no Tsume,Vive Griffe,Flinkklaue,Rapidartigli,Garra Rápida,선제공격손톱,Seonjegonggyeok Sontop,先制之爪,Xiānzhì-zhī Zhuǎ / Sīnjai-jī Jáau,0
Moon Shard,3,,Allows Eevee to evolve into Umbreon in Pokémon XD: Gale of Darkness.,,つきのかけら,Tsuki no Kakera,Eclat Lune,Mondsplitter,Coccio Lunare,Ápice Luna,,,,,0
Egg Ticket,2,,Can be exchanged for the Odd Egg.,,タマゴけん,Tamago Ken,Ticket Oeuf,Ei-Ticket,Bigl.Uovo,Ticket Huevo,,,,,0
Forage Bag,7,,Holds ingredients found during Mallow's trial.,,ざいりょうぶくろ,Zairyō Bukuro,Sac Ingrédients,Zutatenbeutel,Portaingredienti,Zurrón,재료주머니,Jaelyo Jumeoni,材料袋,Cáiliào Dài / Chòihlíu Doih,0
Blue Apricorn,2,,"If taken to Kurt, he will make the player a Lure Ball. Also, Apricorn Drink ingredient.",Formatted as Blu Apricorn prior to Generation VI.,あおぼんぐり,Ao Bonguri,Noigrume Blu,Aprikoko Blu,Ghicocca Blu,Bonguri Azul,파란규토리,Paran Gyutori,藍球果 / 蓝球果,Lán Qiúguǒ / Làahm Kàuhgwó,1072
N-Lunarizer,,,,,ネクロプラスルナ,Necro Plus Luna,Necroluna,Necrolun,Necrolunix,Necroluna,네크로플러스루나,Necro Plus Luna,奈克洛露奈合體器 / 奈克洛露奈合体器,Nàikèluò Lùnài Hétǐqì / Noihhāklok Louhnoih Hahptáihei,0
Zap Plate,4,,Raises the power of Electric-type moves.,,いかずちプレート,Ikazuchi Purēto,Plaque Volt,Blitztafel,Lastrasaetta,Tabla Trueno,우뢰플레이트,Uroe Plate,雷電石板 / 雷电石板,Léidiàn Shíbǎn / Lèuihdihn Sehkbáan,0
