ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,German,French,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
246,Larvitar,ヨーギラス,Yōgirasu,Yogiras,Larvitar,Embrylex,애버라스,Aebeoraseu,Aebŏrasŭ,Aebeoras,幼基拉斯,幼基拉斯,Yòujīlāsī,Yaugēilāaisī,"由基拉 Yóujīlā (TW/CN)
由基拉 Yàuhgēilāai (HK)"
247,Pupitar,サナギラス,Sanagirasu,Sanagiras,Pupitar,Ymphect,데기라스,Degiraseu,Tegirasŭ,Degiras,沙基拉斯,沙基拉斯,Shājīlāsī,Sāgēilāaisī,"沙基拉 Shājīlā (TW/CN)
沙基拉 Sāgēilāai (HK)"
248,Tyranitar,バンギラス,Bangirasu,Bangiras,Despotar,Tyranocif,마기라스,Magiraseu,Magirasŭ,Magiras,班基拉斯,班基拉斯,Bānjīlāsī,Bāangēilāaisī,"班吉拉 Bānjīlā (TW/CN)
班吉拉 Bāangātlāai (HK)"
249,Lugia,ルギア,Rugia,Lugia,Lugia,Lugia,루기아,Rugia,Rugia,Rugia,洛奇亞,洛奇亚,"Luòqíyǎ
Luòqíyà",Lokkèih'a,利基亞 Leihgēi'a (HK)
250,Ho-Oh,ホウオウ,Hōō,Houou,Ho-Oh,Ho-Oh,칠색조,Chilsaekjo,Ch'ilsaekcho,Chilsaeckjo,鳳王,凤王,Fèngwáng,Fuhngwòhng,鳳凰 Fuhngwòhng (HK)
251,Celebi,セレビィ,Serebī,Celebi,Celebi,Celebi,세레비,Serebi,Serebi,Celebi,時拉比,时拉比,Shílābǐ,Sìhlāaibéi,"雪拉比 Xuělābǐ (TW/CN)
雪拉比 Syutlāaibéi (HK)"
252,Treecko,キモリ,Kimori,Kimori,Geckarbor,Arcko,나무지기,Namujigi,Namujigi,Namujigi,木守宮,木守宫,Mùshǒugōng,Muhksáugūng,-
253,Grovyle,ジュプトル,Juputoru,Juptile,Reptain,Massko,나무돌이,Namudori,Namudori,Namudori,森林蜥蜴,森林蜥蜴,Sēnlínxīyì,Sāmlàhmsīkyihk,-
254,Sceptile,ジュカイン,Jukain,Jukain,Gewaldro,Jungko,나무킹,Namuking,Namuk'ing,Namuking,蜥蜴王,蜥蜴王,Xīyìwáng,Sīkyihkwòhng,-
255,Torchic,アチャモ,Achamo,Achamo,Flemmli,Poussifeu,아차모,Achamo,Ach'amo,Achamo,火稚雞,火稚鸡,Huǒzhìjī,Fójigāi,-
256,Combusken,ワカシャモ,Wakashamo,Wakasyamo,Jungglut,Galifeu,영치코,Yeongchiko,Yŏngchi'ik'o,Youngchiko,力壯雞,力壮鸡,Lìzhuàngjī,Lihkjohnggāi,-
257,Blaziken,バシャーモ,Bashāmo,Bursyamo,Lohgock,Braségali,번치코,Beonchiko,Pŏnch'ik'o,Bunchiko,火焰雞,火焰鸡,Huǒyànjī,Fóyihmgāi,-
258,Mudkip,ミズゴロウ,Mizugorō,Mizugorou,Hydropi,Gobou,물짱이,Muljjangi,Multchangi,Muljjangi,水躍魚,水跃鱼,Shuǐyuèyú,Séuiyeuhkyú,-
259,Marshtomp,ヌマクロー,Numakurō,Numacraw,Moorabbel,Flobio,늪짱이,Neupjjangi,Nŭptchangi,Nupjjangi,沼躍魚,沼跃鱼,Zhǎoyuèyú,Jíuyeuhkyú,-
260,Swampert,ラグラージ,Ragurāji,Laglarge,Sumpex,Laggron,대짱이,Daejjangi,Taetchangi,Daejjangi,巨沼怪,巨沼怪,Jùzhǎoguài,Geuihjíugwaai,-
261,Poochyena,ポチエナ,Pochiena,Pochiena,Fiffyen,Medhyèna,포챠나,Pochyana,P'och'yana,Pochana,土狼犬,土狼犬,Tǔlángquǎn,Tóulòhnghyún,-
262,Mightyena,グラエナ,Guraena,Graena,Magnayen,Grahyèna,그라에나,Geuraena,Gŭraëna,Guraeana,大狼犬,大狼犬,Dàlángquǎn,Daaihlòhnghyún,-
263,Zigzagoon,ジグザグマ,Jiguzaguma,Jiguzaguma,Zigzachs,Zigzaton,지그제구리,Jigeujeguri,Chigŭjeguri,Jigujaeguri,蛇紋熊,蛇纹熊,Shéwénxióng,Sèhmàhnhùhng,-
264,Linoone,マッスグマ,Massuguma,Massuguma,Geradaks,Linéon,직구리,Jikguri,Chikkuri,Jikguli,直衝熊,直冲熊,Zhíchōngxióng,Jihkchūnghùhng,-
265,Wurmple,ケムッソ,Kemusso,Kemusso,Waumpel,Chenipotte,개무소,Gaemuso,Kaemuso,Gaemuso,刺尾蟲,刺尾虫,Cìwěichóng,Chiméihchùhng,-
266,Silcoon,カラサリス,Karasarisu,Karasalis,Schaloko,Armulys,실쿤,Silkun,Silk'un,Silcoon,甲殼繭,甲壳茧,"Jiǎkéjiǎn
Jiǎqiàojiǎn",Gaaphokgáan,"甲殼蛹 / 甲壳蛹 Jiǎkéyǒng / Jiǎqiàoyǒng (TW/CN)
甲殼蛹 Gaaphokyúng (HK)"
267,Beautifly,アゲハント,Agehanto,Agehunt,Papinella,Charmillon,뷰티플라이,Byutipeullai,Pyut'ip'ŭllai,Beautifly,狩獵鳳蝶,狩猎凤蝶,Shòulièfèngdié,Saulihpfuhngdihp,-
268,Cascoon,マユルド,Mayurudo,Mayuld,Panekon,Blindalys,카스쿤,Kaseukun,K'asŭk'un,Cascoon,盾甲繭,盾甲茧,Dùnjiǎjiǎn,Téuhngaapgáan,-
269,Dustox,ドクケイル,Dokukeiru,Dokucale,Pudox,Papinox,독케일,Dokkeil,Tokk'eil,Dokkeil,毒粉蛾,毒粉蛾,Dúfěn'é,Duhkfanngòh,"毒粉蝶 Dúfěndié (TW/CN)
毒粉蝶 Duhkfandihp (HK)"
270,Lotad,ハスボー,Hasubō,Hassboh,Loturzel,Nénupiot,연꽃몬,Yeonkkonmon,Yŏnkkonmon,Yeonkkotmon,蓮葉童子,莲叶童子,Liányètóngzǐ,Lìhnyihptùhngjí,-
271,Lombre,ハスブレロ,Hasuburero,Hasubrero,Lombrero,Lombre,로토스,Rotoseu,Rot'osŭ,Rotosu,蓮帽小童,莲帽小童,Liánmàoxiǎotóng,Lìhnmóusíutùhng,-
272,Ludicolo,ルンパッパ,Runpappa,Runpappa,Kappalores,Ludicolo,로파파,Ropapa,Rop'ap'a,Ropapa,樂天河童,乐天河童,Lètiānhétóng,Lohktīnhòhtùhng,-
273,Seedot,タネボー,Tanebō,Taneboh,Samurzel,Grainipiot,도토링,Dotoring,Tot'oring,Dotoring,橡實果,橡实果,Xiàngshíguǒ,Jeuhngsahtgwó,-
274,Nuzleaf,コノハナ,Konohana,Konohana,Blanas,Pifeuil,잎새코,Ipsaeko,Ipsaek'o,Ipseko,長鼻葉,长鼻叶,Chángbíyè,Chèuhngbeihyihp,-
275,Shiftry,ダーテング,Dātengu,Dirteng,Tengulist,Tengalice,다탱구,Dataenggu,Tat'aenggu,Datenggu,狡猾天狗,狡猾天狗,Jiǎohuátiāngǒu,Gáauwaahttīngáu,-
276,Taillow,スバメ,Subame,Subame,Schwalbini,Nirondelle,테일로,Teillo,T'eillo,Tailow,傲骨燕,傲骨燕,Àogǔyàn,Ngouhgwātyin,-
277,Swellow,オオスバメ,Ōsubame,Ohsubame,Schwalboss,Hélédelle,스왈로,Seuwallo,Sŭwallo,Swalow,大王燕,大王燕,Dàwángyàn,Daaihwòhngyin,-
278,Wingull,キャモメ,Kyamome,Camome,Wingull,Goélise,갈모매,Galmomae,Kalmomae,Galmomae,長翅鷗,长翅鸥,Chángchì'ōu,Chèuhngchi'āu,-
279,Pelipper,ペリッパー,Perippā,Pelipper,Pelipper,Bekipan,패리퍼,Paeripeo,P'aerip'ŏ,Pelipper,大嘴鷗,大嘴鸥,Dàzuǐ'ōu,Daaihjéui'āu,-
280,Ralts,ラルトス,Rarutosu,Ralts,Trasla,Tarsal,랄토스,Raltoseu,Ralt'osŭ,Raltos,拉魯拉絲,拉鲁拉丝,Lālǔlāsī,Lāailóuhlāaisī,-
281,Kirlia,キルリア,Kiruria,Kirlia,Kirlia,Kirlia,킬리아,Killia,K'illia,Kirlia,奇魯莉安,奇鲁莉安,Qílǔlì'ān,Kèihlouhleih'ōn,-
282,Gardevoir,サーナイト,Sānaito,Sirnight,Guardevoir,Gardevoir,가디안,Gadian,Kadian,Gadian,沙奈朵,沙奈朵,Shānàiduǒ,Sānoihdó,-
283,Surskit,アメタマ,Ametama,Ametama,Gehweiher,Arakdo,비구술,Bigusul,Pigusul,Bigusul,溜溜糖球,溜溜糖球,Liūliūtángqiú,Līulīutóngkàuh,-
284,Masquerain,アメモース,Amemōsu,Amemoth,Maskeregen,Maskadra,비나방,Binabang,Pinabang,Binabang,雨翅蛾,雨翅蛾,Yǔchì'é,Yúhchi'ngòh,-
285,Shroomish,キノココ,Kinokoko,Kinococo,Knilz,Balignon,버섯꼬,Beoseotkko,Pŏsŏtkko,Bosotkko,蘑蘑菇,蘑蘑菇,Mómógū,Mòhmòhgū,-
286,Breloom,キノガッサ,Kinogassa,Kinogassa,Kapilz,Chapignon,버섯모,Beoseonmo,Pŏsŏnmo,Bosotmo,斗笠菇,斗笠菇,Dǒulìgū,Dáulāpgū,-
287,Slakoth,ナマケロ,Namakero,Namakero,Bummelz,Parecool,게을로,Geeullo,Keŭllo,Geulro,懶人獺,懒人獭,Lǎnréntà,Láahnyàhnchaat,"懶人翁 / 懒人翁 Lǎnrénwēng (TW/CN)
懶人翁 Láahnyàhnyūng (HK)"
288,Vigoroth,ヤルキモノ,Yarukimono,Yarukimono,Muntier,Vigoroth,발바로,Balbaro,Palbaro,Balbaro,過動猿,过动猿,Guòdòngyuán,Gwoduhngyùhn,-
289,Slaking,ケッキング,Kekkingu,Kekking,Letarking,Monaflèmit,게을킹,Geeulking,Geŭlk'ing,Geulking,請假王,请假王,Qǐngjiàwáng,Chénggawòhng,-
290,Nincada,ツチニン,Tsuchinin,Tutinin,Nincada,Ningale,토중몬,Tojungmon,T'ojungmon,Tojungmon,土居忍士,土居忍士,Tǔjūrěnshì,Tóugēuiyáhnsih,-
291,Ninjask,テッカニン,Tekkanin,Tekkanin,Ninjask,Ninjask,아이스크,Aiseukeu,Aisŭk'ŭ,Aisukeu,鐵面忍者,铁面忍者,Tiěmiànrěnzhě,Titmihnyánjé,-
292,Shedinja,ヌケニン,Nukenin,Nukenin,Ninjatom,Munja,껍질몬,Kkeopjilmon,Kkŏpchilmon,Kkubjilmon,脫殼忍者,脱壳忍者,Tuōkérěnzhě,Tyuthokyánjé,-
293,Whismur,ゴニョニョ,Gonyonyo,Gonyonyo,Flurmel,Chuchmur,소곤룡,Sogonnyong,Sogonnyong,Sogonryong,咕妞妞,咕妞妞,Gūniūniū,Gūnáunáu,-
294,Loudred,ドゴーム,Dogōmu,Dogohmb,Krakeelo,Ramboum,노공룡,Nogongnyong,Nogongnyong,Nogonryong,吼爆彈,吼爆弹,Hǒubàodàn,Hāubaaudáan,-
295,Exploud,バクオング,Bakuongu,Bakuong,Krawumms,Brouhabam,폭음룡,Pogeumnyong,P'ogŭmnyong,Pokumryong,爆音怪,爆音怪,Bàoyīnguài,Baauyāmgwaai,-
296,Makuhita,マクノシタ,Makunoshita,Makunoshita,Makuhita,Makuhita,마크탕,Makeutang,Mak'ŭt'ang,Makeutang,幕下力士,幕下力士,Mùxiàlìshì,Mohkhahlihksih,-
297,Hariyama,ハリテヤマ,Hariteyama,Hariteyama,Hariyama,Hariyama,하리뭉,Harimung,Harimung,Harimung,鐵掌力士,铁掌力士,Tiězhǎnglìshì,Titjéunglihksih,"超力王 Chāolìwáng (TW/CN)
超力王 Chīulihkwòhng (HK)"
298,Azurill,ルリリ,Ruriri,Ruriri,Azurill,Azurill,루리리,Ruriri,Ruriri,Ruriri,露力麗,露力丽,Lùlìlì,Louhlihklaih,-
299,Nosepass,ノズパス,Nozupasu,Nosepass,Nasgnet,Tarinor,코코파스,Kokopaseu,K'ok'op'asŭ,Kokopas,朝北鼻,朝北鼻,Cháoběibí,Chìuhbākbeih,-
300,Skitty,エネコ,Eneko,Eneco,Eneco,Skitty,에나비,Enabi,Enabi,Enabi,向尾喵,向尾喵,Xiàngwěimiāo,Héungméihmēu,-
301,Delcatty,エネコロロ,Enekororo,Enekororo,Enekoro,Delcatty,델케티,Delketi,Telk'et'i,Delcatty,優雅貓,优雅猫,Yōuyǎmāo,Yāungáhmāau,-
302,Sableye,ヤミラミ,Yamirami,Yamirami,Zobiris,Ténéfix,깜까미,Kkamkkami,Kkamkkami,Kamkami,勾魂眼,勾魂眼,Gōuhúnyǎn,Ngāuwàhnngáahn,-
303,Mawile,クチート,Kuchīto,Kucheat,Flunkifer,Mysdibule,입치트,Ipchiteu,Ipch'it'ŭ,Ipchitt,大嘴娃,大嘴娃,Dàzuǐwá,Daaihjéuiwā,-
304,Aron,ココドラ,Kokodora,Cokodora,Stollunior,Galekid,가보리,Gabori,Kabori,Gabori,可可多拉,可可多拉,Kěkěduōlā,Hóhódōlāai,-
305,Lairon,コドラ,Kodora,Kodora,Stollrak,Galegon,갱도라,Gaengdora,Kaengdora,Gaengdora,可多拉,可多拉,Kěduōlā,Hódōlāai,-
306,Aggron,ボスゴドラ,Bosugodora,Bossgodora,Stolloss,Galeking,보스로라,Boseurora,Posŭrora,Bosrora,波士可多拉,波士可多拉,Bōshìkěduōlā,Bōsihhódōlāai,-
307,Meditite,アサナン,Asanan,Asanan,Meditie,Méditikka,요가랑,Yogarang,Yogarang,Yogarang,瑪沙那,玛沙那,Mǎshānà,Máhsānáh,-
308,Medicham,チャーレム,Chāremu,Charem,Meditalis,Charmina,요가램,Yogaraem,Yogaraem,Yogaram,恰雷姆,恰雷姆,Qiàléimǔ,Hāplèuihmóuh,-
309,Electrike,ラクライ,Rakurai,Rakurai,Frizelbliz,Dynavolt,썬더라이,Sseondeorai,Ssŏndŏrai,Thunderai,落雷獸,落雷兽,Luòléishòu,Lohklèuihsau,-
310,Manectric,ライボルト,Raiboruto,Livolt,Voltenso,Élecsprint,썬더볼트,Sseondeobolteu,Ssŏndŏbolt'ŭ,Thundervolt,雷電獸,雷电兽,Léidiànshòu,Lèuihdihnsau,-
311,Plusle,プラスル,Purasuru,Prasle,Plusle,Posipi,플러시,Peulleosi,P'ŭllŏsi,Plusy,正電拍拍,正电拍拍,Zhèngdiànpāipāi,Jingdihnpaakpaak,-
312,Minun,マイナン,Mainan,Minun,Minun,Négapi,마이농,Mainong,Mainong,Mainong,負電拍拍,负电拍拍,Fùdiànpāipāi,Fuhdihnpaakpaak,-
313,Volbeat,バルビート,Barubīto,Barubeat,Volbeat,Muciole,볼비트,Bolbiteu,Polbit'ŭ,Volbeat,電螢蟲,电萤虫,Diànyíngchóng,Dihnyìhngchùhng,-
314,Illumise,イルミーゼ,Irumīze,Illumise,Illumise,Lumivole,네오비트,Neobiteu,Neobit'ŭ,Neobeat,甜甜螢,甜甜萤,Tiántiányíng,Tìhmtìhmyìhng,-
315,Roselia,ロゼリア,Rozeria,Roselia,Roselia,Rosélia,로젤리아,Rojellia,Rojellia,Rozelia,毒薔薇,毒蔷薇,Dúqiángwéi,Duhkchèuhngmèih,-
316,Gulpin,ゴクリン,Gokurin,Gokulin,Schluppuck,Gloupti,꼴깍몬,Kkolkkangmon,Kkolkkangmon,Kolkkakmon,溶食獸,溶食兽,Róngshíshòu,Yùhngsihksau,-
317,Swalot,マルノーム,Marunōmu,Marunoom,Schlukwech,Avaltout,꿀꺽몬,Kkulkkeongmon,Kkulkkŏngmon,Koolkkokmon,吞食獸,吞食兽,Tūnshíshòu,Tānsihksau,-
318,Carvanha,キバニア,Kibania,Kibanha,Kanivanha,Carvanha,샤프니아,Syapeunia,Syap'ŭnia,Sharpnia,利牙魚,利牙鱼,Lìyáyú,Leihngàh'yú,-
319,Sharpedo,サメハダー,Samehadā,Samehader,Tohaido,Sharpedo,샤크니아,Syakeunia,Syak'ŭnia,Sharknia,巨牙鯊,巨牙鲨,Jùyáshā,Geuihngàhsā,-
320,Wailmer,ホエルコ,Hoeruko,Hoeruko,Wailmer,Wailmer,고래왕자,Goraewangja,Koraewangja,Goraewangja,吼吼鯨,吼吼鲸,Hǒuhǒujīng,Háuháukìhng,-
321,Wailord,ホエルオー,Hoeruō,Whaloh,Wailord,Wailord,고래왕,Goraewang,Koraewang,Goraewang,吼鯨王,吼鲸王,Hǒujīngwáng,Háukìhngwòhng,-
322,Numel,ドンメル,Donmeru,Donmel,Camaub,Chamallot,둔타,Dunta,Tunt'a,Doonta,呆火駝,呆火驼,Dāihuǒtuó,Ngòihfótòh,-
323,Camerupt,バクーダ,Bakūda,Bakuuda,Camerupt,Camérupt,폭타,Pokta,P'okt'a,Pokta,噴火駝,喷火驼,Pēnhuǒtuó,Panfótòh,-
324,Torkoal,コータス,Kōtasu,Cotoise,Qurtel,Chartor,코터스,Koteoseu,K'otŏsŭ,Kotas,煤炭龜,煤炭龟,Méitàngūi,Mùihtaangwāi,-
325,Spoink,バネブー,Banebū,Baneboo,Spoink,Spoink,피그점프,Pigeujeompeu,P'igŭjŏmp'ŭ,Pigjump,跳跳豬,跳跳猪,Tiàotiàozhū,Tiutiujyū,-
326,Grumpig,ブーピッグ,Būpiggu,Boopig,Groink,Groret,피그킹,Pigeuking,P'igŭk'ing,Pigking,噗噗豬,噗噗猪,Pūpūzhū,Pokpokjyū,-
327,Spinda,パッチール,Patchīru,Patcheel,Pandir,Spinda,얼루기,Eollugi,Ŏllugi,Ollugi,晃晃斑,晃晃斑,Huànghuàngbān,Fóngfóngbāan,-
328,Trapinch,ナックラー,Nakkurā,Nuckrar,Knacklion,Kraknoix,톱치,Topchi,T'opch'i,Topchi,大顎蟻,大颚蚁,Dà'èyǐ,Daaihngohkngáih,-
329,Vibrava,ビブラーバ,Biburāba,Vibrava,Vibrava,Vibraninf,비브라바,Bibeuraba,Bibŭraba,Vibrava,超音波幼蟲,超音波幼虫,Chāoyīnbōyòuchóng,Chīuyāmbōyauchùhng,-
330,Flygon,フライゴン,Furaigon,Flygon,Libelldra,Libégon,플라이곤,Peullaigon,P'ŭllaigon,Flygon,沙漠蜻蜓,沙漠蜻蜓,Shāmòqīngtíng,Sāmohkchīngtìhng,-
331,Cacnea,サボネア,Sabonea,Sabonea,Tuska,Cacnea,선인왕,Seoninwang,Sŏninwang,Seoninwang,刺球仙人掌,刺球仙人掌,Cìqiúxiānrénzhǎng,Chikàuhsīnyàhnjéung,"沙漠奈亞 / 沙漠奈亚 Shāmònàiyǎ / Shāmònàiyà (TW/CN)
沙漠奈亞 Sāmohknoih'a (HK)"
332,Cacturne,ノクタス,Nokutasu,Noctus,Noktuska,Cacturne,밤선인,Bamseonin,Bamsŏnin,Bamseonin,夢歌仙人掌,梦歌仙人掌,Mènggēxiānrénzhǎng,Mùhnggōsīnyàhnjéung,"夢歌奈亞 / 梦歌奈亚 Mènggēnàiyǎ / Mènggēnàiyà (TW/CN)
夢歌奈亞 Muhnggōnoih'a (HK)"
333,Swablu,チルット,Chirutto,Tyltto,Wablu,Tylton,파비코,Pabiko,P'abik'o,Pavico,青綿鳥,青绵鸟,Qīngmiánniǎo,Chīngmìhnníuh,-
334,Altaria,チルタリス,Chirutarisu,Tyltalis,Altaria,Altaria,파비코리,Pabikori,P'abik'ori,Pavicori,七夕青鳥,七夕青鸟,Qīxìqīngniǎo,Chātjihkchīngníuh,-
335,Zangoose,ザングース,Zangūsu,Zangoose,Sengo,Mangriff,쟝고,Jyanggo,Chyanggo,Zanggo,貓鼬斬,猫鼬斩,Māoyòuzhǎn,Māauyauhjáam,-
336,Seviper,ハブネーク,Habunēku,Habunake,Vipitis,Séviper,세비퍼,Sebipeo,Sebip'ŏ,Seviper,飯匙蛇,饭匙蛇,Fànchíshé,Faahnchìhsèh,-
337,Lunatone,ルナトーン,Runatōn,Lunatone,Lunastein,Séléroc,루나톤,Runaton,Runat'on,Lunatone,月石,月石,Yuèshí,Yuhtsehk,-
338,Solrock,ソルロック,Sorurokku,Solrock,Sonnfel,Solaroc,솔록,Sollok,Sollok,Solrock,太陽岩,太阳岩,Tàiyángyán,Taaiyèuhngngàahm,-
339,Barboach,ドジョッチ,Dojotchi,Dojoach,Schmerbe,Barloche,미꾸리,Mikkuri,Mikkuri,Mikuri,泥泥鰍,泥泥鳅,Níníqiū,Nàihnàihchāu,-
340,Whiscash,ナマズン,Namazun,Namazun,Welsar,Barbicha,메깅,Meging,Meging,Meging,鯰魚王,鲶鱼王,Niányúwáng,Níhmyùhwòhng,-
341,Corphish,ヘイガニ,Heigani,Heigani,Krebscorps,Écrapince,가재군,Gajaegun,Kajaegun,Gazegun,龍蝦小兵,龙虾小兵,Lóngxiāxiǎobīng,Lùhnghāsíubīng,-
342,Crawdaunt,シザリガー,Shizarigā,Shizariger,Krebutack,Colhomard,가재장군,Gajaejanggun,Kajaejanggun,Gazezanggun,鐵螯龍蝦,铁螯龙虾,Tiě'áolóngxiā,Titngòuhlùhng'hā,-
343,Baltoy,ヤジロン,Yajiron,Yajilon,Puppance,Balbuto,오뚝군,Ottukgun,Ottukkun,Ohttukgun,天秤偶,天秤偶,Tiānpíng'ǒu,Tīnpìhngngáuh,-
344,Claydol,ネンドール,Nendōru,Nendoll,Lepumentas,Kaorine,점토도리,Jeomtodori,Chŏmt'odori,Zeumtodori,念力土偶,念力土偶,Niànlìtǔ'ōu,Nihmlihktóu'ngáuh,-
345,Lileep,リリーラ,Rirīra,Lilyla,Liliep,Lilia,릴링,Rilling,Rilling,Lilring,觸手百合,触手百合,Chùshǒubǎihé,Jūksáubaakhahp,-
346,Cradily,ユレイドル,Yureidoru,Yuradle,Wielie,Vacilys,릴리요,Rilliyo,Rilliyo,Lilriyo,搖籃百合,摇篮百合,Yáolánbǎihé,Yìuhlàahmbaakhahp,-
347,Anorith,アノプス,Anopusu,Anopth,Anorith,Anorith,아노딥스,Anodipseu,Anodipsŭ,Anodeeps,太古羽蟲,太古羽虫,Tàigǔyǔchóng,Taaigúyúhchùhng,-
348,Armaldo,アーマルド,Āmarudo,Armaldo,Armaldo,Armaldo,아말도,Amaldo,Amaldo,Amaldo,太古盔甲,太古盔甲,Tàigǔkuījiǎ,Taaigúkwāigaap,-
349,Feebas,ヒンバス,Hinbasu,Hinbass,Barschwa,Barpau,빈티나,Bintina,Pint'ina,Vintina,醜醜魚,丑丑鱼,Chǒuchǒuyú,Cháucháuyú,"笨笨魚 / 笨笨鱼 Bènbènyú (TW/CN)
笨笨魚 Bahnbahnyú (HK)"
350,Milotic,ミロカロス,Mirokarosu,Milokaross,Milotic,Milobellus,밀로틱,Millotik,Millot'ik,Milotic,美納斯,美纳斯,Měinàsī,Méihnaahpsī,-
351,Castform,ポワルン,Powarun,Powalen,Formeo,Morphéo,캐스퐁,Kaeseupong,K'aesŭp'ong,Castpong,飄浮泡泡,飘浮泡泡,Piāofúpàopào,Pīufàuhpóuhpóuh,"漂浮泡泡 Piāofúpàopào (TW/CN)
漂浮泡泡 Pīufàuhpóuhpóuh (HK)"
352,Kecleon,カクレオン,Kakureon,Kakureon,Kecleon,Kecleon,켈리몬,Kellimon,K'ellimon,Kelimon,變隱龍,变隐龙,Biànyǐnlóng,Binyánlùhng,-
353,Shuppet,カゲボウズ,Kagebōzu,Kagebouzu,Shuppet,Polichombr,어둠대신,Eodumdaesin,Ŏdumdaesin,Udumdaesin,怨影娃娃,怨影娃娃,Yuànyǐngwáwá,Yunyíngwāwā,-
354,Banette,ジュペッタ,Jupetta,Juppeta,Banette,Branette,다크펫,Dakeupet,Tak'ŭp'et,Darkpet,詛咒娃娃,诅咒娃娃,Zǔzhòuwáwá,Jojauwāwā,-
355,Duskull,ヨマワル,Yomawaru,Yomawaru,Zwirrlicht,Skelénox,해골몽,Haegolmong,Haegolmong,Haegolmong,夜巡靈,夜巡灵,Yèxúnlíng,Yehchèuhnlìhng,"夜骷顱 / 夜骷颅 Yèkūlú (TW/CN)
夜骷顱 Yehfūlòuh (HK)"
356,Dusclops,サマヨール,Samayōru,Samayouru,Zwirrklop,Téraclope,미라몽,Miramong,Miramong,Miramong,彷徨夜靈,彷徨夜灵,Fǎnghuángyèlíng,Pòhngwòhngyehlìhng,"夜巨人 Yèjùrén (TW/CN)
夜巨人 Yehgeuihyàhn (HK)"
357,Tropius,トロピウス,Toropiusu,Tropius,Tropius,Tropius,트로피우스,Teuropiuseu,T'ŭrop'iusŭ,Tropius,熱帶龍,热带龙,Rèdàilóng,Yihtdaailùhng,-
358,Chimecho,チリーン,Chirīn,Chirean,Palimpalim,Éoko,치렁,Chireong,Ch'irŏng,Chirung,風鈴鈴,风铃铃,Fēnglínglíng,Fūnglìhnglìhng,-
359,Absol,アブソル,Abusoru,Absol,Absol,Absol,앱솔,Aepsol,Aepsol,Absol,阿勃梭魯,阿勃梭鲁,Ābósuōlǔ,Abuhtsōlóuh,-
360,Wynaut,ソーナノ,Sōnano,Sohnano,Isso,Okéoké,마자,Maja,Maja,Maza,小果然,小果然,Xiǎoguǒrán,Síugwóyìhn,果然仔 Gwóyìhnjái (HK)
361,Snorunt,ユキワラシ,Yukiwarashi,Yukiwarashi,Schneppke,Stalgamin,눈꼬마,Nunkkoma,Nunkkoma,Nunkoma,雪童子,雪童子,Xuětóngzǐ,Syuttùhngjí,-
362,Glalie,オニゴーリ,Onigōri,Onigohri,Firnontor,Oniglali,얼음귀신,Eoreumgwisin,Ŏrŭmgwisin,Urumkisin,冰鬼護,冰鬼护,Bīngguǐhù,Bīnggwáiwuh,-
363,Spheal,タマザラシ,Tamazarashi,Tamazarashi,Seemops,Obalie,대굴레오,Daegulleo,Taegulleo,Degulleo,海豹球,海豹球,Hǎibàoqiú,Hóipaaukàuh,-
364,Sealeo,トドグラー,Todogurā,Todoggler,Seejong,Phogleur,씨레오,Ssireo,Ssireo,Sealeo,海魔獅,海魔狮,Hǎimóshī,Hóimōsī,-
365,Walrein,トドゼルガ,Todozeruga,Todoseruga,Walraisa,Kaimorse,씨카이저,Ssikaijeo,Ssik'aijŏ,Seakaiser,帝牙海獅,帝牙海狮,Dìyǎhǎishī,Dai'ngàhhóisī,-
366,Clamperl,パールル,Pāruru,Pearlulu,Perlu,Coquiperl,진주몽,Jinjumong,Chinjumong,Zinzumong,珍珠貝,珍珠贝,Zhēnzhūbèi,Jānjyūbui,-
367,Huntail,ハンテール,Hantēru,Huntail,Aalabyss,Serpang,헌테일,Heonteil,Hŏnt'eil,Huntail,獵斑魚,猎斑鱼,Lièbānyú,Lihpbāan'yú,-
368,Gorebyss,サクラビス,Sakurabisu,Sakurabyss,Saganabyss,Rosabyss,분홍장이,Bunhongjangi,Punhongjangi,Bunhongzangi,櫻花魚,樱花鱼,Yīnghuāyú,Yīngfāyú,-
369,Relicanth,ジーランス,Jīransu,Glanth,Relicanth,Relicanth,시라칸,Sirakan,Sirak'an,Searakan,古空棘魚,古空棘鱼,Gǔkōngjíyú,Gúhūnggīk'yú,-
370,Luvdisc,ラブカス,Rabukasu,Lovecus,Liebiskus,Lovdisc,사랑동이,Sarangdongi,Sarangdongi,Sarangdongi,愛心魚,爱心鱼,Àixīnyú,Oisām'yú,-
371,Bagon,タツベイ,Tatsubei,Tatsubay,Kindwurm,Draby,아공이,Agongi,Agongi,Agongi,寶貝龍,宝贝龙,Bǎobèilóng,Bóubuilùhng,-
372,Shelgon,コモルー,Komorū,Komoruu,Draschel,Drackhaus,쉘곤,Swelgon,Swelgon,Shelgon,甲殼龍,甲壳龙,"Jiákēlóng
Jiáqiàolóng",Gaaphoklùhng,-
