ID,Name,Effect,Generation,Single,Dual,Hidden,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
213,Comatose,It's always drowsing and will never wake up. It can attack without waking up.,7,1,0,0,ぜったいねむり,Zettai Nemuri,Hypersommeil,Dauerschlaf,Sonno Assoluto,Letargo Perenne,절대안깸,Jeoldae Ankkaem,絕對睡眠 / 绝对睡眠,Juéduì Shuìmián / Jyuhtdeui Seuihmìhn
214,Queenly Majesty,"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves.",7,0,1,0,じょおうのいげん,Joō no Igen,Prestance Royale,Majestät,Regalità,Regia Presencia,여왕의위엄,Yeowang-ui Wieom,女王的威嚴 / 女王的威严,Nǚwáng-de Wēiyán / Néuihwòhng-dīk Wāiyìhm
215,Innards Out,Damages the attacker landing the finishing hit by the amount equal to its last HP.,7,1,0,0,とびだすなかみ,Tobidasu Nakami,Expuls'Organes,Magenkrempler,Espellinterno,Revés,내용물분출,Naeyongmul Bunchul,飛出的內在物 / 飞出的内在物,Fēichū-de Nèizài Wù / Fēichēut-dīk Noihjoih Maht
216,Dancer,"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed.",7,1,0,0,おどりこ,Odoriko,Danseuse,Tänzer,Sincrodanza,Pareja de Baile,무희,Muhui,舞者,Wǔzhě / Móuhjé
217,Battery,Powers up ally Pokémon's special moves.,7,1,0,0,バッテリー,Battery,Batterie,Batterie,Batteria,Batería,배터리,Battery,蓄電池 / 蓄电池,Xùdiànchí / Chūkdihnchìh
218,Fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",7,0,2,0,もふもふ,Mofumofu,Boule de Poils,Flauschigkeit,Morbidone,Peluche,복슬복슬,Bokseulbokseul,毛茸茸,Máoróngrōng / Mòuhyùhngyùhng
219,Dazzling,"Surprises the opposing Pokémon, making it unable to attack using priority moves.",7,0,1,0,ビビッドボディ,Vivid Body,Corps Coloré,Buntkörper,Corposgargiante,Cuerpo Vívido,비비드바디,Vivid Body,鮮艷之軀 / 鲜艳之躯,Xiānyàn-zhī Qū / Sīnyihm-jī Kēui
220,Soul-Heart,Boosts its Sp. Atk stat every time a Pokémon faints.,7,1,0,0,ソウルハート,Soul-Heart,Animacœur,Seelenherz,Cuoreanima,Coránima,소울하트,Soul-Heart,魂心,Húnxīn / Wàhnsām
221,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,7,0,2,0,カーリーヘアー,Curly Hair,Mèche Rebelle,Lockenkopf,Boccolidoro,Rizos Rebeldes,컬리헤어,Curly Hair,捲髮 / 卷发,Juǎnfà / Gyúnfaat
222,Receiver,The Pokémon copies the Ability of a defeated ally.,7,1,0,0,レシーバー,Receiver,Receveur,Receiver,Ricezione,Receptor,리시버,Receiver,接球手,Jiēqiúshǒu / Jipkàuhsáu
223,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.,7,0,0,2,かがくのちから,Kagaku no Chikara,Osmose,Chemiekraft,Forza Chimica,Reacción Química,과학의힘,Gwahak-ui Him,化學之力 / 化学之力,Huàxué-zhī Lì / Fahohk-jī Lihk
224,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,7,11,0,0,ビーストブースト,Beast Boost,Boost Chimère,Bestien-Boost,Ultraboost,Ultraimpulso,비스트부스트,Beast Boost,異獸提升 / 异兽提升,Yìshòu Tíshēng / Yihsau Tàihsīng
225,RKS System,Changes the Pokémon's type to match the memory disc it holds.,7,1,0,0,ＡＲシステム,AR System,Système Alpha,Alpha-System,Sistema Primevo,Sistema Alfa,AR시스템,AR System,ＡＲ系統 / ＡＲ系统,AR Xìtǒng / AR Haihtúng
226,Electric Surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.,7,1,0,0,エレキメイカー,Electric Maker,Créa-Élec,Elektro-Erzeuger,Elettrogenesi,Electrogénesis,일렉트릭메이커,Electric Maker,電氣製造者 / 电气制造者,Diànqì Zhìzàozhě / Dihnhei Jaijouhjé
227,Psychic Surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.,7,1,0,0,サイコメイカー,Psycho Maker,Créa-Psy,Psycho-Erzeuger,Psicogenesi,Psicogénesis,사이코메이커,Psycho Maker,精神製造者 / 精神制造者,Jīngshén Zhìzàozhě / Jīngsàhn Jaijouhjé
228,Misty Surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.,7,1,0,0,ミストメイカー,Mist Maker,Créa-Brume,Nebel-Erzeuger,Nebbiogenesi,Nebulogénesis,미스트메이커,Mist Maker,薄霧製造者 / 薄雾制造者,Bówù Zhìzàozhě / Bohkmouh Jaijouhjé
229,Grassy Surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.,7,1,0,0,グラスメイカー,Grass Maker,Créa-Herbe,Gras-Erzeuger,Erbogenesi,Herbogénesis,그래스메이커,Grass Maker,青草製造者 / 青草制造者,Qīngcǎo Zhìzàozhě / Chēngchóu Jaijouhjé
230,Full Metal Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,7,1,0,0,メタルプロテクト,Metal Protect,Métallo-Garde,Metallprotektor,Metalprotezione,Guardia Metálica,메탈프로텍트,Metal Protect,金屬防護 / 金属防护,Jīnshǔ Fánghù / Gāmsuhk Fòhngwuh
231,Shadow Shield,Reduces the amount of damage the Pokémon takes while its HP is full.,7,1,0,0,ファントムガード,Phantom Guard,Spectro-Bouclier,Phantomschutz,Spettroguardia,Guardia Espectro,스펙터가드,Specter Guard,幻影防守,Huànyǐng Fángshǒu / Waahnyíng Fòhngsáu
232,Prism Armor,Reduces the power of supereffective attacks taken.,7,1,0,0,プリズムアーマー,Prism Armor,Prisme-Armure,Prismarüstung,Scudoprisma,Armadura Prisma,프리즘아머,Prism Armor,稜鏡裝甲 / 棱镜装甲,Léngjìng Zhuāngjiǎ / Lìhnggeng Jōnggaap
233,Neuroforce,Powers up moves that are super effective.,7,1,0,0,ブレインフォース,Brain Force,Cérébro-Force,Zerebralmacht,Cerebroforza,Fuerza Cerebral,브레인포스,Brain Force,腦核之力 / 脑核之力,Nǎohé-zhī Lì / Nóuhhaht-jī Lihk
