Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Female,Male,Unbreedable,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen
Pancham,674,,,,,91,Ce,Fighting,,1,1,,Field,Human-Like,25,,,,6425,6400,17.6,8,Medium Fast,"bipedal, tailed form",Fighting,6
Gligar,207,,,,,193,,Ground,Flying,1,1,,Bug,,20,5120,5376,5355,5140,5120,142.9,64.8,Medium Slow,single pair of wings,Ground,2
Articuno,144,,,,,144,,Ice,Flying,,,U,Undiscovered,,80,20480,20736,20655,20560,20480,122.1,55.4,Slow,single pair of wings,Ice,1
Clauncher,692,,,,,32,Co,Water,,1,1,,Water 1,Water 3,15,,,,3855,3840,18.3,8.3,Slow,insectoid body,Water,6
Excadrill,530,,,,,36,,Ground,Steel,1,1,,Field,,20,,,,5140,5120,89.1,40.4,Medium Fast,"bipedal, tailless form",Ground,5
Pikachu,25,,,,Hoenn Cap,25,,Electric,,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,quadruped body,Electric,1
Tornadus,641,T,,,Therian Forme,147,,Flying,,0,1,U,Undiscovered,,120,,,,30840,30720,138.9,63,Slow,single pair of wings,Flying,5
Loudred,294,,,,,46,,Normal,,1,1,,Monster,Field,20,,5376,5355,5140,5120,89.3,40.5,Medium Slow,"bipedal, tailed form",Normal,3
Kangaskhan,115,,,,,115,,Normal,,1,0,,Monster,,20,5120,5376,5355,5140,5120,176.4,80,Medium Fast,"bipedal, tailed form",Normal,1
Vullaby,629,,,,,135,,Dark,Flying,1,0,,Flying,,20,,,,5140,5120,19.8,9,Slow,single pair of wings,Dark,5
Delphox,655,,,,,6,Ce,Fire,Psychic,1,7,,Field,,20,,,,5140,5120,86,39,Medium Slow,"bipedal, tailed form",Fire,6
Charizard,6,MY,Y,,Mega  Y,6,,Fire,Flying,1,7,,Monster,Dragon,20,5120,5376,5355,5140,5120,199.5,90.5,Medium Slow,"bipedal, tailed form",Fire,1
Virizion,640,,,,,146,,Grass,Fighting,,,U,Undiscovered,,80,,,,20560,20480,440.9,200,Slow,quadruped body,Grass,5
Mienfoo,619,,,,,125,,Fighting,,1,1,,Field,Human-Like,25,,,,6425,6400,44.1,20,Medium Slow,"bipedal, tailed form",Fighting,5
Dialga,483,,,,,149,,Steel,Dragon,,,U,Undiscovered,,120,,,30855,30840,30720,1505.8,683,Slow,quadruped body,Steel,4
Croagunk,453,,,,,129,,Poison,Fighting,1,1,,Human-Like,,10,,,2805,2570,2560,50.7,23,Medium Fast,"bipedal, tailless form",Poison,4
Meganium,154,,,,,3,,Grass,,1,7,,Monster,Grass,20,5120,5376,5355,5140,5120,221.6,100.5,Medium Slow,quadruped body,Grass,2
Furfrou,676,,,,Debutante Trim,93,Ce,Normal,,1,1,,Field,,20,,,,5140,5120,61.7,28,Medium Fast,quadruped body,Normal,6
Dragonite,149,,,,,149,,Dragon,Flying,1,1,,Water 1,Dragon,40,10240,10496,10455,10280,10240,463,210,Slow,"bipedal, tailed form",Dragon,1
Pidgeotto,17,,,,,17,,Normal,Flying,1,1,,Flying,,15,3840,4096,4080,3855,3840,66.1,30,Medium Slow,single pair of wings,Normal,1
Ambipom,424,,,,,64,,Normal,,1,1,,Field,,20,,,5355,5140,5120,44.8,20.3,Fast,"bipedal, tailed form",Normal,4
Tepig,498,,,,,4,,Fire,,1,7,,Field,,20,,,,5140,5120,21.8,9.9,Medium Slow,quadruped body,Fire,5
Castform,351,S,,,Sunny Form,142,,Fire,,1,1,,Fairy,Amorphous,25,,6656,6630,6425,6400,1.8,0.8,Medium Fast,head,Normal,3
Floette,670,,,,Yellow Flower,69,Ce,Fairy,,1,0,,Fairy,,20,,,,5140,5120,2,0.9,Medium Fast,head and arms,Fairy,6
Omanyte,138,,,,,138,,Rock,Water,1,7,,Water 1,Water 3,30,7680,7936,7905,7710,7680,16.5,7.5,Medium Fast,tentacles or a multiped body,Rock,1
Aurorus,699,,,,,67,Co,Rock,Ice,1,7,,Monster,,30,,,,7710,7680,496,225,Medium Fast,quadruped body,Rock,6
Toxicroak,454,,,,,130,,Poison,Fighting,1,1,,Human-Like,,20,,,5355,5140,5120,97.9,44.4,Medium Fast,"bipedal, tailless form",Poison,4
Pikachu,25,,,,Rock Star,25,,Electric,,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,quadruped body,Electric,1
Lapras,131,,,,,131,,Water,Ice,1,1,,Monster,Water 1,40,10240,10496,10455,10280,10240,485,220,Slow,fins,Water,1
Meowth,52,A,,,Alolan,,,Dark,,1,1,,Field,,20,5120,5376,5355,5140,5120,9.3,4.2,Medium Fast,quadruped body,Normal,1
Stakataka,805,,,,,392,,Rock,Steel,,,U,Undiscovered,,120,,,,,30720,1807.8,820,Slow,quadruped body,Rock,7
Wurmple,265,,,,,14,,Bug,,1,1,,Bug,,15,,4096,4080,3855,3840,7.9,3.6,Medium Fast,insectoid body,Bug,3
Shedinja,292,,,,,44,,Bug,Ghost,,,,Mineral,,15,,4096,4080,3855,3840,2.6,1.2,Erratic,head and a base,Bug,3
Pikipek,731,,,,,10,,Normal,Flying,1,1,,Flying,,15,,,,,3840,2.6,1.2,Medium Fast,single pair of wings,Normal,7
Lickitung,108,,,,,108,,Normal,,1,1,,Monster,,20,5120,5376,5355,5140,5120,144.4,65.5,Medium Fast,"bipedal, tailed form",Normal,1
Furfrou,676,,,,Dandy Trim,93,Ce,Normal,,1,1,,Field,,20,,,,5140,5120,61.7,28,Medium Fast,quadruped body,Normal,6
Weedle,13,,,,,13,,Bug,Poison,1,1,,Bug,,15,3840,4096,4080,3855,3840,7.1,3.2,Medium Fast,insectoid body,Bug,1
Houndour,228,,,,,214,,Dark,Fire,1,1,,Field,,20,5120,5376,5355,5140,5120,23.8,10.8,Slow,quadruped body,Dark,2
Froakie,656,,,,,7,Ce,Water,,1,7,,Water 1,,20,,,,5140,5120,15.4,7,Medium Slow,quadruped body,Water,6
Fomantis,753,,,,,143,,Grass,,1,1,,Grass,,20,,,,,5120,3.3,1.5,Medium Fast,"bipedal, tailed form",Grass,7
Togekiss,468,,,,,175,,Fairy,Flying,1,7,,Flying,Fairy,10,,,2805,2570,2560,83.8,38,Fast,single pair of wings,Fairy,4
Exploud,295,,,,,47,,Normal,,1,1,,Monster,Field,20,,5376,5355,5140,5120,185.2,84,Medium Slow,"bipedal, tailed form",Normal,3
Avalugg,713,,,,,80,Mo,Ice,,1,1,,Monster,,20,,,,5140,5120,1113.3,505,Medium Fast,quadruped body,Ice,6
Pikachu,25,,,,Cosplay,25,,Electric,,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,quadruped body,Electric,1
Skitty,300,,,,,61,,Normal,,3,1,,Field,Fairy,15,,4096,4080,3855,3840,24.3,11,Fast,quadruped body,Normal,3
Wishiwashi,746,Sc,,,School Form,110,,Water,,1,1,,Water 2,,15,,,,,3840,173.3,78.6,Fast,fins,Water,7
Forretress,205,,,,,94,,Bug,Steel,1,1,,Bug,,20,5120,5376,5355,5140,5120,277.3,125.8,Medium Fast,head,Bug,2
Phantump,708,,,,,61,Mo,Ghost,Grass,1,1,,Grass,Amorphous,20,,,,5140,5120,15.4,7,Medium Fast,head and arms,Ghost,6
Illumise,314,,,,,87,,Bug,,1,0,,Bug,Human-Like,15,,4096,4080,3855,3840,39,17.7,Fluctuating,"bipedal, tailless form",Bug,3
Mew,151,,,,,151,,Psychic,,,,U,Undiscovered,,120,30720,30976,30855,30840,30720,8.8,4,Medium Slow,"bipedal, tailed form",Psychic,1
Muk,89,A,,,Alolan,,,Poison,Dark,1,1,,Amorphous,,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,head and arms,Poison,1
Houndoom,229,,,,,215,,Dark,Fire,1,1,,Field,,20,5120,5376,5355,5140,5120,77.2,35,Slow,quadruped body,Dark,2
Seviper,336,,,,,124,,Poison,,1,1,,Field,Dragon,20,,5376,5355,5140,5120,115.7,52.5,Fluctuating,serpentine bodies,Poison,3
Thundurus,642,T,,,Therian Forme,148,,Electric,Flying,0,1,U,Undiscovered,,120,,,,30840,30720,134.5,61,Slow,"bipedal, tailed form",Electric,5
Psyduck,54,,,,,54,,Water,,1,1,,Water 1,Field,20,5120,5376,5355,5140,5120,43.2,19.6,Medium Fast,"bipedal, tailed form",Water,1
Alomomola,594,,,,,100,,Water,,1,1,,Water 1,Water 2,40,,,,10280,10240,69.7,31.6,Fast,fins,Water,5
Rotom,479,,,,,152,,Electric,Ghost,,,,Amorphous,,20,,,5355,5140,5120,0.7,0.3,Medium Fast,head,Electric,4
Maractus,556,,,,,62,,Grass,,1,1,,Grass,,20,,,,5140,5120,61.7,28,Medium Fast,head and a base,Grass,5
Xerneas,716,,,,Neutral Mode,148,Mo,Fairy,,,,U,Undiscovered,,120,,,,30840,30720,474,215,Slow,quadruped body,Fairy,6
Sealeo,364,,,,,174,,Ice,Water,1,1,,Water 1,Field,20,,5376,5355,5140,5120,193.1,87.6,Medium Slow,fins,Ice,3
Reshiram,643,,,,,149,,Dragon,Fire,,,U,Undiscovered,,120,,,,30840,30720,727.5,330,Slow,single pair of wings,Dragon,5
Unown,201,,,,,61,,Psychic,,,,U,Undiscovered,,40,10240,10496,10455,10280,10240,11,5,Medium Fast,head,Psychic,2
Grimer,88,A,,,Alolan,,,Poison,Dark,1,1,,Amorphous,,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,head and arms,Poison,1
Unfezant,521,F,,,,27,,Normal,Flying,1,1,,Flying,,15,,,,3855,3840,63.9,29,Medium Slow,single pair of wings,Normal,5
Wigglytuff,40,,,,,40,,Normal,Fairy,3,1,,Fairy,,10,2560,2816,2805,2570,2560,26.5,12,Fast,"bipedal, tailless form",Normal,1
Mightyena,262,,,,,11,,Dark,,1,1,,Field,,15,,4096,4080,3855,3840,81.6,37,Medium Fast,quadruped body,Dark,3
Archeops,567,,,,,73,,Rock,Flying,1,7,,Flying,Water 3,30,,,,7710,7680,70.5,32,Medium Fast,single pair of wings,Rock,5
Barboach,339,,,,,127,,Water,Ground,1,1,,Water 2,,20,,5376,5355,5140,5120,4.2,1.9,Medium Fast,fins,Water,3
Noibat,714,,,,,113,Mo,Flying,Dragon,1,1,,Flying,,20,,,,5140,5120,17.6,8,Medium Fast,single pair of wings,Flying,6
Turtwig,387,,,,,1,,Grass,,1,7,,Monster,Grass,20,,,5355,5140,5120,22.5,10.2,Medium Slow,quadruped body,Grass,4
Mudkip,258,,,,,7,,Water,,1,7,,Monster,Water 1,20,,5376,5355,5140,5120,16.8,7.6,Medium Slow,quadruped body,Water,3
Binacle,688,,,,,21,Co,Rock,Water,1,1,,Water 3,,20,,,,5140,5120,68.3,31,Medium Fast,multiple bodies,Rock,6
Gourgeist,711,,,,Average Size,64,Mo,Ghost,Grass,1,1,,Amorphous,,20,,,,5140,5120,27.6,12.5,Medium Fast,head and a base,Ghost,6
Bunnelby,659,,,,,10,Ce,Normal,,1,1,,Field,,15,,,,3855,3840,11,5,Medium Fast,"bipedal, tailed form",Normal,6
Jellicent,593,F,,,,99,,Water,Ghost,1,1,,Amorphous,,20,,,,5140,5120,297.6,135,Medium Fast,tentacles or a multiped body,Water,5
Spinda,327,,,,,114,,Normal,,1,1,,Field,Human-Like,15,,4096,4080,3855,3840,11,5,Fast,"bipedal, tailed form",Normal,3
Gastly,92,,,,,92,,Ghost,Poison,1,1,,Amorphous,,20,5120,5376,5355,5140,5120,0.2,0.1,Medium Slow,head,Ghost,1
Stoutland,508,,,,,14,,Normal,,1,1,,Field,,15,,,,3855,3840,134.5,61,Medium Slow,quadruped body,Normal,5
Dusknoir,477,,,,,191,,Ghost,,1,1,,Amorphous,,25,,,6630,6425,6400,235,106.6,Fast,head and arms,Ghost,4
Blastoise,9,M,,Blastoisinite,Mega,9,,Water,,1,7,,Monster,Water 1,20,5120,5376,5355,5140,5120,188.5,85.5,Medium Slow,"bipedal, tailed form",Water,1
Kangaskhan,115,M,,Kangaskhanite,Mega,115,,Normal,,1,0,,Monster,,20,5120,5376,5355,5140,5120,176.4,80,Medium Fast,"bipedal, tailed form",Normal,1
Zygarde,718,T,,,10% Forme,150,Mo,Dragon,Ground,,,U,Undiscovered,,120,,,,30840,30720,73.9,33.5,Slow,quadruped body,Dragon,6
Cleffa,173,,,,,40,,Fairy,,3,1,U,Undiscovered,,10,2560,2816,2805,2570,2560,6.6,3,Fast,"bipedal, tailed form",Fairy,2
Torkoal,324,,,,,105,,Fire,,1,1,,Field,,20,,5376,5355,5140,5120,177.2,80.4,Medium Fast,quadruped body,Fire,3
Pupitar,247,,,,,250,,Rock,Ground,1,1,,Monster,,40,10240,10496,10455,10280,10240,335.1,152,Slow,serpentine bodies,Rock,2
Pidove,519,,,,,25,,Normal,Flying,1,1,,Flying,,15,,,,3855,3840,4.6,2.1,Medium Slow,single pair of wings,Normal,5
Tapu Fini,788,,,,,288,,Water,Fairy,,,U,Undiscovered,,15,,,,,3840,46.7,21.2,Slow,head and arms,Water,7
Glameow,431,,,,,76,,Normal,,3,1,,Field,,20,,,5355,5140,5120,8.6,3.9,Fast,quadruped body,Normal,4
Wailord,321,,,,,100,,Water,,1,1,,Field,Water 2,40,,10496,10455,10280,10240,877.4,398,Fluctuating,fins,Water,3
Comfey,764,,,,,174,,Fairy,,3,1,,Grass,,20,,,,,5120,0.7,0.3,Fast,head,Fairy,7
Golisopod,768,,,,,183,,Bug,Water,1,1,,Bug,Water 3,20,,,,,5120,238.1,108,Medium Fast,"bipedal, tailless form",Bug,7
Panpour,515,,,,,21,,Water,,1,7,,Field,,20,,,,5140,5120,29.8,13.5,Medium Fast,"bipedal, tailed form",Water,5
Naganadel,804,,,,,262,,Poison,Dragon,,,U,Undiscovered,,120,,,,,30720,330.7,150,Slow,single pair of wings,Poison,7
Relicanth,369,,,,,179,,Water,Rock,1,7,,Water 1,Water 2,40,,10496,10455,10280,10240,51.6,23.4,Slow,fins,Water,3
Sandshrew,27,,,,,27,,Ground,,1,1,,Field,,20,5120,5376,5355,5140,5120,26.5,12,Medium Fast,"bipedal, tailed form",Ground,1
Flabébé,669,,,,Yellow Flower,68,Ce,Fairy,,1,0,,Fairy,,20,,,,5140,5120,0.2,0.1,Medium Fast,head and arms,Fairy,6
Arceus,493,,,,Type: Electric,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Sableye,302,M,,Sablenite,Mega,68,,Dark,Ghost,1,1,,Human-Like,,25,,6656,6630,6425,6400,24.3,11,Medium Slow,"bipedal, tailless form",Dark,3
Grovyle,253,,,,,2,,Grass,,1,7,,Monster,Dragon,20,,5376,5355,5140,5120,47.6,21.6,Medium Slow,"bipedal, tailed form",Grass,3
Nidorino,33,,,,,33,,Poison,,0,1,,Monster,Field,20,5120,5376,5355,5140,5120,43,19.5,Medium Slow,quadruped body,Poison,1
Hippopotas,449,,,,,122,,Ground,,1,1,,Field,,30,,,7905,7710,7680,109.1,49.5,Slow,quadruped body,Ground,4
Simipour,516,,,,,22,,Water,,1,7,,Field,,20,,,,5140,5120,63.9,29,Medium Fast,"bipedal, tailed form",Water,5
Omastar,139,,,,,139,,Rock,Water,1,7,,Water 1,Water 3,30,7680,7936,7905,7710,7680,77.2,35,Medium Fast,tentacles or a multiped body,Rock,1
Stunfisk,618,,,,,124,,Ground,Electric,1,1,,Water 1,Amorphous,20,,,,5140,5120,24.3,11,Medium Fast,fins,Ground,5
Arceus,493,,,,Type: Poison,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Muk,89,,,,,89,,Poison,,1,1,,Amorphous,,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,head and arms,Poison,1
Krokorok,552,,,,,58,,Ground,Dark,1,1,,Field,,20,,,,5140,5120,73.6,33.4,Medium Slow,quadruped body,Ground,5
Slaking,289,,,,,38,,Normal,,1,1,,Field,,15,,4096,4080,3855,3840,287.7,130.5,Slow,"bipedal, tailless form",Normal,3
Caterpie,10,,,,,10,,Bug,,1,1,,Bug,,15,3840,4096,4080,3855,3840,6.4,2.9,Medium Fast,insectoid body,Bug,1
Castform,351,,,,Normal,142,,Normal,,1,1,,Fairy,Amorphous,25,,6656,6630,6425,6400,1.8,0.8,Medium Fast,head,Normal,3
Hoopa,720,U,,,Unbound,152,Ce,Psychic,Dark,,,U,Undiscovered,,120,,,,30840,30720,1080.3,490,Slow,"bipedal, tailed form",Psychic,6
Magneton,82,,,,,82,,Electric,Steel,,,,Mineral,,20,5120,5376,5355,5140,5120,132.3,60,Medium Fast,multiple bodies,Electric,1
Kingdra,230,,,,,192,,Water,Dragon,1,1,,Water 1,Dragon,20,5120,5376,5355,5140,5120,335.1,152,Medium Fast,head and a base,Water,2
Golem,76,A,,,Alolan,,,Rock,Electric,1,1,,Mineral,,15,3840,4096,4080,3855,3840,661.4,300,Medium Slow,"bipedal, tailless form",Rock,1
Azumarill,184,,,,,133,,Water,Fairy,1,1,,Water 1,Fairy,10,2560,2816,2805,2570,2560,62.8,28.5,Fast,"bipedal, tailed form",Water,2
Vaporeon,134,,,,,134,,Water,,1,7,,Field,,35,8960,9216,9180,8995,8960,63.9,29,Medium Fast,quadruped body,Water,1
Pyroar,668,,,,,58,Ce,Fire,Normal,7,1,,Field,,20,,,,5140,5120,179.7,81.5,Medium Slow,quadruped body,Fire,6
Delibird,225,,,,,194,,Ice,Flying,1,1,,Water 1,Field,20,5120,5376,5355,5140,5120,35.3,16,Fast,single pair of wings,Ice,2
Ditto,132,,,,,132,,Normal,,,,U*,Ditto,,20,5120,5376,5355,5140,5120,8.8,4,Medium Fast,head,Normal,1
Wishiwashi,746,,,,Solo Form,110,,Water,,1,1,,Water 2,,15,,,,,3840,0.7,0.3,Fast,fins,Water,7
Poipole,803,,,,,261,,Poison,,,,U,Undiscovered,,120,,,,,30720,4,1.8,Slow,"bipedal, tailed form",Poison,7
Plusle,311,,,,,80,,Electric,,1,1,,Fairy,,20,,5376,5355,5140,5120,9.3,4.2,Medium Fast,"bipedal, tailed form",Electric,3
Latias,380,,,,,196,,Dragon,Psychic,1,0,U,Undiscovered,,120,,30976,30855,30840,30720,88.2,40,Slow,single pair of wings,Dragon,3
Weezing,110,,,,,110,,Poison,,1,1,,Amorphous,,20,5120,5376,5355,5140,5120,20.9,9.5,Medium Fast,multiple bodies,Poison,1
Sewaddle,540,,,,,46,,Bug,Grass,1,1,,Bug,,15,,,,3855,3840,5.5,2.5,Medium Slow,insectoid body,Bug,5
Krabby,98,,,,,98,,Water,,1,1,,Water 3,,20,5120,5376,5355,5140,5120,14.3,6.5,Medium Fast,insectoid body,Water,1
Altaria,334,,,,,122,,Dragon,Flying,1,1,,Flying,Dragon,20,,5376,5355,5140,5120,45.4,20.6,Erratic,single pair of wings,Dragon,3
Terrakion,639,,,,,145,,Rock,Fighting,,,U,Undiscovered,,80,,,,20560,20480,573.2,260,Slow,quadruped body,Rock,5
Bounsweet,761,,,,,171,,Grass,,1,0,,Grass,,20,,,,,5120,7.1,3.2,Medium Slow,head and legs,Grass,7
Magmar,126,,,,,126,,Fire,,1,3,,Human-Like,,25,6400,6656,6630,6425,6400,98.1,44.5,Medium Fast,"bipedal, tailed form",Fire,1
Mewtwo,150,,,,,150,,Psychic,,,,U,Undiscovered,,120,30720,30976,30855,30840,30720,269,122,Slow,"bipedal, tailed form",Psychic,1
Pidgey,16,,,,,16,,Normal,Flying,1,1,,Flying,,15,3840,4096,4080,3855,3840,4,1.8,Medium Slow,single pair of wings,Normal,1
Seel,86,,,,,86,,Water,,1,1,,Water 1,Field,20,5120,5376,5355,5140,5120,198.4,90,Medium Fast,fins,Water,1
Bewear,760,,,,,170,,Normal,Fighting,1,1,,Field,,15,,,,,3840,297.6,135,Medium Fast,"bipedal, tailed form",Normal,7
Arceus,493,,,,Type: Flying,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Clawitzer,693,,,,,33,Co,Water,,1,1,,Water 1,Water 3,15,,,,3855,3840,77.8,35.3,Slow,serpentine bodies,Water,6
Arceus,493,,,,Type: Psychic,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Dustox,269,,,,,18,,Bug,Poison,1,1,,Bug,,15,,4096,4080,3855,3840,69.7,31.6,Medium Fast,two or more pairs of wings,Bug,3
Ribombee,743,,,,,84,,Bug,Fairy,1,1,,Bug,Fairy,20,,,,,5120,1.1,0.5,Medium Fast,two or more pairs of wings,Bug,7
Vivillon,666,,,,Elegant Pattern,22,Ce,Bug,Flying,1,1,,Bug,,15,,,,3855,3840,37.5,17,Medium Fast,two or more pairs of wings,Bug,6
Xatu,178,,,,,162,,Psychic,Flying,1,1,,Flying,,20,5120,5376,5355,5140,5120,33.1,15,Medium Fast,single pair of wings,Psychic,2
Magnemite,81,,,,,81,,Electric,Steel,,,,Mineral,,20,5120,5376,5355,5140,5120,13.2,6,Medium Fast,head and arms,Electric,1
Rampardos,409,,,,,37,,Rock,,1,7,,Monster,,30,,,7905,7710,7680,226,102.5,Erratic,"bipedal, tailed form",Rock,4
Venonat,48,,,,,48,,Bug,Poison,1,1,,Bug,,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,"bipedal, tailless form",Bug,1
Whirlipede,544,,,,,50,,Bug,Poison,1,1,,Bug,,15,,,,3855,3840,129,58.5,Medium Slow,head,Bug,5
Rattata,19,A,,,Alolan,,,Dark,Normal,1,1,,Field,,15,3840,4096,4080,3855,3840,7.7,3.5,Medium Fast,quadruped body,Normal,1
Nidoqueen,31,,,,,31,,Poison,Ground,1,0,U,Undiscovered,,20,5120,5376,5355,5140,5120,132.3,60,Medium Slow,"bipedal, tailed form",Poison,1
Zweilous,634,,,,,140,,Dark,Dragon,1,1,,Dragon,,40,,,,10280,10240,110.2,50,Slow,quadruped body,Dark,5
Klefki,707,,,,,50,Mo,Steel,Fairy,1,1,,Mineral,,20,,,,5140,5120,6.6,3,Fast,head,Steel,6
Gyarados,130,M,,Gyaradosite,Mega,130,,Water,Dark,1,1,,Water 2,Dragon,5,1280,1536,1530,1285,1280,518.1,235,Slow,serpentine bodies,Water,1
Qwilfish,211,,,,,163,,Water,Poison,1,1,,Water 2,,20,5120,5376,5355,5140,5120,8.6,3.9,Medium Fast,fins,Water,2
Glalie,362,M,,Glalitite,Mega,172,,Ice,,1,1,,Fairy,Mineral,20,,5376,5355,5140,5120,565.5,256.5,Medium Fast,head,Ice,3
Smoochum,238,,,,,154,,Ice,Psychic,1,0,U,Undiscovered,,25,6400,6656,6630,6425,6400,13.2,6,Medium Fast,"bipedal, tailless form",Ice,2
Wormadam,413,S,,,Trash Cloak,46,,Bug,Steel,1,0,,Bug,,15,,,4080,3855,3840,14.3,6.5,Medium Fast,head and a base,Bug,4
Honchkrow,430,,,,,75,,Dark,Flying,1,1,,Flying,,20,,,5355,5140,5120,60.2,27.3,Medium Slow,single pair of wings,Dark,4
Larvitar,246,,,,,249,,Rock,Ground,1,1,,Monster,,40,10240,10496,10455,10280,10240,158.7,72,Slow,"bipedal, tailed form",Rock,2
Emolga,587,,,,,93,,Electric,Flying,1,1,,Field,,20,,,,5140,5120,11,5,Medium Fast,quadruped body,Electric,5
Hippowdon,450,,,,,123,,Ground,,1,1,,Field,,30,,,7905,7710,7680,661.4,300,Slow,quadruped body,Ground,4
Goodra,706,,,,,21,Mo,Dragon,,1,1,,Dragon,,40,,,,10280,10240,331.8,150.5,Slow,"bipedal, tailed form",Dragon,6
Empoleon,395,,,,,9,,Water,Steel,1,7,,Water 1,Field,20,,,5355,5140,5120,186.3,84.5,Medium Slow,"bipedal, tailed form",Water,4
Kyurem,646,W,,,White,152,,Dragon,Ice,,,U,Undiscovered,,120,,,,30840,30720,716.5,325,Slow,"bipedal, tailed form",Dragon,5
Deerling,585,,,,Spring Form,91,,Normal,Grass,1,1,,Field,,20,,,,5140,5120,43,19.5,Medium Fast,quadruped body,Normal,5
Dratini,147,,,,,147,,Dragon,,1,1,,Water 1,Dragon,40,10240,10496,10455,10280,10240,7.3,3.3,Slow,serpentine bodies,Dragon,1
Diglett,50,A,,,Alolan,,,Ground,Steel,1,1,,Field,,20,5120,5376,5355,5140,5120,1.8,0.8,Medium Fast,head and a base,Ground,1
Tapu Lele,786,,,,,286,,Psychic,Fairy,,,U,Undiscovered,,15,,,,,3840,41,18.6,Slow,head and arms,Psychic,7
Furfrou,676,,,,Natural Form,93,Ce,Normal,,1,1,,Field,,20,,,,5140,5120,61.7,28,Medium Fast,quadruped body,Normal,6
Vespiquen,416,,,,,54,,Bug,Flying,1,0,,Bug,,15,,,4080,3855,3840,84.9,38.5,Medium Slow,two or more pairs of wings,Bug,4
Cubone,104,,,,,104,,Ground,,1,1,,Monster,,20,5120,5376,5355,5140,5120,14.3,6.5,Medium Fast,"bipedal, tailed form",Ground,1
Dhelmise,781,,,,,263,,Ghost,Grass,,,,Mineral,,25,,,,,6400,463,210,Medium Fast,head and a base,Ghost,7
Pumpkaboo,710,,,,Large Size,63,Mo,Ghost,Grass,1,1,,Amorphous,,20,,,,5140,5120,16.5,7.5,Medium Fast,head,Ghost,6
Mimikyu,778,,,,Busted Form,242,,Ghost,Fairy,1,1,,Amorphous,,20,,,,,5120,1.5,0.7,Medium Fast,serpentine bodies,Ghost,7
Pichu,172,,,,,21,,Electric,,1,1,U,Undiscovered,,10,2560,2816,2805,2570,2560,4.4,2,Medium Fast,quadruped body,Electric,2
Sawk,539,,,,,45,,Fighting,,0,1,,Human-Like,,20,,,,5140,5120,112.4,51,Medium Fast,"bipedal, tailless form",Fighting,5
Buzzwole,794,,,,,294,,Bug,Fighting,,,U,Undiscovered,,120,,,,,30720,735.5,333.6,Slow,tentacles or a multiped body,Bug,7
Seismitoad,537,,,,,43,,Water,Ground,1,1,,Water 1,,20,,,,5140,5120,136.7,62,Medium Slow,"bipedal, tailless form",Water,5
Sudowoodo,185,,,,,107,,Rock,,1,1,,Mineral,,20,5120,5376,5355,5140,5120,83.8,38,Medium Fast,"bipedal, tailless form",Rock,2
Litleo,667,,,,,57,Ce,Fire,Normal,7,1,,Field,,20,,,,5140,5120,29.8,13.5,Medium Slow,quadruped body,Fire,6
Cosmoem,790,,,,,290,,Psychic,,,,U,Undiscovered,,120,,,,,30720,2204.4,999.9,Slow,head,Psychic,7
Zoroark,571,,,,,77,,Dark,,1,7,,Field,,20,,,,5140,5120,178.8,81.1,Medium Slow,"bipedal, tailed form",Dark,5
Poliwag,60,,,,,60,,Water,,1,1,,Water 1,,20,5120,5376,5355,5140,5120,27.3,12.4,Medium Slow,head and legs,Water,1
Genesect,649,,,,,155,,Bug,Steel,,,U,Undiscovered,,120,,,,30840,30720,181.9,82.5,Slow,"bipedal, tailless form",Bug,5
Metapod,11,,,,,11,,Bug,,1,1,,Bug,,15,3840,4096,4080,3855,3840,21.8,9.9,Medium Fast,serpentine bodies,Bug,1
Lotad,270,,,,,19,,Water,Grass,1,1,,Water 1,Grass,15,,4096,4080,3855,3840,5.7,2.6,Medium Slow,insectoid body,Water,3
Combee,415,,,,,53,,Bug,Flying,1,7,,Bug,,15,,,4080,3855,3840,12.1,5.5,Medium Slow,multiple bodies,Bug,4
Slakoth,287,,,,,36,,Normal,,1,1,,Field,,15,,4096,4080,3855,3840,52.9,24,Slow,quadruped body,Normal,3
