Name,Gen,Description,English,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
Lucky Punch,III,Raises Chansey's critical hit rate.,Wave Mail,クロスメール,Cross Mail,Lettre Vague,Wellenbrief,Mess. Onda,Carta Ola,,,,
Lum Berry,III,Cures any status condition.,Bead Mail,トレジャーメール,Treasure Mail,Lettre Bulle,Perlenbrief,Mess. Perle,Carta Imagen,,,,
Luminous Moss,VI,Raises the holder's Special Defense by one stage after being hit by a Water-type attack. Consumed after use.,Shadow Mail,シャドーメール,Shadow Mail,Lettre Ombre,Dunkelbrief,Mess. Ombra,Carta Sombra,,,,
Lumiose Galette,VI,Cures any status condition.,Tropic Mail,トロピカルメール,Tropical Mail,Lettre Tropi,Tropenbrief,Mess. Tropic,Carta Tropical,,,,
Lunalium Z,VII,Allows Lunala and Dawn Wings Necrozma to upgrade Moongeist Beam to the special Z-Move Menacing Moonraze Maelstrom.,Dream Mail,ドリームメール,Dream Mail,Lettre Songe,Traumbrief,Mess. Sogno,Carta Sueño,,,,
Lunar Wing,IV,Cures an endless nightmare.,Fab Mail,ミラクルメール,Miracle Mail,Lettre Cool,Edelbrief,Mess. Fab,Carta Fabulosa,,,,
Lure Ball,II,A type of Poké Ball that works best on Pokémon caught using a rod.,Retro Mail,レトロメール,Retro Mail,Lettre Retro,Retrobrief,Mess. Retro,Carta Retro,,,,
Lustrous Orb,IV,Boosts Palkia's Water- and Dragon-type attacks.,,,,,,,,,,,
Luxury Ball,III,A Pokémon caught in a Luxury Ball will gain friendship more quickly.,Grass Mail,グラスメール,Grass Mail,Lettre Herbe,Wiesenbrief,Mess. Erba,Carta Hierba,잔디메일,Jandi Mail,,
Lycanium Z,VII,Allows Lycanroc to upgrade Stone Edge to the special Z-Move Splintered Stormshards.,Flame Mail,フレイムメール,Flame Mail,Lettre Feu,Feuerbrief,Mess. Fiamma,Carta Fuego,플레임메일,Flame Mail,,
,,,Bubble Mail,ブルーメール,Blue Mail,Lettre Mer,Wasserbrief,Mess. Bolla,Carta Pompas,블루메일,Blue Mail,,
,,,Bloom Mail,ブルームメール,Bloom Mail,Lett. Pétale,Blütenbrief,Mess. Petalo,Carta Flores,블룸메일,Bloom Mail,,
Mach Bike,III,"A speedy bike that can even go up muddy slopes. It is harder to control than the Acro Bike, and cannot do tricks.",Tunnel Mail,トンネルメール,Tunnel Mail,Lettre Mine,Minenbrief,Mess. Tunnel,Carta Mina,터널메일,Tunnel Mail,,
Machine Part,II,The missing part from the Power Plant.,Steel Mail,スチールメール,Steel Mail,Lettre Acier,Stahlbrief,Mess. Lega,Carta Acero,스틸메일,Steel Mail,,
Machine Part,III,Take to the Power Plant to restore power to the Magnet Train.,Heart Mail,ラブラブメール,Love-Love Mail,Lettre Coeur,Rosabrief,Mess. Cuore,Car. Corazón,러브러브메일,Love-Love Mail,,
Macho Brace,II,Raises Effort values but lowers Speed.,Snow Mail,ブリザードメール,Blizzard Mail,Lettre Neige,Schneebrief,Mess. Neve,Carta Nieve,블리자드메일,Blizzard Mail,,
Magma Emblem,III,Allows entrance into the Team Magma Hideout.,Space Mail,スペースメール,Space Mail,Lettre Cosmo,Sternbrief,Mess. Spazio,Car. Sideral,스페이스메일,Space Mail,,
Magmarizer,IV,A held item that allows Magmar to evolve when traded.,Air Mail,エアメール,Air Mail,Lettre Avion,Luftbrief,Mess. Aereo,Carta Aérea,에어메일,Air Mail,,
Magma Stone,V,Allows the player to battle Heatran.,Mosaic Mail,モザイクメール,Mosaic Mail,Lettremosaik,Mosaikbrief,Mess. Iride,Car. Mosaico,모자이크메일,Mosaic Mail,,
Magma Suit,VI,Allows the player to ride Groudon in the Cave of Origin and fly into space on Rayquaza.,Brick Mail,ブリックメール,Brick Mail,Lettre Brik,Ziegelbrief,Mess. Muro,Carta Pared,브릭메일,Brick Mail,,
Magnet,II,Raises the power of Electric-type moves.,,,,,,,,,,,
Mago Berry,III,"When HP falls below 25%, restores 50% HP, but confuses Pokémon that dislike spicy food (12.5% when below 50% before Gen. VII).",Greet Mail,はじめてメール,Hajimete Mail,Lettre Salut,Grußbrief,Mess. Inizio,C. Inicial,첫메일,Cheot Mail,初次郵件 / 初次邮件,Chūcì Yóujiàn / Chōchi Yàuhgín
Magost Berry,III,Pokéblock and Poffin ingredient.,Favored Mail,だいすきメール,Daisuki Mail,Lettre Fan,Faiblebrief,Mess. TVB,C. Favoritos,애호메일,Aeho Mail,喜愛郵件 / 喜爱邮件,Xǐ'ài Yóujiàn / Héi'oi Yàuhgín
Maingate Key,III,Opens the front gate to the Shadow PKMN Lab.,RSVP Mail,おさそいメール,Osasoi Mail,Lettre Invit,Einladebrief,Mess. Invito,C. Invitar,권유메일,Gweon'yu Mail,邀請郵件 / 邀请邮件,Yāoqǐng Yóujiàn / Yīuchíng Yàuhgín
Makeup Bag,VII,A case for carrying lipsticks.,Thanks Mail,かんしゃメール,Kansha Mail,Lettre Merci,Dankesbrief,Mess. Grazie,C. Gracias,감사메일,Gamsa Mail,感謝郵件 / 感谢邮件,Gǎnxiè Yóujiàn / Gámjeh Yàuhgín
Manectite,VI,Allows Manectric to Mega Evolve into Mega Manectric.,Inquiry Mail,しつもんメール,Shitsumon Mail,Let. Demande,Fragebrief,Mess. Chiedi,C. Pregunta,질문메일,Jilmun Mail,詢問郵件 / 询问邮件,Xúnwèn Yóujiàn / Sēunmahn Yàuhgín
Maranga Berry,VI,Increases Special Defense when hit by a special move.,Like Mail,おすすめメール,Osusume Mail,Lettre Avis,Insiderbrief,Mess. Sugg.,C. Gustos,추천메일,Chucheon Mail,推薦郵件 / 推荐邮件,Tuījiàn Yóujiàn / Tēuijin Yàuhgín
Marshadium Z,VII,Allows Marshadow to upgrade Spectral Thief to the special Z-Move Soul-Stealing 7-Star Strike.,Reply Mail,おかえしメール,Okaeshi Mail,Let. Réponse,Rückbrief,Mess. Risp.,C. Respuesta,답장메일,Dapjang Mail,回覆郵件 / 回复邮件,Huífù Yóujiàn / Wùihfūk Yàuhgín
Master Ball,I,"A rare type of Poké Ball that catches any wild Pokémon without fail. Generally available only once in the game, though it may be obtained again in very unlikely situations (such as winning the lottery), cheating, or on the GTS in Generation IV.",BridgeMail S,ブリッジメールＳ,Bridge Mail S,Lettre PontS,Brückbrief H,Mess. Frec.,C. Puente S,브리지메일S,Bridge Mail S,橋梁郵件Ｓ / 桥梁邮件Ｓ,Qiáoliáng Yóujiàn S / Kìuhlèuhng Yàuhgín S
Mawilite,VI,Allows Mawile to Mega Evolve into Mega Mawile.,BridgeMail D,ブリッジメールＨ,Bridge Mail H,Lettre PontY,Brückbrief M,Mess. Libec.,C. Puente F,브리지메일M,Bridge Mail M,橋梁郵件Ｈ / 桥梁邮件Ｈ,Qiáoliáng Yóujiàn H / Kìuhlèuhng Yàuhgín H
Max Elixir,I,Restores all of a Pokémon's PP.,BridgeMail T,ブリッジメールＣ,Bridge Mail C,Lettre PontF,Brückbrief Z,Mess. Prop.,C. Puente A,브리지메일C,Bridge Mail C,橋梁郵件Ｃ / 桥梁邮件Ｃ,Qiáoliáng Yóujiàn C / Kìuhlèuhng Yàuhgín C
Max Ether,I,Restores all the PP of a single move.,BridgeMail V,ブリッジメールＶ,Bridge Mail V,Lettre PontH,Brückbrief D,Mess. Vill.,C. Puente V,브리지메일V,Bridge Mail V,橋梁郵件Ｖ / 桥梁邮件Ｖ,Qiáoliáng Yóujiàn V / Kìuhlèuhng Yàuhgín V
Max Potion,I,Restores all of a Pokémon's HP.,BridgeMail M,ブリッジメールＷ,Bridge Mail W,Lettre PontI,Brückbrief W,Mess. Merav.,C. Puente P,브리지메일W,Bridge Mail W,橋梁郵件Ｗ / 桥梁邮件Ｗ,Qiáoliáng Yóujiàn W / Kìuhlèuhng Yàuhgín W
Max Repel,I,Prevents wild Pokémon with a lower level than the first member of the party from appearing for 250 steps,,,,,,,,,,,
Max Revive,I,Revives a Pokémon to full health.,Guard Spec.,エフェクトガード,Effect Guard,Defense Spec,Megablock,Superguardia,Protec. Esp.,이펙트가드,Effect Guard,能力防守,Nénglì Fángshǒu / Nàhnglihk Fòhngsáu
Mayor's Note,III,A letter from the Mayor to Justy.,Dire Hit,クリティカット*,Criticut*,Muscle +,Angriffplus,Supercolpo,Directo,크리티컬커터,Critical Cutter,要害攻擊 / 要害攻击,Yàohài Gōngjí / Yiuhoih Gūnggīk
Meadow Plate,IV,Raises the power of Grass-type moves.,X Attack,プラスパワー,Plus Power,Attaque +,X-Angriff,Attacco X,Ataque X,플러스파워,Plus Power,力量強化 / 力量强化,Lìliàng Qiánghuà / Lihkleuhng Kèuhngfa
Mech Mail,III,Mail with a mechanical pattern. To be held by a Pokémon for delivery.,X Defense*,ディフェンダー,Defender,Defense +,X-Abwehr,Difesa X,Defensa X,디펜드업,Defend-Up,防禦強化 / 防御强化,Fángyù Qiánghuà / Fòhngyuh Kèuhngfa
Medal Box,V,A box-shaped machine that stores Medals and Medal information.,X Speed,スピーダー,Speeder,Vitesse +,X-Tempo,Velocità X,Velocidad X,스피드업,Speed-Up,速度強化 / 速度强化,Sùdù Qiánghuà / Chūkdouh Kèuhngfa
Medichamite,VI,Allows Medicham to Mega Evolve into Mega Medicham.,X Accuracy,ヨクアタール,Yokuatāru,Precision +,X-Treffer,Precisione X,Precisión X,잘-맞히기,Jal-Machigi,命中強化 / 命中强化,Mìngzhòng Qiánghuà / Mihngjung Kèuhngfa
Mega Ring,VI,Allows the player to Mega Evolve a Pokémon holding the appropriate Mega Stone.,X Sp. Atk*,スペシャルアップ,Special Up,Special +,X-Spezial,Att. Speciale X*,Especial X,스페셜업,Special-Up,特攻強化 / 特攻强化,Tègōng Qiánghuà / Dahkgūng Kèuhngfa
Member Card,IV,Allows access to the Canalave City hotel to face Darkrai.,X Sp. Def,スペシャルガード,Special Guard,Def. Spé. +,X-Spezial-Vert.,Dif. Sp. X,Def. Esp. X,스페셜가드,Special Guard,特防強化 / 特防强化,Tèfáng Qiánghuà / Dahkfòhng Kèuhngfa
Mental Herb,III,Prevents attraction. Consumed after use.,Poké Doll,ピッピにんぎょう,Pippi Ningyō,Poképoupée,Poképuppe,Poké Bambola,Poké Muñeco,삐삐인형,Ppippi Inhyeong,皮皮玩偶,Pípí Wán'ǒu / Pèihpèih Wuhnngáuh
Metagrossite,VI,Allows Metagross to Mega Evolve into Mega Metagross.,Fluffy Tail,エネコのシッポ,Eneco no Shippo,Queue Skitty,Eneco-Rute,Coda Skitty,Cola Skitty,에나비꼬리,Enabi Kkori,向尾喵的尾巴,Xiàngwěimiāo-de Wěibā/Xiàngwěimiāo-de Yǐba / Heungméihmīu-dīk Méihbā
Metal Coat,II,Raises the power of Steel-type moves. Allows Onix and Scyther to evolve when traded.,Blue Flute,あおいビードロ,Aoi Vidro,Flûte Bleue*,Blaue Flöte,Flauto Blu,Flauta Azul,파랑비드로,Parang Vidro,藍色玻璃哨 / 蓝色玻璃哨,Lán-sè Bōlí Shào / Làahm-sīk Bōlèih Saau
Metal Powder,II,Raises Ditto's Defense.,Yellow Flute,きいろビードロ,Kiiro Vidro,Flûte Jaune*,Gelbe Flöte,Flauto Giallo*,Flauta Amarilla*,노랑비드로,Norang Vidro,黃色玻璃哨 / 黄色玻璃哨,Huáng-sè Bōlí Shào / Wòhng-sīk Bōlèih Saau
Meteorite,III,Deliver to Professor CozmoRSE or Lostelle's fatherFRLG. Enables the Rayquaza featured in the Delta Episode to Mega Evolve.ORAS,Red Flute,あかいビードロ,Akai Vidro,Flûte Rouge*,Rote Flöte,Flauto Rosso,Flauta Roja,빨강비드로,Ppalgang Vidro,紅色玻璃哨 / 红色玻璃哨,Hóngsè Bōlí Shào / Hùhng-sīk Bōlèih Saau
Meteorite Shard,VI,To be delivered to Steven Stone and Professor Cozmo.,Poké Toy,ポケじゃらし,Poké Jarashi,Poképlumet,Pokéwedel,Pokégingillo,Pokéseñuelo,포켓풀,Pocket Pul,寶可尾草 / 宝可尾草,Bǎokě Wěicǎo / Bóuhó Méihchóu
Metronome,IV,Raises power of moves used in a row.,Ability Urge,スキルコール,Skill Call,Appel CapSpé,Fäh.-Appell,Chiamabilità,Habilitador,스킬콜,Skill Call,—,—
Mewnium Z,VII,Allows Mew to upgrade Psychic to the special Z-Move Genesis Supernova.,Item Drop,アイテムドロップ,Item Drop,Jette Objet,Itemabwurf,Lascioggetto,Tiraobjeto,아이템드롭,Item Drop,—,—
Mewtwonite X,VI,Allows Mewtwo to Mega Evolve into Mega Mewtwo X.,Item Urge,アイテムコール,Item Call,Appel Objet,Itemappell,Chiamoggetto,Activaobjeto,아이템콜,Item Call,—,—
Mewtwonite Y,VI,Allows Mewtwo to Mega Evolve into Mega Mewtwo Y.,Reset Urge,フラットコール,Flat Call,Réamorçage,Umkehrappell,Ripristino,Quitaestado,플랫콜,Flat Call,—,—
Micle Berry,IV,Raises a move's accuracy just once when HP is below ⅓ of maximum.,,,,,,,,,,,
Mimikium Z,VII,Allows Mimikyu to upgrade Play Rough to the special Z-Move Let's Snuggle Forever.,Potion,キズぐすり,Kizu Gusuri,Potion,Trank,Pozione,Poción,상처약,Sangcheo Yak,傷藥 / 伤药,Shāngyào / Sēungyeuhk
Mind Plate,IV,Raises the power of Psychic-type moves.,Antidote,どくけし,Dokukeshi,Antidote,Gegengift,Antidoto,Antídoto,해독제,Haedokje,解毒藥 / 解毒药,Jiědúyào / Gáaiduhkyeuhk
Mint Berry,II,Awakens a sleeping Pokémon.,Burn Heal,やけどなおし,Yakedo Naoshi,Anti-Brûle,Feuerheiler,Antiscottatura,Antiquemar,화상치료제,Hwasang Chiryoje,灼傷藥 / 灼伤药,Zhuóshāngyào / Cheuksēungyeuhk
MiracleBerry,II,Cures any status condition.,Ice Heal,こおりなおし,Kōri Naoshi,Antigel,Eisheiler,Antigelo,Antihielo,얼음상태치료제,Eoreum Sangtae Chiryoje,解凍藥 / 解冻药,Jiědòngyào / Gáaidungyeuhk
Miracle Seed,II,Raises the power of Grass-type moves.,Awakening,ねむけざまし,Nemuke Zamashi,Reveil,Aufwecker,Sveglia,Despertar,잠깨는약,Jam Kkaeneun Yak,解眠藥 / 解眠药,Jiěmiányào / Gáaimìhnyeuhk
Mirage Mail,II,Mail with a Mew pattern. Available only through Mystery Gift. To be held by a Pokémon for delivery.,Paralyze Heal,まひなおし,Mahi Naoshi,Anti-Para,Para-Heiler,Antiparalisi,Antiparalizador*,마비치료제,Mabi Chiryoje,解麻藥 / 解麻药,Jiěmáyào / Gáaimàhyeuhk
Miror Radar,III,Keeps track of Miror B.,Full Restore,かいふくのくすり,Kaifuku no Kusuri,Guerison,Top-Genesung,Ricarica Totale,Restaurar Todo*,회복약,Hoebok Yak,全復藥 / 全复药,Quánfùyào / Chyùhnfuhkyeuhk
Misty Seed,VII,A one-time use item that raises the holder's Sp. Defense by one stage upon activation of Misty Terrain.,Max Potion,まんたんのくすり,Mantan no Kusuri,Potion Max,Top-Trank,Pozione Max,Máxima Poción,풀회복약,Full Hoebok Yak,全滿藥 / 全满药,Quánmǎn Yào / Chyùhnmúhn Yeuhk
Moomoo Milk,II,Restores 100 HP.,Hyper Potion,すごいキズぐすり,Sugoi Kizugusuri,Hyper Potion,Hypertrank,Iperpozione,Hiperpoción*,고급상처약,Gogeup Sangcheo Yak,厲害傷藥 / 厉害伤药,Lìhài Shāngyào / Leihhhoih Sēungyeuhk
Moon Ball,II,A type of Poké Ball that works better on Pokémon that evolve using the Moon Stone.,Super Potion,いいキズぐすり,Ii Kizu Gusuri,Super Potion,Supertrank,Super Pozione,Superpoción*,좋은상처약,Jo-eun Sangcheo Yak,好傷藥 / 好伤药,Hǎo Shāngyào / Hóu Sēungyeuhk
Moon Flute,VII,Used to evolve Nebby into Lunala at the Altar of the Moone.,Full Heal,なんでもなおし,Nandemo Naoshi,Total Soin,Hyperheiler,Cura Totale,Cura Total,만병통치약,Manbyeongtongchiyak,萬靈藥 / 万灵药,Wànlíngyào / Maahnlìhngyeuhk
Moon Shard,III,Allows Eevee to evolve into Umbreon in Pokémon XD: Gale of Darkness.,Revive,げんきのかけら,Genki no Kakera,Rappel,Beleber,Revitalizzante*,Revivir,기력의조각,Giryeog-ui Jogak,活力碎片,Huólì Suìpiàn / Wuhtlihk Seuipín
Moon Stone,I,"Can be used to evolve Clefairy, Jigglypuff, Nidorino, Nidorina, and Skitty.",Max Revive,げんきのかたまり,Genki no Katamari,Rappel Max,Top-Beleber,Revitalizz. Max*,Revivir Máximo*,기력의덩어리,Giryeog-ui Deong-eori,活力塊 / 活力块,Huólì Kuài / Wuhtlihk Faai
Morph Mail,II,Mail with a Ditto design. To be held by a Pokémon for delivery.,Fresh Water,おいしいみず,Oishii Mizu,Eau Fraiche,Tafelwasser,Acqua Fresca,Agua Fresca,맛있는물,Masinneun Mul,美味之水,Měiwèi-zhī Shuǐ / Méihmeih-jī Séui
Mosaic Mail,IV,Mail with a rainbow pattern. To be held by a Pokémon for delivery.,Soda Pop,サイコソーダ,Saiko Soda,Soda Cool,Sprudel,Gassosa,Refresco,미네랄사이다,Mineral Cider,勁爽汽水 / 劲爽汽水,Jìnshuǎng Qìshuǐ / Gihngsóng Heiséui
Muscle Band,IV,Raises the power of physical moves.,Lemonade,ミックスオレ,Mix au Lait,Limonade,Limonade,Lemonsucco,Limonada,후르츠밀크,Fruits Milk,果汁牛奶,Guǒzhī Niúnǎi / Gwójāp Ngàuhnáaih
Muscle Wing,V,Raises the Attack of a Pokémon.,Moomoo Milk,モーモーミルク,Mō Mō Milk,Lait Meumeu,Kuhmuh-Milch,Latte Mumu,Leche Mu-Mu,튼튼밀크,Teunteun Milk,哞哞鮮奶 / 哞哞鲜奶,Mōumōu Xiānnǎi / Māumāu Sīnnáaih
Music Disc,III,Allows a change of music in Trest's house.,Ether,ピーピーエイド,PP Aid,Huile,Äther,Etere,Éter,PP에이드,PP Aid,ＰＰ單項小補劑 / ＰＰ单项小补剂,PP Dānxiàng Xiǎobǔjì / PP Dāanhohng Síubóujaih
Music Mail,II,Mail with a Natu design. Only available through Mystery Gift. To be held by a Pokémon for delivery.,Max Ether,ピーピーリカバー,PP Recover,Huile Max,Top-Äther,Etere Max,Éter Máximo,PP회복,PP Hoebok,ＰＰ單項全補劑 / ＰＰ单项全补剂,PP Dānxiàng Quánbǔjì / PP Dāanhohng Chyùhnbóujaih
MysteryBerry,II,Restores 5 PP.,Elixir*,ピーピーエイダー,PP Aider,Elixir,Elixier,Elisir,Elixir,PP에이더,PP Aider,ＰＰ多項小補劑 / ＰＰ多项小补剂,PP Duōxiàng Xiǎobǔjì / PP Dōhohng Síubóujaih
Mystery Egg,II,Hatches into Togepi.,Max Elixir*,ピーピーマックス,PP Max,Max Elixir,Top-Elixier,Elisir Max,Elixir Máximo,PP맥스,PP Max,ＰＰ多項全補劑 / ＰＰ多项全补剂,PP Duōxiàng Quánbǔjì / PP Dōhohng Chyùhnbóujaih
MysticTicket,III,Allows the player to access Navel Rock and catch Lugia and Ho-Oh.,Energy Powder*,ちからのこな,Chikara no Kona,Poudre Énergie*,Energiestaub,Polvenergia,Polvo Energía*,힘의가루,Himui Garu,元氣粉 / 元气粉,Yuánqì Fěn / Yùhnhei Fán
Mystic Water,II,Raises the power of Water-type moves.,Energy Root,ちからのねっこ,Chikara no Nekko,Racine Énergie*,Kraftwurzel,Radicenergia,Raíz Energía,힘의뿌리,Himui Ppuri,元氣根 / 元气根,Yuánqì Gēn / Yùhnhei Gān
,,,Heal Powder,ばんのうごな,Bannō Gona,Poudre Soin,Heilpuder,Polvocura,Polvo Curación,만능가루,Manneung Garu,萬能粉 / 万能粉,Wànnéng Fěn / Maahnnàhng Fán
,,,Revival Herb,ふっかつそう,Fukkatsu Sō,Herbe Rappel,Vitalkraut,Vitalerba,Hierba Revivir,부활 초,Buhwal Cho,復活草 / 复活草,Fùhuó Cǎo / Fuhkwuht Chóu
Nanab Berry,III,Pokéblock and Poffin ingredient.,Sacred Ash,せいなるはい,Seinaru Hai,Cendres Sacrées*,Zauberasche,Magicenere,Ceniza Sagrada,성스러운분말,Seongseureoun Bunmal,聖灰 / 圣灰,Shènghuī / Singfūi
Nest Ball,III,A type of Poké Ball that works better on low-level Pokémon.,Rage Candy Bar*,いかりまんじゅう,Ikari Manjū,Bonbon Rage,Wutkeks,Iramella,Caram. Furia,분노의호두과자,Bunno-ui Hodugwaja,憤怒饅頭 / 愤怒馒头,Fènnù Mántou / Fáhnnouh Màahntàuh
Net Ball,III,A type of Poké Ball that works better on Water- and Bug-type Pokémon.,Lava Cookie,フエンせんべい,Fuen Senbei,Lava Cookie,Lavakeks,Lavottino,Galleta Lava,용암전병,Yong-am Jeonbyeong,釜炎仙貝 / 釜炎仙贝,Fǔyán Xiānbèi / Fúyìhm Sīnbui
Never-Melt Ice,II,"Raises the power of Ice-type moves.
Note: Formatted as NeverMeltIce prior to Generation VI.",Berry Juice,きのみジュース,Kinomi Juice,Jus De Baie,Beerensaft,Succo di Bacca,Zumo de Baya,나무열매쥬스,Namu Yeolmae Juice,樹果汁 / 树果汁,Shù Guǒzhī / Syuh Gwójāp
Niniku Berry,III,Pokéblock ingredient. Will become an Enigma Berry if transferred to Generation IV via Pal Park.,HP Up,マックスアップ,Max Up,PV Plus,KP-Plus,PS-Su,Más PS,맥스업,Max Up,ＨＰ增強劑 / ＨＰ增强剂,HP Zēngqiángjì / HP Jāngkèuhngjaih
Nomel Berry,III,Pokéblock and Poffin ingredient.,Protein,タウリン,Taurine,Proteine,Protein,Proteina,Proteína*,타우린,Taurine,攻擊增強劑 / 攻击增强剂,Gōngjí Zēngqiángjì / Gūnggīk Jāngkèuhngjaih
Normal Box,II,Sometimes held by reward Pokémon from clearing Gym Leader Castle in Pokémon Stadium when traded to Generation II or Pokémon Stadium 2.,Iron,ブロムヘキシン,Bromhexine,Fer,Eisen,Ferro,Hierro,사포닌,Saponin,防禦增強劑 / 防御增强剂,Fángyù Zēngqiángjì / Fòhngyuh Jāngkèuhngjaih
Normal Gem,V,"Increases the power of the holder's first Normal-type move by 50%, and is consumed after use.",Carbos,インドメタシン,Indometacin,Carbone,Carbon,Carburante,Carburante,알칼로이드,Alkaloid,速度增強劑 / 速度增强剂,Sùdù Zēngqiángjì / Chūkdouh Jāngkèuhngjaih
Normalium Z,VII,Allows a Pokémon to upgrade their Normal-type damaging moves to the Z-Move Breakneck Blitz or upgrade their Normal-type status moves into Z-Moves.,Calcium,リゾチウム,Lysozyme,Calcium,Kalzium,Calcio,Calcio,리보플라빈,Riboflavin,特攻增強劑 / 特攻增强剂,Tègōng Zēngqiángjì / Dahkgūng Jāngkèuhngjaih
Nugget,I,Can be sold for 5000.,Rare Candy,ふしぎなアメ,Fushigina Ame,Super Bonbon,Sonderbonbon,Caramella Rara,Carameloraro,이상한사탕,Isanghan Satang,神奇糖果,Shénqí Tángguǒ / Sàhnkèih Tòhnggwó
Nutpea Berry,III,Pokéblock ingredient. It will become an Enigma Berry if transferred to Generation IV via Pal Park.,PP Up,ポイントアップ,Point Up,PP Plus,AP-Plus,PP-Su,Más PP,포인트 업,Point Up,ＰＰ提升劑 / ＰＰ提升剂,PP Tíshēngjì / PP Tàihsīngjaih
,,,Zinc,キトサン,Chitosan,Zinc,Zink,Zinco,Zinc,키토산,Chitosan,特防增強劑 / 特防增强剂,PP Tíshēngjì / PP Tàihsīngjaih
,,,PP Max,ポイントマックス,Point Max,PP Max,AP-Top,PP-Max,PP Máximos*,포인트 맥스,Point Max,ＰＰ極限提升劑 / ＰＰ极限提升剂,PP Jíxiàn Tíshēngjì / PP Gihkhaahn Tàihsīngjaih
Oak's Letter,IV,Opens the Seabreak Path and allows the user to face Shaymin.,Old Gateau,もりのヨウカン,Mori no Yōkan,Vieux Gâteau,Spezialität,Dolce Gateau,Barrita Plus,숲의양갱,Sup-ui Yanggaeng,森之羊羹,Sēn-zhī Yánggēng / Sām-jī Yèuhnggāng
Oak's Parcel,I,Deliver to Professor Oak to receive a Pokédex.,Sweet Heart,ハートスイーツ,Heart Sweets,Chococœur,Herzkonfekt,Dolcecuore,Corazón Dulce*,하트스위트,Sweet Heart,心形甜點 / 心形甜点,Xīnxíng Tiándiǎn / Sāmyìhng Tìhmdím
Occa Berry,IV,Reduces damage taken from a super effective Fire-type move.,Health Wing,たいりょくのハネ,Tairyoku no Hane,Aile Santé,Heilfeder,Piumsalute,Pluma Vigor*,체력날개,Cheryeok Nalgae,體力之羽 / 体力之羽,Tǐlì-zhī Yǔ / Táilihk-jī Yúh
Odd Incense,IV,Raises the power of Psychic-type moves. Mr. Mime holding this can breed Mime Jr.,Muscle Wing,きんりょくのハネ,Kinryoku no Hane,Aile Force,Kraftfeder,Piumpotenza,Pluma Músculo*,근력날개,Geunryeok Nalgae,肌力之羽,Jīlì-zhī Yǔ / Gēilihk-jī Yúh
Odd Keystone,IV,A stone that can trap Spiritomb.,Resist Wing,ていこうのハネ,Teikō no Hane,Aile Armure,Abwehrfeder,Piumtutela,Pluma Aguante*,저항력날개,Jeohangryeok Nalgae,抵抗之羽,Dǐkàng-zhī Yǔ / Dáikong-jī Yúh
Old Amber,I,A Fossil from which an Aerodactyl can be resurrected.,Genius Wing,ちりょくのハネ,Chiryoku no Hane,Aile Esprit,Geniefeder,Piumingegno,Pluma Intelecto*,지력날개,Jiryeok Nalgae,智力之羽,Zhìlì-zhī Yǔ / Jilihk-jī Yúh
Old Charm,IV,Cynthia asks the player to deliver to Celestic Town. Is made of Pokémon bones.,Clever Wing,せいしんのハネ,Seishin no Hane,Aile Mental,Espritfeder,Piumintuito,Pluma Mente*,정신력날개,Jeongsinryeok Nalgae,精神之羽,Jīngshén-zhī Yǔ / Jīngsàhn-jī Yúh
Old Gateau,IV,Cures any status condition.,Swift Wing,しゅんぱつのハネ,Shunpatsu no Hane,Aile Sprint,Flinkfeder,Piumreazione,Pluma Ímpetu*,순발력날개,Sunballyeok Nalgae,瞬發之羽 / 瞬发之羽,Shùnfā-zhī Yǔ / Seunfaat-jī Yúh
Old Rod,I,Can be used in or next to water to initiate a battle with a low-level aquatic Pokémon.,Casteliacone,ヒウンアイス,Hiun Ice,Glace Volute,Stratos-Eis,Conostropoli,Porcehelado,구름아이스,Gureum Ice,飛雲冰淇淋 / 飞云冰淇淋,Fēiyún Bīngqílín / Fēiwàhn Bīngkèihlàhm
Old Sea Map,III,"Event item that gives player access to Faraway Island, where Mew can be caught.",Lumiose Galette,ミアレガレット,Miare Galette,Galette Illumis,Illumina-Galette,Pan di Lumi,Crêpe Luminalia,미르갈레트,Mireu Galette,密阿雷格雷派餅 / 密阿雷格雷派饼,Mì'āléi Géléi Pàibǐng / Maht'alèuih Gaaklèuih Paaibéng
Oran Berry,III,Restores 10 HP.,Shalour Sable,シャラサブレ,Shala Sable,Sablé Yantreizh,Yantara-Sablé,Yantafrollino,Galleta Yantra,사라사블레,Sara Sable,娑羅沙布蕾 / 娑罗沙布蕾,Suōluó Shābùlěi / Sōlòh Sāboulèuih
Orange Mail,III,Mail with a Zigzagoon print. To be held by a Pokémon for delivery.,Big Malasada,おおきいマラサダ,Ōkī Malasada,Malasada Maxi,Maxi-Malasada,Malasada maxi,Malasada Maxi,큰 말라사다,Keun Malasada,大馬拉薩達 / 大马拉萨达,Dà Mǎlāsàdá / Daaih Máhlāaisaatdaaht
Orange Petal,VII,An orange petal required to complete Mina's Trial.,,,,,,,,,,,
Oval Charm,V,An oval charm said to increase the chance of Eggs being found at the Day Care.,TM,わざマシン,Waza Machine,CT,TM,MT,MT,기술머신,Gisul Machine,招式學習器 / 招式学习器,Zhāoshì Xuéxíqì / Jīusīk Hohkjaahphei
