Name,Gen,Gen2,Description,Note,NameStar,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Poison Memory,7,,Makes Silvally a Poison-type Pokémon and makes Multi-Attack a Poison-type move.,,FALSE,ポイズンメモリ,Poison Memory,ROM Poison,Gift-Disc,ROM Veleno,Disco Veneno,포이즌메모리,Poison Memory,"毒記憶碟*
毒存储碟","Dú Jìyìdié / Duhk Geiyīkdihp*
Dú Cúnchǔdié",3
MiracleBerry,2,,Cures any status condition.,,FALSE,きせきのみ,Kiseki no Mi,Baie Miracle,Wunderbeere,Bacca Mirac.,Baya Milagro,기적의열매,Gijeogui Yeolmae,,,0
Earth Plate,4,,Raises the power of Ground-type moves.,,FALSE,だいちのプレート,Daichi no Purēto,Plaque Terre,Erdtafel,Lastrageo,Tabla Terrax,대지플레이트,Daeji Plate,大地石板,Dàdì Shíbǎn / Daaihdeih Sehkbáan,0
Marshadium Z,7,,Allows Marshadow to upgrade Spectral Thief to the special Z-Move Soul-Stealing 7-Star Strike.,,FALSE,マーシャドーＺ,Marshadow-Z,Marshadozélite,Marshadownium Z,Marshadium Z,Marshastal Z,마샤도Z,Masyado-Z,瑪夏多Ｚ / 玛夏多Ｚ,Mǎxiàduō-Z / Máhahdō-Z,0
Great Ball,1,,A moderately good type of Poké Ball.,,FALSE,スーパーボール,Super Ball,Super Ball,Superball,Mega Ball,Superball,수퍼볼,Super Ball,超級球 / 超级球,Chāojí Qiú / Chīukāp Kàuh,16
Mega Ring,6,,Allows the player to Mega Evolve a Pokémon holding the appropriate Mega Stone.,,FALSE,メガリング,Mega Ring,Méga-Anneau,Mega-Ring,Megacerchio,Mega-Aro,메가링,Mega Ring,超級環 / 超级环,Chāojí Huán / Chīukāp Wàahn,0
Teachy TV,3,,Gives tutorials of game functions.,,FALSE,おしえテレビ,Oshie Televi,TV ABC,Lehrkanal,Poké TV,Poké Tele,가르침TV,Gareuchim TV,,,0
Power Herb,4,,Allows user to skip first turn of moves that require charging.,,FALSE,パワフルハーブ,Powerful Herb,Herbe Pouvoir,Energiekraut,Vigorerba,Hierba Única,파워풀허브,Powerful Herb,強力香草 / 强力香草,Qiánglì Xiāngcǎo / Kèuhnglihk Hēungchóu,128
Protein,1,,Raises the Attack of a Pokémon.,,FALSE,タウリン,Taurine,Proteine,Protein,Proteina,Proteína,타우린,Taurine,攻擊增強劑 / 攻击增强剂,Gōngjí Zēngqiángjì / Gūnggīk Jāngkèuhngjaih,16
Medichamite,6,,Allows Medicham to Mega Evolve into Mega Medicham.,,FALSE,チャーレムナイト,Charemnite,Charminite,Meditalisnit,Medichamite,Medichamita,요가램나이트,Yogaramnite,恰雷姆進化石 / 恰雷姆进化石,Qiàléimǔ Jìnhuà Shí / Hāplèuihmóuh Jeunfa Sehk,0
Ghost Memory,7,,Makes Silvally a Ghost-type Pokémon and makes Multi-Attack a Ghost-type move.,,FALSE,ゴーストメモリ,Ghost Memory,ROM Spectre,Geister-Disc,ROM Spettro,Disco Fantasma,고스트메모리,Ghost Memory,"幽靈記憶碟*
幽灵存储碟","Yōulíng Jìyìdié / Yāulìhng Geiyīkdihp*
Yōulíng Cúnchǔdié",3
Subway Key,3,,Operates the subway between The Under and the Shadow PKMN Lab.,,FALSE,ちかてつのカギ,Chikatetsu no Kagi,Cle de Contact,Zugschlüssel,Chiave Metro,Llave Metro,,,,,0
Max Repel,1,,Prevents wild Pokémon with a lower level than the first member of the party from appearing for 250 steps,,FALSE,ゴールドスプレー,Gold Spray,Max Repousse,Top-Schutz,Repellente Max,Repelente Maximo,골드스프레이,Gold Spray,黃金噴霧 / 黄金喷雾,Huángjīn Pēnwù / Wòhnggām Panmouh,48
Big Nugget,5,,Can be sold for 30000.,,FALSE,でかいきんのたま,Dekai Kin no Tama,Maxi Pépite,Riesennugget,Granpepita,Maxipepita,큰금구슬,Keun Geum Guseul,巨大金珠,Jùdà Jīnzhū / Geuihdaaih Gāmjyū,0
Safari Ball,1,,A type of Poké Ball to be used in the Safari Zone.,,FALSE,サファリボール,Safari Ball,Safari Ball,Safariball,Safari Ball,Safari Ball,사파리볼,Safari Ball,狩獵球 / 狩猎球,Shòuliè Qiú / Sáulihp Kàuh,0
DNA Sample,3,,Used to deduce the code to a lock in the Shadow PKMN Lab.,,FALSE,ＤＮＡサンプル,DNA Sample,Echantillon ADN,DNS-Probe,Campione DNA,Muestra ADN,,,,,0
Destiny Knot,4,,Infatuates the foe if the holder becomes infatuated.,,FALSE,あかいいと,Akai Ito,Nœud Destin,Fatumknoten,Destincomune,Lazo Destino,빨간실,Ppalgan Sil,紅線 / 红线,Hóngxiàn / Hùhngsin,0
Rindo Berry,4,,Reduces damage from a super effective Grass-type move.,,FALSE,リンドのみ,Rindo no Mi,Baie Ratam,Grindobeere,Baccarindo,Baya Tamar,린드열매,Rind Yeolmae,羅子果 / 罗子果,Luózi Guǒ / Lòhjí Gwó,0
Shiny Charm,5,,A shiny charm said to increase the chance of finding a Shiny Pokémon.,,FALSE,ひかるおまもり,Shining Charm,Charme Chroma,Schillerpin,Cromamuleto,Amuleto Iris,빚나는부적,Bitna-neun Bujeok,閃耀護符 / 闪耀护符,Shǎnyào Hùfú / Símyiuh Wuhfùh,128
Starf Berry,3,,Raises a random stat when HP is below ⅓.,,FALSE,スターのみ,Star no Mi,Baie Frista,Krambobeere,Baccambola,Baya Arabol,스타열매,Star Yeolmae,星桃果,Xīngtáo Guǒ / Sīngtòuh Gwó,0
Shell Bell,3,,Restores HP to the holder based on damage inflicted to the opponent.,,FALSE,かいがらのすず,Kaigara no Suzu,Grelot Coque,Seegesang,Conchinella,Campana Concha,조개껍질방울,Jogaekkeopjil Bang-ul,貝殼之鈴 / 贝壳之铃,Bèiké-zhī Líng / Buihok-jī Lìhng,0
Mystery Egg,2,,Hatches into Togepi.,,FALSE,ふしぎなタマゴ,Fushigina Tamago,Œuf Mystère,Rätsel-Ei,Uovo Mistero,Huevo Mist,이상한알,Isanghan Al,神奇蛋,Shénqí Dàn / Sàhnkèih Dáan,0
Mech Mail,3,,Mail with a mechanical pattern. To be held by a Pokémon for delivery.,,FALSE,メカニカルメール,Mechanical Mail,Lettre Meca,Eilbrief,Mess. Tecno,Carta Imán,,,,,0
Protector,4,,A held item that allows Rhydon to evolve when traded.,,FALSE,プロテクター,Protector,Protecteur,Schützer,Copertura,Protector,프로텍터,Protector,護具 / 护具,Hùjù / Wuhgeuih,0
Water Gem,5,,"Increases the power of the holder's first Water-type move by 50%, and is consumed after use.",,FALSE,みずのジュエル,Mizu no Jewel,Joyau Eau,Wasserjuwel,Bijouacqua,Gema Agua,물주얼,Mul Jewel,水之寶石 / 水之宝石,Shuǐ-zhī Bǎoshí / Séui-jī Bóusehk,16
Purple Nectar,7,,Changes Oricorio to its Sensu Style.,,FALSE,むらさきのミツ,Murasaki no Mitsu,Nectar Mauve,Purpurner Nektar,Nettare viola,Néctar Violeta,보라꿀,Bora Kkul,蘭紫色花蜜 / 兰紫色花蜜,Lánzǐ-sè Huāmì / Làahnjí-sīk Fāmaht,0
Super Repel,1,,Prevents wild Pokémon with a lower level than the first member of the party from appearing for 200 steps,,FALSE,シルバースプレー,Silver Spray,Superepousse,Superschutz,Superrepellente,Superrepelente,실버스프레이,Silver Spray,白銀噴霧 / 白银喷雾,Báiyín Pēnwù / Baahkngàhn Panmouh,48
Escape Rope,1,,Teleports the player out of a cave or dungeon if the player cannot find the way out.,,FALSE,あなぬけのヒモ,Ananuke no Himo,Corde Sortie,Fluchtseil,Fune di Fuga,Cuerda Huida,동굴탈출로프,Donggul Talchul Rope,離洞繩 / 离洞绳,Lídòng Shéng / Lèihduhng Sìhng,0
Berry,2,,Restores 10 HP. A Pokémon can use it automatically if it is holding it.,,FALSE,きのみ,Kino Mi,Baie,Beere,Bacca,Baya,나무열매,Namu Yeolmae,,,0
Liberty Pass,5,,Gives access to Liberty Garden.,,FALSE,リバティチケット,Liberty Ticket,Passe Liberté,Gartenpass,Liberticket,Ticket Libertad,리버티티켓,Liberty Ticket,自由船票,Zìyóu Chuánpiào / Jihyàuh Syùhnpiu,128
Pinap Berry,3,,Pokéblock and Poffin ingredient.,,FALSE,パイルのみ,Pairu no Mi,Baie Nanana,Sananabeere,Baccananas,Baya Pinia,파인열매,Pine Yeolmae,凰梨果,Huánglí Guǒ / Wòhnglèih Gwó,0
Eject Button,5,,Forces the holder to switch out when hit by an attack that makes contact. Consumed after use.,,FALSE,だっしゅつボタン,Dasshutsu Button,Bouton Fuite,Fluchtknopf,Pulsantefuga,Botón Escape,탈출버튼,Talchul Button,逃脫按鍵 / 逃脱按键,Táotuō Ànjiàn / Tòuhtyut Ongihn,0
Wave Mail,3,,Mail with a Wailmer design. To be held by a Pokémon for delivery.,,FALSE,クロスメール,Cross Mail,Lettre Vague,Wellenbrief,Mess. Onda,Carta Ola,,,,,0
TMV Pass,6,,Allows the player to ride the TMV and access Kiloude City.,,FALSE,TMVパス,TMV Pass,Passe TMV,TMV-Pass,Pass TMV,Abono del TMV,TMV패스,TMV Pass,ＴＭＶ自由票,TMV Zìyóu Piào / TMV Jihyàuh Piu,0
Flower Mail,2,,Mail with a flower pattern. To be held by a Pokémon for delivery.,,FALSE,はながらメール,Hanagara Mail,Lettre Fleur,Blumenbrief,Messaggio Fiore,Carta Flor,꽃무늬메일,Kkonmunui Mail,,,0
Eon Flute,6,,"Summons LatiasAS or LatiosOR to soar in the sky above Hoenn, and fly to any city, route, or island.",,FALSE,むげんのふえ,Mugen no Fue,Flûte Éon,Äon-Flöte,Flauto Eone,Flauta Eón,무한의피리,Muhan Uipili,無限之笛 / 无限之笛,Wúxiàn-zhī Dí / Mòuhhaahn-jī Dehk,0
Boost Mulch,6,,"When applied to a Berry patch, causes the soil to dry out in 4 hours.",,FALSE,ぐんぐんこやし,Gungun Koyashi,Fertibérance,Wuchermulch,Fertilcopioso,Abono Fructífero,부쩍부쩍비료,Bujjeok-bujjeok Biryo,勁勁肥 / 劲劲肥,Jìnjìn Féi / Gihnggihng Fèih,0
Nugget,1,,Can be sold for 5000.,,FALSE,きんのたま,Kin no Tama,Pepite,Nugget,Pepita,Pepita,금구슬,Geum Guseul,金珠,Jīnzhū / Gāmjyū,0
Roseli Berry,6,,Reduces damage from a super effective Fairy-type move.,,FALSE,ロゼルのみ,Rozelle no Mi,Baie Selro,Hibisbeere,Baccarcadè,Baya Hibis,로셀열매,Rosel Yeolmae,洛玫果,Luòméi Guǒ / Lokmùih Gwó,0
Jaw Fossil,6,,A Fossil from which a Tyrunt can be resurrected.,,FALSE,アゴのカセキ,Ago no Kaseki,Fossile Mâchoire,Kieferfossil,Fossilmascella,Fósil Mandíbula,턱화석,Teok Hwaseok,顎之化石 / 颚之化石,È-zhī Huàshí / Ngohk-jī Fasehk,0
Venusaurite,6,,Allows Venusaur to Mega Evolve into Mega Venusaur.,,FALSE,フシギバナイト,Fushigibanite,Florizarrite,Bisaflornit,Venusaurite,Venusaurita,이상해꽃나이트,Isanghekkotnite,妙蛙花進化石 / 妙蛙花进化石,Miàowāhuā Jìnhuà Shí / Miuhwāfā Jeunfa Sehk,0
GB Sounds,4,,Allows player to listen to 8-bit background music in Johto.,,FALSE,ＧＢプレイヤー,GB Player,Lecteur GB,GB-Player,Lettore GB,Lector GB,GB플레이어,GB Player,ＧＢ播放器,GB Bōfàng Qì / GB Bofong Hei,0
Adventure Rules,6,,Contains information new Trainers should know.,,FALSE,たんけんこころえ,Tanken Kokoroe,ABC Aventure,Abenteuerfibel,Guida Avventura,Guía de Máximas,탐험수칙,Tamheom Suchig,探險心得 / 探险心得,Tànxiǎn Xīndé / Taamhím Sāmdāk,0
Voice Case 5,3,,Heals a Shroomish at ONBS.,,FALSE,こえカプセル５,Koe Capsule 5,Boite Cri 5,Stimmbox 5,Disco Verso 5,Grabación 5,,,,,0
Air Mail,4,,A red- and blue-striped stationery. To be held by a Pokémon for delivery.,,FALSE,エアメール,Air Mail,Lettre Avion,Luftbrief,Mess. Aereo,Carta Aérea,에어메일,Air Mail,,,0
Sprinklotad,6,,Used to water Berry plants.,,FALSE,ハスボーじょうろ,Hassboh Jōro,Nénurrosoir,Loturzelkanne,Irrigalotad,Lotadgadera,연꽃몬물뿌리개,Yeonkkotmon Mulppurigae,蓮葉童子噴壺 / 莲叶童子喷壶,Liányètóngzǐ Pēnhú / Lìhnyihptùhngjí Panwùh,0
Sceptilite,6,,Allows Sceptile to Mega Evolve into Mega Sceptile.,,FALSE,ジュカインナイト,Jukainnite,Jungkite,Gewaldronit,Sceptilite,Sceptilita,나무킹나이트,Namukingnite,蜥蜴王進化石 / 蜥蜴王进化石,Xīyìwáng Jìnhuà Shí / Sīkyihkwòhng Jeunfa Sehk,0
Lumiose Galette,6,,Cures any status condition.,,FALSE,ミアレガレット,Miare Galette,Galette Illumis,Illumina-Galette,Pan di Lumi,Crêpe Luminalia,미르갈레트,Mireu Galette,密阿雷格雷派餅 / 密阿雷格雷派饼,Mì'āléi Géléi Pàibǐng / Maht'alèuih Gaaklèuih Paaibéng,0
Relic Gold,5,,Can be sold for 10000 to the villa owner in Undella Town.,,FALSE,こだいのきんか,Kodai no Kinka,Vieux Ducat,Alter Dukat,Doblonantico,Real Oro,고대의금화,Godae-yi Geumhwa,古代金幣 / 古代金币,Gǔdài Jīnbì / Gúdoih Gāmbaih,0
Pair of Tickets,6,,Allows entry for two to the Mossdeep Space Center for the Litleonid star show.,,FALSE,ペアチケット,Pair Ticket,Ticket Duo,Zweierticket,Biglietto doppio,Entrada para dos,페어티켓,Pair of Tickets,雙人票 / 双人票,Shuāngrén Piào / Sēungyàhn Piu,0
Journal,4,,Keeps track of events and accomplishments of the player.,,FALSE,ぼうけんノート,Bōken Note,Journal,Tagebuch,Agenda,Diario,모험노트,Moheom Note,冒險筆記 / 冒险笔记,Màoxiǎn Bǐjì / Mouhhím Bātgei,0
Apricorn Box,4,,Contains Apricorns.,,FALSE,ぼんぐりケース,Bonguri Case,Bte Noigrume,Aprikokobox,Ghicobox,Caja Bonguri,규토리케이스,Gyutori Case,球果盒,Qiúguǒ Hé / Kàuhgwó Hahp,0
N-Solarizer,,,,,,ネクロプラスソル,Necro Plus Sol,Necrosol,Necrosol,Necrosolix,Necrosol,네크로플러스솔,Necro Plus Sol,奈克洛索爾合體器 / 奈克洛索尔合体器,Nàikèluò Suǒěr Hétǐqì / Noihhāklok Sokyíh Hahptáihei,0
Quick Powder,4,,Raises Ditto's speed.,,FALSE,スピードパウダー,Speed Powder,Poudre Vite,Flottstaub,Velopolvere,Polvo Veloz,스피드파우더,Speed Powder,速度粉,Sùdù Fěn / Chūkdouh Fán,0
Lemonade,1,,Restores 70 HP. (80HP before Gen. VII),,FALSE,ミックスオレ,Mix au Lait,Limonade,Limonade,Lemonsucco,Limonada,후르츠밀크,Fruits Milk,果汁牛奶,Guǒzhī Niúnǎi / Gwójāp Ngàuhnáaih,0
Chople Berry,4,,Reduces damage from a super effective Fighting-type move by 50%.,,FALSE,ヨプのみ,Yop no Mi,Baie Pomroz,Rospelbeere,Baccarosmel,Baya Pomaro,로플열매,Ropeul Yeolmae,蓮蒲果 / 莲蒲果,Liánpú Guǒ / Lìhnpòuh Gwó,0
Fighting Memory,7,,Makes Silvally a Fighting-type Pokémon and makes Multi-Attack a Fighting-type move.,,FALSE,ファイトメモリ,Fight Memory,ROM Combat,Kampf-Disc,ROM Lotta,Disco Lucha,파이팅메모리,Fighting Memory,"戰鬥記憶碟*
战斗存储碟","Zhàndòu Jìyìdié / Jindau Geiyīkdihp*
Zhàndòu Cúnchǔdié",3
Big Root,4,,Increases the amount of HP restored when an HP-draining move is used by 30%.,,FALSE,おおきなねっこ,Ōkina Nekko,Grosse Racine,Großwurzel,Granradice,Raíz Grande,큰뿌리,Keun Ppuri,大根莖 / 大根茎,Dà Gēnjīng / Daaih Gānging,128
Powerup Part,3,,Used to fix the Kids Grid system.,,FALSE,きょうかパーツ,Kyōka Parts,Amplificateur,Ersatzteil,Espansione,Potenciador,,,,,0
Wacan Berry,4,,Reduces damage taken from a super effective Electric-type move.,,FALSE,ソクノのみ,Sokuno no Mi,Baie Parma,Kerzalberre,Baccaparmen,Baya Gualot,초나열매,Chona Yeolmae,獨木果 / 独木果,Zhúmù Guǒ / Jūkmuhk Gwó,0
Strib Berry,3,,Pokéblock ingredient. Will become an Enigma Berry if transferred to Generation IV via Pal Park.,,FALSE,,,,,,,,,,,
Sitrus Berry,3,,Restores 30 HP in Generation III. Restores ¼ of maximum HP from Generation IV onwards.,,FALSE,オボンのみ,Obon no Mi,Baie Sitrus,Tsitrubeere,Baccacedro,Baya Zidra,자뭉열매,Jamung Yeolmae,文柚果,Wényòu Guǒ / Màhnyauh Gwó,0
Mystic Water,2,,Raises the power of Water-type moves.,,FALSE,しんぴのしずく,Shinpi no Shizuku,Eau Mystique,Zauberwasser,Acqua Magica,Agua Mística,신비의물방울,Sinbiui Mulbang-ul,神秘水滴,Shénmì shuǐdī / Sàhnbei Séuidihk,32
Berserk Gene,2,,Confuses the holder and raises Attack.,,FALSE,はかいのいでんし,Hakai no Idenshi,ADN Berzerk,Berserk-Gen,Gene Furioso,Gen Loco,파괴의유전자,Pagoe-ui Yujeonja,,,0
Purple Petal,7,,A purple petal required to complete Mina's Trial.,,FALSE,むらさきはなびら,Murasaki Hanabira,Pétale Violet,Violettes Blatt,Petalo violetto,Pétalo Violeta,보라꽃잎,Bora Kkochip,紫色花瓣,Zǐ-sè Huābàn / Jí-sīk Fāfáan,0
Lopunnite,6,,Allows Lopunny to Mega Evolve into Mega Lopunny.,,FALSE,ミミロップナイト,Mimilopnite,Lockpinite,Schlapornit,Lopunnite,Lopunnita,이어롭나이트,Ieoropnite,長耳兔進化石 / 长耳兔进化石,Cháng'ěrtù Jìnhuà Shí / Chèuhngyíhtou Jeunfa Sehk,0
Dragon Memory,7,,Makes Silvally a Dragon-type Pokémon and makes Multi-Attack a Dragon-type move.,,FALSE,ドラゴンメモリ,Dragon Memory,ROM Dragon,Drachen-Disc,ROM Drago,Disco Dragón,드래곤메모리,Dragon Memory,"龍記憶碟*
龙存储碟","Lóng Jìyìdié / Lùhng Geiyīkdihp*
Lóng Cúnchǔdié",3
Voice Case 2,3,,Heals a Poochyena in Agate Village.,,FALSE,こえカプセル２,Koe Capsule 2,Boite Cri 2,Stimmbox 2,Disco Verso 2,Grabación 2,,,,,0
Lansat Berry,3,,Raises critical-hit ratio if HP is below ⅓ of maximum.,,FALSE,サンのみ,San no Mi,Baie Lansat,Lansatbeere,Baccalangsa,Baya Zonlan,랑사열매,Langsa Yeolmae,蘭薩果 / 兰萨果,Lánsà Guǒ / Làahnsaat Gwó,0
Steelium Z,7,,Allows a Pokémon to upgrade their Steel-type damaging moves to the Z-Move Corkscrew Crash or upgrade their Steel-type status moves into Z-Moves. Makes Arceus a Steel-type Pokémon.,,FALSE,ハガネＺ,Steel-Z,Métallozélite,Metallium Z,Metallium Z,Metalostal Z,강철Z,Gangcheol-Z,鋼Ｚ / 钢Ｚ,Gāng-Z / Gong-Z,0
Relic Silver,5,,Can be sold for 5000 to the villa owner in Undella Town.,,FALSE,こだいのぎんか,Kodai no Ginka,Vieil Écu,Alter Taler,Ducatantico,Real Plata,고대의은화,Godae-yi Eunhwa,古代銀幣 / 古代银币,Gǔdài Yínbì / Gúdoih Ngàhnbaih,0
Gorgeous Box,2,,Sometimes held by a reward Pokémon from Pokémon Stadium if traded to Generation II.,,FALSE,きりのはこ,Kiri no Hako,Coffre Luxe,Schatulle,Scat. Lusso,Caja Grande,오동나무상자,Odongnamu Sangja,,,0
Weakness Policy,6,,Attack and Sp. Atk sharply increase if the holder is hit with a super effective move.,,FALSE,じゃくてんほけん,Jakuten Hoken,Vulné-Assurance,Schwächenschutz,Vulneropolizza,Seguro Debilidad,약점보험,Yagjeom Boheom,弱點保險 / 弱点保险,Ruòdiǎn Bǎoxiǎn / Yeuhkdím Bóuhím,0
Rainbow Wing,2,,Summons Ho-Oh.,,FALSE,にじいろのはね,Nijiiro no Hane,Arcenci'Aile,Buntschwinge,Ala d'Iride,Ala Arcoíris,무지개빛날개,Mujigaebit Nalgae,虹色之羽,Hóng-sè-zhī Yǔ / Hùhng-sīk-jī Yúh,0
Black Apricorn,2,,"If taken to Kurt, he will make the player a Fast Ball. Also, Apricorn Drink ingredient.",Formatted as Blk Apricorn prior to Generation VI.,FALSE,くろぼんぐり,Kuro Bonguri,Noigrume Noi,Aprikoko Swz,Ghicocca Nera,Bonguri Negro,검은규토리,Geomeun Gyutori,黑球果,Hēi Qiúguǒ / Hāak Kàuhgwó,1072
Mega Charm,,,,,,メガチャーム,Mega Charm,Méga-Charme,Megaillon,Megaciondolo,Megacolgante,메가참이,Mega Charm,超級墜飾 / 超级坠饰,Chāojí Zhuìshì / Chīukāp Jeuihsīk,0
Pink Petal,7,,A pink petal required to complete Mina's Trial.,,FALSE,ももいろはなびら,Momoiro Hanabira,Pétale Rose,Rosa Blatt,Petalo rosa,Pétalo Rosa,담홍꽃잎,Damhong Kkochip,粉紅花瓣 / 粉红花瓣,Fěnhóng Huābàn / Fánhùhng Fāfáan,0
Dowsing Machine,1,,A Key Item that can be used to detect hidden items.,Referred to as the Itemfinder prior to Generation IV and as the Dowsing MCHN in Pokémon HeartGold and SoulSilver and the Generation V games.,FALSE,ダウジングマシン,Dowsing Machine,Cherch'Objet,Itemradar,Ricerca Strumenti,Zahorí,다우징머신,Dowsing Machine,探寶器 / 探宝器,Tànbǎo Qì / Taambóu Hei,1136
Z-Power Ring,7,,Allows the player to use Z-Moves when a Pokémon is holding an appropriate Z-Crystal. Allows the player to use Mega Evolution after obtaining a Key Stone when a Pokémon is holding the appropriate Mega Stone.,,FALSE,Ｚパワーリング,Z Power Ring,Super Bracelet Z,Z-Kraftring,Supercerchio Z,Superpulsera Z,Z파워링,Z-Power Ring,Ｚ強力手環 / Ｚ强力手环,Z Qiánglì Shǒuhuán / Z Kèuhnglihk Sáuwàahn,0
Kuo Berry,3,,"Cures Burn status. If transferred to Generation IV via Pal Park, it will turn into an Enigma Berry.",,FALSE,,,,,,,,,,,
X Special 6,5,,Immensely raises a Pokémon's Special Attack. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Dark Stone,5,,Stone used to summon Zekrom.,,FALSE,ダークストーン,Dark Stone,Galet Noir,Dunkelstein,Scurolite,Orbe Oscuro,다크스톤,Dark Stone,黑闇石 / 黑暗石,Hēi'àn Shí / Hākam Sehk,0
Permit,5,,A permit needed to enter the Nature Preserve. Only a few know about this place.,,FALSE,きょかしょう,License,Permis,Genehmigung,Permesso,Pase,허가증,Heogajeung,許可證 / 许可证,Xǔkě Zhèng / Héuihó Jing,0
Red Orb,3,,Awakens Groudon. It also turns Groudon into Primal Groudon during battle when holding the item.ORAS,,FALSE,べにいろのたま,Beniiro no Tama,Gemme Rouge,Roter Edelstein,Gemma rossa,Prisma Roja,주홍구슬,Juhong Guseul,朱紅色寶珠 / 朱红色宝珠,Zhūhóng-sè Bǎozhū / Jyūhùhng-sīk Bóujyū,240
Adamant Orb,4,,Boosts Dialga's Steel- and Dragon-type attacks.,,FALSE,こんごうだま,Kongō Dama,Orbe Adamant,Adamant-Orb,Adamasfera,Diamansfera,금강옥,Geumgang Ok,金剛寶珠 / 金刚宝珠,Jīngāng Bǎozhū / Gāmgōng Bóujyū,0
S.S. Ticket,1,,"Allows the player to board the S.S. AnneRBYFRLG, S.S. AquaGSCHGSS, or S.S TidalRSEORAS",,FALSE,ふねのチケット,Fune no Ticket,Passe Bateau,Bootsticket,Biglietto Nave,Ticket Barco,승선티켓,Seungseon Ticket,船票,Chuánpiào / Syùhnpiu,0
Power Lens,4,,"Promotes Special Attack EVs, but lowers Speed in battle.",,FALSE,パワーレンズ,Power Lens,Lentille Pouvoir,Machtlinse,Vigorlente,Lente Recia,파워렌즈,Power Lens,力量鏡 / 力量镜,Lìliàng Jìng / Lihkleuhng Geng,128
Health Wing,5,,Raises the HP of a Pokémon.,,FALSE,たいりょくのハネ,Tairyoku no Hane,Aile Santé,Heilfeder,Piumsalute,Pluma Vigor,체력날개,Cheryeok Nalgae,體力之羽 / 体力之羽,Tǐlì-zhī Yǔ / Táilihk-jī Yúh,16
Ring Target,5,,The holder loses its type immunities.,,FALSE,ねらいのまと,Nerai no Mato,Point de Mire,Zielscheibe,Facilsaglio,Blanco,겨냥표적,Gyeonyang Pyojeok,標靶 / 标靶,Biāobǎ / Bīubá,128
Prison Bottle,6,,Used to transform Hoopa Confined to Hoopa Unbound.,,FALSE,いましめのつぼ,Imashime no Tsubo,Vase Scellé,Banngefäß,Vaso del vincolo,Vasija Castigo,굴레의항아리,Gulle-yi Hang-ari,懲戒之壺 / 惩戒之壶,Chéngjiè-zhī Hú / Chìhnggaai-jī Wùh,0
Gram 3,5,,An important letter which Wingull delivers.,,FALSE,はいたつぶつ３,Haitatsubutsu 3,Courrier 3,Briefpost 3,Missiva 3,Envío 3,배달물3,Baedalmul 3,配送物品３,Pèisòng Wùpǐn 3 / Puisung Mahtbán 3,0
Pokéblock Case,3,,Stores Pokéblocks.,,FALSE,ポロックケース,Polock Case,Boite Pokéblocs,Pokériegel Box,Porta Pokémelle,Tubo PokéCubos,포켓몬스넥케이스,Pokémon Snack Case,寶可方塊盒 / 宝可方块盒,Bǎokě Fāngkuài Hé / Bóuhó Fōngfaai Hahp,0
Max Potion,1,,Restores all of a Pokémon's HP.,,FALSE,まんたんのくすり,Mantan no Kusuri,Potion Max,Top-Trank,Pozione Max,Máxima Poción,풀회복약,Full Hoebok Yak,全滿藥 / 全满药,Quánmǎn Yào / Chyùhnmúhn Yeuhk,0
Charcoal,2,,Raises the power of Fire-type moves.,,FALSE,もくたん,Mokutan,Charbon,Holzkohle,Carbonella,Carbón,목탄,Moktan,木炭,Mùtàn / Muhktaan,0
Waterium Z,7,,Allows a Pokémon to upgrade their Water-type damaging moves to the Z-Move Hydro Vortex or upgrade their Water-type status moves into Z-Moves. Makes Arceus a Water-type Pokémon.,,FALSE,ミズＺ,Water-Z,Aquazélite,Aquium Z,Idrium Z,Hidrostal Z,물Z,Mul-Z,水Ｚ,Shuǐ-Z / Séui-Z,0
Card Key,2,,Allows the player to access the third floor of Radio Tower while it is under siege by Team Rocket.,,FALSE,カードキー,Card Key,"Carte Magn.
Cle Magnetique","Türöffner
Schlüsselkarte",Apriporta,"Llave Magnética
T. Magnética",카드키,Card Key,鑰匙卡 / 钥匙卡,Yàoshi Kǎ / Yeuhksìh Kāat,0
Seal Case,4,,Holds Seals.,,FALSE,シールいれ,Seal Ire,Boîte Sceaux,Stick.Koffer,Portabolli,Caja Sellos,실상자,Seal Sangja,貼紙盒 / 贴纸盒,Tiēzhǐ Hé / Tipjí Hahp,0
Shiny Stone,4,,"Can be used to evolve Togetic, Roselia, Minccino, and Floette.",,FALSE,ひかりのいし,Hikari no Ishi,Pierre Éclat,Leuchtstein,Pietrabrillo,Piedra Día,빛의돌,Bichui Dol,光之石,Guāng-zhī Shí / Gwōng-jī Sehk,0
Red Flute,3,,Snaps a Pokémon out of attraction.RSEFRLGColoXDDPPtHGSS Can be sold for 7500.BWB2W2,,FALSE,あかいビードロ,Akai Vidro,Flûte Rouge,Rote Flöte,Flauto Rosso,Flauta Roja,빨강비드로,Ppalgang Vidro,紅色玻璃哨 / 红色玻璃哨,Hóngsè Bōlí Shào / Hùhng-sīk Bōlèih Saau,128
