Name,Dex,Item,Egg Group 1,Egg Group 2,Type,Type2,Body,Color,Call_Rate_SM,Call_Rate_USUM,Star,Gender_Ratio,Cycles,Ability 1,Ability 2,Hidden,WeightKg,WeightLbs,HeightM,Ft,In
Sunflora,192,,Grass,,Grass,,"Bipedal, tailless form",Yellow,,,2,1:1,20,Chlorophyll,Solar Power,Early Bird,8.5,18.7,0.8,2,7
Gible,443,,Monster,Dragon,Dragon,Ground,"Bipedal, tailed form",Blue,,,0,1:1,40,Sand Veil,,Rough Skin,20.5,45.2,0.7,2,4
Quagsire,195,,Water 1,Field,Water,Ground,"Bipedal, tailed form",Blue,,,0,1:1,20,Damp,Water Absorb,Unaware,75,165.3,1.4,4,7
Smeargle,235,,Field,,Normal,,"Bipedal, tailed form",White,,,2,1:1,20,Own Tempo,Technician,Moody,58,127.9,1.2,3,11
Cubchoo,613,,Field,,Ice,,"Bipedal, tailed form",White,,,2,1:1,20,Snow Cloak,Slush Rush,Rattled,8.5,18.7,0.5,1,8
Goomy,704,,Dragon,,Dragon,,Serpentine bodies,Purple,,,0,1:1,40,Sap Sipper,Hydration,Gooey,2.8,6.2,0.3,1,0
Dewpider,751,,Water 1,Bug,Water,Bug,Head and legs,Green,,,0,1:1,15,Water Bubble,,Water Absorb,4,8.8,0.3,1,0
Boldore,525,,Mineral,,Rock,,Tentacles or a multiped body,Blue,,,2,1:1,15,Sturdy,Weak Armor,Sand Force,102,224.9,0.9,2,11
Dedenne,702,,Field,Fairy,Electric,Fairy,"Bipedal, tailed form",Yellow,,,0,1:1,20,Cheek Pouch,Pickup,Plus,2.2,4.9,0.2,0,8
Yungoos,734,,Field,,Normal,,Quadruped body,Brown,,,0,1:1,15,Stakeout,Strong Jaw,Adaptability,6,13.2,0.4,1,4
Pidgey,16,,Flying,,Normal,Flying,Single pair of wings,Brown,,,2,1:1,15,Keen Eye,Tangled Feet,Big Pecks,1.8,4,0.3,1,0
Lopunny,428,Lopunnite,Field,Human-Like,Normal,Fighting,"Bipedal, tailed form",Brown,,,0,1:1,20,Cute Charm,Klutz,Limber,33.3,73.4,1.3,4,3
Clauncher,692,,Water 1,Water 3,Water,,Insectoid body,Blue,,,0,1:1,15,Mega Launcher,,,8.3,18.3,0.5,1,8
Groudon,383,,Undiscovered,,Ground,,"Bipedal, tailed form",Red,,,0,GU,120,Drought,,,950,2094.4,3.5,11,6
Ampharos,181,Ampharosite,Monster,Field,Electric,Dragon,"Bipedal, tailed form",Yellow,,,0,1:1,20,Static,,Plus,61.5,135.6,1.4,4,7
Mawile,303,,Field,Fairy,Steel,Fairy,"Bipedal, tailless form",Black,,,0,1:1,20,Hyper Cutter,Intimidate,Sheer Force,11.5,25.4,0.6,2,0
Goldeen,118,,Water 2,,Water,,Fins,Red,,,0,1:1,20,Swift Swim,Water Veil,Lightning Rod,15,33.1,0.6,2,0
Vivillon,666,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,17,37.5,1.2,3,11
Incineroar,727,,Field,,Fire,Dark,"Bipedal, tailed form",Red,,,0,1:7,15,Blaze,,Intimidate,83,183,1.8,5,11
Morelull,755,,Grass,,Grass,Fairy,Head and a base,Purple,,,0,1:1,20,Illuminate,Effect Spore,Rain Dish,1.5,3.3,0.2,0,8
Pidove,519,,Flying,,Normal,Flying,Single pair of wings,Gray,,,0,1:1,15,Big Pecks,Super Luck,Rivalry,2.1,4.6,0.3,1,0
Kangaskhan,115,Kangaskhanite,Monster,,Normal,,"Bipedal, tailed form",Brown,,,2,1:0,20,Early Bird,Scrappy,Inner Focus,80,176.4,2.2,7,3
Kyurem,646,,Undiscovered,,Dragon,Ice,"Bipedal, tailed form",Gray,,,0,GU,120,Pressure,,,325,716.5,3,9,10
Tentacruel,73,,Water 3,,Water,Poison,Tentacles or a multiped body,Blue,,,0,1:1,20,Clear Body,Liquid Ooze,Rain Dish,55,121.3,1.6,5,3
Cinccino,573,,Field,,Normal,,Quadruped body,Gray,,,0,3:1,15,Cute Charm,Technician,Skill Link,7.5,16.5,0.5,1,8
Charizard,6,,Monster,Dragon,Fire,Flying,"Bipedal, tailed form",Black,,,0,1:7,20,Blaze,,Solar Power,90.5,199.5,1.7,5,7
Nidoran♂,32,,Monster,Field,Poison,,Quadruped body,Purple,,,2,0:1,20,Poison Point,Rivalry,Hustle,9,19.8,0.5,1,8
Swampert,260,,Monster,Water 1,Water,Ground,"Bipedal, tailed form",Blue,,,0,1:7,20,Torrent,,Damp,81.9,180.6,1.5,4,11
Klink,599,,Mineral,,Steel,,Multiple bodies,Gray,,,0,G,20,Plus,Minus,Clear Body,21,46.3,0.3,1,0
Machamp,68,,Human-Like,,Fighting,,"Bipedal, tailless form",Gray,,,2,1:3,20,Guts,No Guard,Steadfast,130,286.6,1.6,5,3
Spewpa,665,,Bug,,Bug,,Head and a base,Black,,,0,1:1,15,Shed Skin,,Friend Guard,8.4,18.5,0.3,1,0
Skrelp,690,,Water 1,Dragon,Poison,Water,Head and a base,Brown,,,0,1:1,20,Poison Point,Poison Touch,Adaptability,7.3,16.1,0.5,1,8
Sceptile,254,Sceptilite,Monster,Dragon,Grass,Dragon,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Unburden,52.2,115.1,1.9,6,3
Xerneas,716,,Undiscovered,,Fairy,,Quadruped body,Blue,,,0,GU,120,Fairy Aura,,,215,474,3,9,10
Exeggcute,102,,Grass,,Grass,Psychic,Multiple bodies,Pink,,,0,1:1,20,Chlorophyll,,Harvest,2.5,5.5,0.4,1,4
Goodra,706,,Dragon,,Dragon,,"Bipedal, tailed form",Purple,,,0,1:1,40,Sap Sipper,Hydration,Gooey,150.5,331.8,2,6,7
Gyarados,130,Gyaradosite,Water 2,Dragon,Water,Dark,Serpentine bodies,Blue,,,0,1:1,5,Intimidate,,Moxie,235,518.1,6.5,21,4
Cofagrigus,563,,Mineral,Amorphous,Ghost,,Head and a base,Yellow,,,0,1:1,25,Mummy,,,76.5,168.7,1.7,5,7
Rattata,19,,Field,,Normal,,Quadruped body,Purple,,,0,1:1,15,Run Away,Guts,Hustle,3.5,7.7,0.3,1,0
Aggron,306,,Monster,,Steel,Rock,"Bipedal, tailed form",Gray,,,0,1:1,35,Sturdy,Rock Head,Heavy Metal,360,793.7,2.1,6,11
Solosis,577,,Amorphous,,Psychic,,Head,Green,,,0,1:1,20,Overcoat,Magic Guard,Regenerator,1,2.2,0.3,1,0
Vanilluxe,584,,Mineral,,Ice,,Multiple bodies,White,,,2,1:1,20,Ice Body,Snow Warning,Weak Armor,57.5,126.8,1.3,4,3
Swalot,317,,Amorphous,,Poison,,Head and arms,Purple,,,0,1:1,20,Liquid Ooze,Sticky Hold,Gluttony,80,176.4,1.7,5,7
Turtwig,387,,Monster,Grass,Grass,,Quadruped body,Green,,,0,1:7,20,Overgrow,,Shell Armor,10.2,22.5,0.4,1,4
Donphan,232,,Field,,Ground,,Quadruped body,Gray,,,0,1:1,20,Sturdy,,Sand Veil,120,264.6,1.1,3,7
Magby,240,,Undiscovered,,Fire,,"Bipedal, tailed form",Red,,,0,1:3U,25,Flame Body,,Vital Spirit,21.4,47.2,0.7,2,4
Venusaur,3,,Monster,Grass,Grass,Poison,Quadruped body,Green,,,0,1:7,20,Overgrow,,Chlorophyll,100,220.5,2,6,7
Dewgong,87,,Water 1,Field,Water,Ice,Fins,White,,,2,1:1,20,Thick Fat,Hydration,Ice Body,120,264.6,1.7,5,7
Sunkern,191,,Grass,,Grass,,Head,Yellow,,,2,1:1,20,Chlorophyll,Solar Power,Early Bird,1.8,4,0.3,1,0
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Rowlet,722,,Flying,,Grass,Flying,Single pair of wings,Brown,,,0,1:7,15,Overgrow,,Long Reach,1.5,3.3,0.3,1,0
Watchog,505,,Field,,Normal,,"Bipedal, tailed form",Brown,,,0,1:1,20,Illuminate,Keen Eye,Analytic,27,59.5,1.1,3,7
Leafeon,470,,Field,,Grass,,Quadruped body,Green,,,0,1:7,35,Leaf Guard,,Chlorophyll,25.5,56.2,1,3,3
Celesteela,797,,Undiscovered,,Steel,Flying,"Bipedal, tailless form",Green,,,0,GU,120,Beast Boost,,,999.9,2204.4,9.2,30,2
Charmander,4,,Monster,Dragon,Fire,,"Bipedal, tailed form",Red,,,0,1:7,20,Blaze,,Solar Power,8.5,18.7,0.6,2,0
Poipole,803,,Undiscovered,,Poison,,"Bipedal, tailed form",Purple,,,0,GU,120,Beast Boost,,,1.8,4,0.6,2,0
Ninetales,38,,Field,,Fire,,Quadruped body,Yellow,,,0,3:1,20,Flash Fire,,Drought,19.9,43.9,1.1,3,7
Golem,76,,Mineral,,Rock,Ground,"Bipedal, tailless form",Brown,,,0,1:1,15,Rock Head,Sturdy,Sand Veil,300,661.4,1.4,4,7
Spoink,325,,Field,,Psychic,,Head and arms,Black,,,0,1:1,20,Thick Fat,Own Tempo,Gluttony,30.6,67.5,0.7,2,4
Tentacool,72,,Water 3,,Water,Poison,Tentacles or a multiped body,Blue,,,0,1:1,20,Clear Body,Liquid Ooze,Rain Dish,45.5,100.3,0.9,2,11
Ninjask,291,,Bug,,Bug,Flying,Two or more pairs of wings,Yellow,,,0,1:1,15,Speed Boost,,Infiltrator,12,26.5,0.8,2,7
Minior,774,,Mineral,,Rock,Flying,Head,Red,,,0,G,25,Shields Down,,,40,88.2,0.3,1,0
Rotom,479,,Amorphous,,Electric,Ghost,Head,Red,,,0,G,20,Levitate,,,0.3,0.7,0.3,1,0
Tympole,535,,Water 1,,Water,,Fins,Blue,,,0,1:1,20,Swift Swim,Hydration,Water Absorb,4.5,9.9,0.5,1,8
Carvanha,318,,Water 2,,Water,Dark,Fins,Red,,,0,1:1,20,Rough Skin,,Speed Boost,20.8,45.9,0.8,2,7
Lunatone,337,,Mineral,,Rock,Psychic,Head,Yellow,,,0,G,25,Levitate,,,168,370.4,1,3,3
Poliwhirl,61,,Water 1,,Water,,"Bipedal, tailless form",Blue,,,0,1:1,20,Water Absorb,Damp,Swift Swim,20,44.1,1,3,3
Hitmonlee,106,,Human-Like,,Fighting,,"Bipedal, tailless form",Brown,,,2,0:1,25,Limber,Reckless,Unburden,49.8,109.8,1.5,4,11
Cradily,346,,Water 3,,Rock,Grass,Head and a base,Green,,,0,1:7,30,Suction Cups,,Storm Drain,60.4,133.2,1.5,4,11
Teddiursa,216,,Field,,Normal,,"Bipedal, tailed form",Brown,,,2,1:1,20,Pickup,Quick Feet,Honey Gather,8.8,19.4,0.6,2,0
Vulpix,37,,Field,,Fire,,Quadruped body,Brown,,,0,3:1,20,Flash Fire,,Drought,9.9,21.8,0.6,2,0
Giratina,487,,Undiscovered,,Ghost,Dragon,Tentacles or a multiped body,Black,,,0,GU,120,Pressure,,Telepathy,750,1653.5,4.5,14,9
Articuno,144,,Undiscovered,,Ice,Flying,Single pair of wings,Blue,,,0,GU,80,Pressure,,Snow Cloak,55.4,122.1,1.7,5,7
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Lairon,305,,Monster,,Steel,Rock,Quadruped body,Gray,,,0,1:1,35,Sturdy,Rock Head,Heavy Metal,120,264.6,0.9,2,11
Keldeo,647,,Undiscovered,,Water,Fighting,Quadruped body,Yellow,,,0,GU,80,Justified,,,48.5,106.9,1.4,4,7
Probopass,476,,Mineral,,Rock,Steel,Multiple bodies,Gray,,,0,1:1,20,Sturdy,Magnet Pull,Sand Force,340,749.6,1.4,4,7
Drifloon,425,,Amorphous,,Ghost,Flying,Head and arms,Purple,,,0,1:1,30,Aftermath,Unburden,Flare Boost,1.2,2.6,0.4,1,4
Elgyem,605,,Human-Like,,Psychic,,"Bipedal, tailed form",Blue,,,0,1:1,20,Telepathy,Synchronize,Analytic,9,19.8,0.5,1,8
Clamperl,366,,Water 1,,Water,,Head,Blue,,,0,1:1,20,Shell Armor,,Rattled,52.5,115.7,0.4,1,4
Volcarona,637,,Bug,,Bug,Fire,Two or more pairs of wings,White,,,0,1:1,40,Flame Body,,Swarm,46,101.4,1.6,5,3
Caterpie,10,,Bug,,Bug,,Insectoid body,Green,,,0,1:1,15,Shield Dust,,Run Away,2.9,6.4,0.3,1,0
Chespin,650,,Field,,Grass,,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Bulletproof,9,19.8,0.4,1,4
Raichu,26,,Field,Fairy,Electric,Psychic,"Bipedal, tailed form",Brown,,,0,1:1,10,Static,,Lightning Rod,30,66.1,0.7,2,4
Gogoat,673,,Field,,Grass,,Quadruped body,Brown,,,0,1:1,20,Sap Sipper,,Grass Pelt,91,200.6,1.7,5,7
Palpitoad,536,,Water 1,,Water,Ground,"Bipedal, tailed form",Blue,,,0,1:1,20,Swift Swim,Hydration,Water Absorb,17,37.5,0.8,2,7
Espeon,196,,Field,,Psychic,,Quadruped body,Purple,,,0,1:7,35,Synchronize,,Magic Bounce,26.5,58.4,0.9,2,11
Latias,380,,Undiscovered,,Dragon,Psychic,Single pair of wings,Red,,,0,1:0U,120,Levitate,,,40,88.2,1.4,4,7
Aggron,306,Aggronite,Monster,,Steel,,"Bipedal, tailed form",Gray,,,0,1:1,35,Sturdy,Rock Head,Heavy Metal,360,793.7,2.2,7,3
Snubbull,209,,Field,Fairy,Fairy,,"Bipedal, tailless form",Pink,,,0,3:1,20,Intimidate,Run Away,Rattled,7.8,17.2,0.6,2,0
Deino,633,,Dragon,,Dark,Dragon,Quadruped body,Blue,,,0,1:1,40,Hustle,,,17.3,38.1,0.8,2,7
Grovyle,253,,Monster,Dragon,Grass,,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Unburden,21.6,47.6,0.9,2,11
Tyrantrum,697,,Monster,Dragon,Rock,Dragon,"Bipedal, tailed form",Red,,,0,1:7,30,Strong Jaw,,Rock Head,270,595.2,2.5,8,2
Whirlipede,544,,Bug,,Bug,Poison,Head,Gray,,,9,1:1,15,Poison Point,Swarm,Speed Boost,58.5,129,1.2,3,11
Cranidos,408,,Monster,,Rock,,"Bipedal, tailed form",Blue,,,0,1:7,30,Mold Breaker,,Sheer Force,31.5,69.4,0.9,2,11
Skiploom,188,,Fairy,Grass,Grass,Flying,"Bipedal, tailed form",Green,,,2,1:1,20,Chlorophyll,Leaf Guard,Infiltrator,1,2.2,0.6,2,0
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Seviper,336,,Field,Dragon,Poison,,Serpentine bodies,Black,,,0,1:1,20,Shed Skin,,Infiltrator,52.5,115.7,2.7,8,10
Golbat,42,,Flying,,Poison,Flying,Single pair of wings,Purple,,,0,1:1,15,Inner Focus,,Infiltrator,55,121.3,1.6,5,3
Whimsicott,547,,Grass,Fairy,Grass,Fairy,"Bipedal, tailless form",Green,,,0,1:1,20,Prankster,Infiltrator,Chlorophyll,6.6,14.6,0.7,2,4
Jynx,124,,Human-Like,,Ice,Psychic,"Bipedal, tailless form",Red,,,2,1:0,25,Oblivious,Forewarn,Dry Skin,40.6,89.5,1.4,4,7
Stoutland,508,,Field,,Normal,,Quadruped body,Gray,,,0,1:1,15,Intimidate,Sand Rush,Scrappy,61,134.5,1.2,3,11
Pachirisu,417,,Field,Fairy,Electric,,Quadruped body,White,,,0,1:1,10,Run Away,Pickup,Volt Absorb,3.9,8.6,0.4,1,4
Roserade,407,,Fairy,Grass,Grass,Poison,"Bipedal, tailless form",Green,,,0,1:1,20,Natural Cure,Poison Point,Technician,14.5,32,0.9,2,11
Pichu,172,,Undiscovered,,Electric,,Quadruped body,Yellow,,,0,1:1U,10,Static,,Lightning Rod,2,4.4,0.3,1,0
Unown,201,,Undiscovered,,Psychic,,Head,Black,,,0,GU,40,Levitate,,,5,11,0.5,1,8
Zigzagoon,263,,Field,,Normal,,Quadruped body,Brown,,,2,1:1,15,Pickup,Gluttony,Quick Feet,17.5,38.6,0.4,1,4
Klefki,707,,Mineral,,Steel,Fairy,Head,Gray,,,0,1:1,20,Prankster,,Magician,3,6.6,0.2,0,8
Diglett,50,,Field,,Ground,Steel,Head and a base,Brown,,,0,1:1,20,Sand Veil,Arena Trap,Sand Force,0.8,1.8,0.2,0,8
Gengar,94,,Amorphous,,Ghost,Poison,"Bipedal, tailed form",Purple,,,8,1:1,20,Cursed Body,,,40.5,89.3,1.5,4,11
Castform,351,,Fairy,Amorphous,Water,,Head,Blue,,,0,1:1,25,Forecast,,,0.8,1.8,0.3,1,0
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Exeggutor,103,,Grass,,Grass,Psychic,Head and legs,Yellow,,,0,1:1,20,Chlorophyll,,Harvest,120,264.6,2,6,7
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Monferno,391,,Field,Human-Like,Fire,Fighting,"Bipedal, tailed form",Brown,,,0,1:7,20,Blaze,,Iron Fist,22,48.5,0.9,2,11
Slowbro,80,Slowbronite,Monster,Water 1,Water,Psychic,"Bipedal, tailed form",Pink,,,0,1:1,20,Oblivious,Own Tempo,Regenerator,78.5,173.1,2,6,7
Excadrill,530,,Field,,Ground,Steel,"Bipedal, tailless form",Gray,,,0,1:1,20,Sand Rush,Sand Force,Mold Breaker,40.4,89.1,0.7,2,4
Ferroseed,597,,Grass,Mineral,Grass,Steel,Head,Gray,,,0,1:1,20,Iron Barbs,,,18.8,41.5,0.6,2,0
Rufflet,627,,Flying,,Normal,Flying,Single pair of wings,White,,,0,0:1,20,Keen Eye,Sheer Force,Hustle,10.5,23.1,0.5,1,8
Quilladin,651,,Field,,Grass,,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Bulletproof,29,63.9,0.7,2,4
Houndoom,229,Houndoominite,Field,,Dark,Fire,Quadruped body,Black,,,0,1:1,20,Early Bird,Flash Fire,Unnerve,35,77.2,1.9,6,3
Machoke,67,,Human-Like,,Fighting,,"Bipedal, tailless form",Gray,,,2,1:3,20,Guts,No Guard,Steadfast,70.5,155.4,1.5,4,11
Volbeat,313,,Bug,Human-Like,Bug,,"Bipedal, tailed form",Gray,,,0,0:1,15,Illuminate,Swarm,Prankster,17.7,39,0.7,2,4
Deerling,585,,Field,,Normal,Grass,Quadruped body,Pink,,,0,1:1,20,Chlorophyll,Sap Sipper,Serene Grace,19.5,43,0.6,2,0
Silcoon,266,,Bug,,Bug,,Head,White,,,0,1:1,15,Shed Skin,,,10,22,0.6,2,0
Wishiwashi,746,,Water 2,,Water,,Fins,Blue,,,0,1:1,15,Schooling,,,78.6,173.3,8.2,26,11
Pidgeotto,17,,Flying,,Normal,Flying,Single pair of wings,Brown,,,2,1:1,15,Keen Eye,Tangled Feet,Big Pecks,30,66.1,1.1,3,7
Masquerain,284,,Water 1,Bug,Bug,Flying,Two or more pairs of wings,Blue,,,0,1:1,15,Intimidate,,Unnerve,3.6,7.9,0.8,2,7
Forretress,205,,Bug,,Bug,Steel,Head,Purple,,,0,1:1,20,Sturdy,,Overcoat,125.8,277.3,1.2,3,11
Aerodactyl,142,,Flying,,Rock,Flying,Single pair of wings,Purple,,,0,1:7,35,Rock Head,Pressure,Unnerve,59,130.1,1.8,5,11
Skuntank,435,,Field,,Poison,Dark,Quadruped body,Purple,,,0,1:1,20,Stench,Aftermath,Keen Eye,38,83.8,1,3,3
Alakazam,65,Alakazite,Human-Like,,Psychic,,"Bipedal, tailless form",Brown,,,0,1:3,20,Synchronize,Inner Focus,Magic Guard,48,105.8,1.2,3,11
Snover,459,,Monster,Grass,Grass,Ice,"Bipedal, tailed form",White,,,0,1:1,20,Snow Warning,,Soundproof,50.5,111.3,1,3,3
Dusknoir,477,,Amorphous,,Ghost,,Head and arms,Black,,,1,1:1,25,Pressure,,Frisk,106.6,235,2.2,7,3
Mareep,179,,Monster,Field,Electric,,Quadruped body,White,,,0,1:1,20,Static,,Plus,7.8,17.2,0.6,2,0
Seel,86,,Water 1,Field,Water,,Fins,White,,,2,1:1,20,Thick Fat,Hydration,Ice Body,90,198.4,1.1,3,7
Pineco,204,,Bug,,Bug,,Head,Gray,,,0,1:1,20,Sturdy,,Overcoat,7.2,15.9,0.6,2,0
Flabébé,669,,Fairy,,Fairy,,Head and arms,White,,,0,1:0,20,Flower Veil,,Symbiosis,0.1,0.2,0.1,0,4
Celebi,251,,Undiscovered,,Psychic,Grass,"Bipedal, tailless form",Green,,,0,GU,120,Natural Cure,,,5,11,0.6,2,0
Pumpkaboo,710,,Amorphous,,Ghost,Grass,Head,Brown,,,0,1:1,20,Pickup,Frisk,Insomnia,5,11,0.4,1,4
Kadabra,64,,Human-Like,,Psychic,,"Bipedal, tailed form",Brown,,,0,1:3,20,Synchronize,Inner Focus,Magic Guard,56.5,124.6,1.3,4,3
Grimer,88,,Amorphous,,Poison,Dark,Head and arms,Purple,,,0,1:1,20,Stench,Sticky Hold,Poison Touch,30,66.1,0.7,2,4
Shiftry,275,,Field,Grass,Grass,Dark,"Bipedal, tailless form",Brown,,,0,1:1,15,Chlorophyll,Early Bird,Pickpocket,59.6,131.4,1.3,4,3
Zygarde,718,,Undiscovered,,Dragon,Ground,Quadruped body,Black,,,0,GU,120,Aura Break,Power Construct,,33.5,73.9,1.2,3,11
Scolipede,545,,Bug,,Bug,Poison,Insectoid body,Red,,,9,1:1,20,Poison Point,Swarm,Speed Boost,200.5,442,2.5,8,2
Alakazam,65,,Human-Like,,Psychic,,"Bipedal, tailless form",Brown,,,0,1:3,20,Synchronize,Inner Focus,Magic Guard,48,105.8,1.5,4,11
Vivillon,666,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,17,37.5,1.2,3,11
Sudowoodo,185,,Mineral,,Rock,,"Bipedal, tailless form",Brown,,,0,1:1,20,Sturdy,Rock Head,Rattled,38,83.8,1.2,3,11
Mewtwo,150,,Undiscovered,,Psychic,,"Bipedal, tailed form",Purple,,,0,GU,120,Pressure,,Unnerve,122,269,1.5,4,11
Grotle,388,,Monster,Grass,Grass,,Quadruped body,Green,,,0,1:7,20,Overgrow,,Shell Armor,97,213.8,1.1,3,7
Absol,359,Absolite,Field,,Dark,,Quadruped body,White,,,2,1:1,25,Pressure,Super Luck,Justified,47,103.6,1.2,3,11
Trumbeak,732,,Flying,,Normal,Flying,Single pair of wings,Black,,,0,1:1,15,Keen Eye,Skill Link,Pickup,14.8,32.6,0.6,2,0
Vivillon,666,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,17,37.5,1.2,3,11
Flabébé,669,,Fairy,,Fairy,,Head and arms,White,,,0,1:0,20,Flower Veil,,Symbiosis,0.1,0.2,0.1,0,4
Lickilicky,463,,Monster,,Normal,,"Bipedal, tailless form",Pink,,,0,1:1,20,Own Tempo,Oblivious,Cloud Nine,140,308.6,1.7,5,7
Muk,89,,Amorphous,,Poison,Dark,Head and arms,Green,,,0,1:1,20,Stench,Sticky Hold,Poison Touch,30,66.1,1,3,3
Chingling,433,,Undiscovered,,Psychic,,"Bipedal, tailless form",Yellow,,,0,1:1U,25,Levitate,,,0.6,1.3,0.2,0,8
Mareanie,747,,Water 1,,Poison,Water,Head and a base,Blue,,,0,1:1,20,Merciless,Limber,Regenerator,8,17.6,0.4,1,4
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Samurott,503,,Field,,Water,,Quadruped body,Blue,,,0,1:7,20,Torrent,,Shell Armor,94.6,208.6,1.5,4,11
Exploud,295,,Monster,Field,Normal,,"Bipedal, tailed form",Blue,,,0,1:1,20,Soundproof,,Scrappy,84,185.2,1.5,4,11
Ludicolo,272,,Water 1,Grass,Water,Grass,"Bipedal, tailless form",Green,,,0,1:1,15,Swift Swim,Rain Dish,Own Tempo,55,121.3,1.5,4,11
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Tornadus,641,,Undiscovered,,Flying,,Head and arms,Green,,,0,0:1U,120,Prankster,,Defiant,63,138.9,1.5,4,11
Shaymin,492,,Undiscovered,,Grass,,Quadruped body,Green,,,0,GU,120,Natural Cure,,,2.1,4.6,0.2,0,8
Meowstic,678,,Field,,Psychic,,"Bipedal, tailed form",Blue,,,0,1:1,20,Keen Eye,Infiltrator,Prankster,8.5,18.7,0.6,2,0
Salamence,373,Salamencite,Dragon,,Dragon,Flying,Quadruped body,Blue,,,0,1:1,40,Intimidate,,Moxie,102.6,226.2,1.8,5,11
Magnezone,462,,Mineral,,Electric,Steel,Head and arms,Gray,,,0,G,20,Magnet Pull,Sturdy,Analytic,180,396.8,1.2,3,11
Mightyena,262,,Field,,Dark,,Quadruped body,Gray,,,2,1:1,15,Intimidate,Quick Feet,Moxie,37,81.6,1,3,3
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Vibrava,329,,Bug,,Ground,Dragon,Two or more pairs of wings,Green,,,0,1:1,20,Levitate,,,15.3,33.7,1.1,3,7
Mismagius,429,,Amorphous,,Ghost,,Head,Purple,,,0,1:1,25,Levitate,,,4.4,9.7,0.9,2,11
Meowth,52,,Field,,Normal,,Quadruped body,Yellow,,,2,1:1,20,Pickup,Technician,Unnerve,4.2,9.3,0.4,1,4
Drilbur,529,,Field,,Ground,,"Bipedal, tailed form",Gray,,,0,1:1,20,Sand Rush,Sand Force,Mold Breaker,8.5,18.7,0.3,1,0
Whismur,293,,Monster,Field,Normal,,"Bipedal, tailed form",Pink,,,0,1:1,20,Soundproof,,Rattled,16.3,35.9,0.6,2,0
Charjabug,737,,Bug,,Bug,Electric,Serpentine bodies,Green,,,0,1:1,15,Battery,,,10.5,23.1,0.5,1,8
Zoroark,571,,Field,,Dark,,"Bipedal, tailed form",Gray,,,0,1:7,20,Illusion,,,81.1,178.8,1.6,5,3
Vigoroth,288,,Field,,Normal,,"Bipedal, tailed form",White,,,0,1:1,15,Vital Spirit,,,46.5,102.5,1.4,4,7
Rotom,479,,Amorphous,,Electric,Ghost,Head,Red,,,0,G,20,Levitate,,,0.3,0.7,0.3,1,0
Drowzee,96,,Human-Like,,Psychic,,"Bipedal, tailless form",Yellow,,,2,1:1,20,Insomnia,Forewarn,Inner Focus,32.4,71.4,1,3,3
Oddish,43,,Grass,,Grass,Poison,Head and legs,Blue,,,0,1:1,20,Chlorophyll,,Run Away,5.4,11.9,0.5,1,8
Accelgor,617,,Bug,,Bug,,Head and arms,Red,,,0,1:1,15,Hydration,Sticky Hold,Unburden,25.3,55.8,0.8,2,7
Maractus,556,,Grass,,Grass,,Head and a base,Green,,,0,1:1,20,Water Absorb,Chlorophyll,Storm Drain,28,61.7,1,3,3
Luxio,404,,Field,,Electric,,Quadruped body,Blue,,,0,1:1,20,Rivalry,Intimidate,Guts,30.5,67.2,0.9,2,11
Genesect,649,,Undiscovered,,Bug,Steel,"Bipedal, tailless form",Purple,,,0,GU,120,Download,,,82.5,181.9,1.5,4,11
Mantine,226,,Water 1,,Water,Flying,Single pair of wings,Purple,,,0,1:1,25,Swift Swim,Water Absorb,Water Veil,220,485,2.1,6,11
