Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Gender_Ratio,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen,Color,Group,Base friendship,EvolutionLevel,Call_Rate_SM,Call_Rate_USUM,Ability 1,Ability 2,Hidden,Star,Habitat,Page,Ft,In,HeightM
Spearow,21,,,,,21,,Normal,Flying,1:1,Flying,—,15,3840,4096,4080,3855,3840,4.4,2,Medium Fast,Pokémon with a single pair of wings,Normal,1,Brown,D,70,20,,,Keen Eye,,Sniper,0,Rough-terrain,1,1,0,0.3
Serperior,497,,,,,3,,Grass,,1:7,Field,Grass,20,,,,5140,5120,138.9,63,Medium Slow,Pokémon with serpentine bodies,Grass,5,Green,,70,,,,Overgrow,,Contrary,0,,,10,10,3.3
Hoopa,720,,,,Confined,152,Ce,Psychic,Ghost,GU,Undiscovered,—,120,,,,30840,30720,19.8,9,Slow,Pokémon consisting of a head and arms,Psychic,6,Purple,,100,,,,Magician,,,0,,,1,8,0.5
Floette,670,,,,Yellow Flower,69,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,2,0.9,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,,,0,Flower Veil,,Symbiosis,0,,,0,8,0.2
Sawsbuck,586,,,,Winter Form,92,,Normal,Grass,1:1,Field,—,20,,,,5140,5120,203.9,92.5,Medium Fast,Pokémon with a quadruped body,Normal,5,Brown,,70,,,,Chlorophyll,Sap Sipper,Serene Grace,0,,,6,3,1.9
Rotom,479,,,,,152,,Electric,Ghost,G,Amorphous,—,20,,,5355,5140,5120,0.7,0.3,Medium Fast,Pokémon consisting of only a head,Electric,4,Red,G,70,,,,Levitate,,,0,,,1,0,0.3
Marshadow,802,,,,,302,,Fighting,Ghost,GU,Undiscovered,—,120,,,,,30720,48.9,22.2,Slow,"Pokémon with a bipedal, tailless form",Fighting,7,Gray,,0,,,,Technician,,,0,,,2,4,0.7
Hippowdon,450,,,,,123,,Ground,,1:1,Field,—,30,,,7905,7710,7680,661.4,300,Slow,Pokémon with a quadruped body,Ground,4,Brown,E,70,,,,Sand Stream,,Sand Force,0,,,6,7,2
Electivire,466,,,,,199,,Electric,,1:3,Human-Like,—,25,,,6630,6425,6400,305.6,138.6,Medium Fast,"Pokémon with a bipedal, tailed form",Electric,4,Yellow,C,70,,,,Motor Drive,,Vital Spirit,0,,,5,11,1.8
Barboach,339,,,,,127,,Water,Ground,1:1,Water 2,—,20,,5376,5355,5140,5120,4.2,1.9,Medium Fast,Pokémon with fins,Water,3,Gray,B,70,30,,,Oblivious,Anticipation,Hydration,1,Water's-edge,3,1,4,0.4
Azurill,298,,,,,54,,Normal,Fairy,3:1U,Undiscovered,—,10,,2816,2805,2570,2560,4.4,2,Fast,Pokémon consisting of a head and legs,Normal,3,Blue,D,70,,,,Thick Fat,Huge Power,Sap Sipper,0,Water's-edge,8,0,8,0.2
Numel,322,,,,,101,,Fire,Ground,1:1,Field,—,20,,5376,5355,5140,5120,52.9,24,Medium Fast,Pokémon with a quadruped body,Fire,3,Yellow,E,70,33,,,Oblivious,Simple,Own Tempo,1,Mountain,6,2,4,0.7
Grumpig,326,,,,,111,,Psychic,,1:1,Field,—,20,,5376,5355,5140,5120,157.6,71.5,Fast,"Pokémon with a bipedal, tailed form",Psychic,3,Purple,F,70,,,,Thick Fat,Own Tempo,Gluttony,0,Mountain,2,2,11,0.9
Solgaleo,791,,,,,291,,Psychic,Steel,GU,Undiscovered,—,120,,,,,30720,507.1,230,Slow,Pokémon with a quadruped body,Psychic,7,White,,0,,,,Full Metal Body,,,0,,,11,2,3.4
Clawitzer,693,,,,,33,Co,Water,,1:1,Water 1,Water 3,15,,,,3855,3840,77.8,35.3,Slow,Pokémon with serpentine bodies,Water,6,Blue,,70,,,,Mega Launcher,,,0,,,4,3,1.3
Venusaur,3,M,,Venusaurite,Mega,3,,Grass,Poison,1:7,Monster,Grass,20,5120,5376,5355,5140,5120,220.5,100,Medium Slow,Pokémon with a quadruped body,Grass,1,Green,,70,,,,Overgrow,,Chlorophyll,0,Grassland,23,7,10,2.4
Ralts,280,,,,,29,,Psychic,Fairy,1:1,Amorphous,—,20,,5376,5355,5140,5120,14.6,6.6,Slow,"Pokémon with a bipedal, tailless form",Psychic,3,White,F,35,20,,,Synchronize,Trace,Telepathy,0,Urban,5,1,4,0.4
Gurdurr,533,,,,,39,,Fighting,,1:3,Human-Like,—,20,,,,5140,5120,88.2,40,Medium Slow,"Pokémon with a bipedal, tailless form",Fighting,5,Gray,,70,,,,Guts,Sheer Force,Iron Fist,0,,,3,11,1.2
Dartrix,723,,,,,2,,Grass,Flying,1:7,Flying,—,15,,,,,3840,35.3,16,Medium Slow,Pokémon with a single pair of wings,Grass,7,Brown,,70,34,,,Overgrow,,Long Reach,0,,,2,4,0.7
Vivillon,666,,,,Ocean Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
Swampert,260,M,,Swampertite,Mega,9,,Water,Ground,1:7,Monster,Water 1,20,,5376,5355,5140,5120,180.6,81.9,Medium Slow,"Pokémon with a bipedal, tailed form",Water,3,Blue,,70,,,,Torrent,,Damp,0,Water's-edge,15,6,3,1.9
Silvally,773,,,,Type: Dragon,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Pikachu,25,,,,Libre,25,,Electric,,1:1,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,Pokémon with a quadruped body,Electric,1,Yellow,D,70,,,,Static,,Lightning Rod,0,Forest,7,1,4,0.4
Cyndaquil,155,,,,,4,,Fire,,1:7,Field,—,20,5120,5376,5355,5140,5120,17.4,7.9,Medium Slow,"Pokémon with a bipedal, tailless form",Fire,2,Yellow,C,70,14,,,Blaze,,Flash Fire,0,Grassland,25,1,8,0.5
Smeargle,235,,,,,159,,Normal,,1:1,Field,—,20,5120,5376,5355,5140,5120,127.9,58,Fast,"Pokémon with a bipedal, tailed form",Normal,2,White,F,70,,,,Own Tempo,Technician,Moody,1,Urban,6,3,11,1.2
Archen,566,,,,,72,,Rock,Flying,1:7,Flying,Water 3,30,,,,7710,7680,20.9,9.5,Medium Fast,Pokémon with a single pair of wings,Rock,5,Yellow,,70,37,,,Defeatist,,,0,,,2,0,0.6
Lileep,345,,,,,133,,Rock,Grass,1:7,Water 3,—,30,,7936,7905,7710,7680,52.5,23.8,Erratic,Pokémon consisting of a head and a base,Rock,3,Purple,F,70,40,,,Suction Cups,,Storm Drain,0,Sea,15,3,3,1
Bronzong,437,,,,,89,,Steel,Psychic,G,Mineral,—,20,,,5355,5140,5120,412.3,187,Medium Fast,Pokémon consisting of a head and arms,Steel,4,Green,E,70,,,,Levitate,Heatproof,Heavy Metal,0,,,4,3,1.3
Castform,351,S,,,Sunny Form,142,,Fire,,1:1,Fairy,Amorphous,25,,6656,6630,6425,6400,1.8,0.8,Medium Fast,Pokémon consisting of only a head,Normal,3,Red,,70,,,,Forecast,,,0,Grassland,22,1,0,0.3
Wartortle,8,,,,,8,,Water,,1:7,Monster,Water 1,20,5120,5376,5355,5140,5120,49.6,22.5,Medium Slow,"Pokémon with a bipedal, tailed form",Water,1,Blue,E,70,36,,,Torrent,,Rain Dish,0,Water's-edge,13,3,3,1
Gastrodon,423,E,,,East Sea,61,,Water,Ground,1:1,Water 1,Amorphous,20,,,5355,5140,5120,65.9,29.9,Medium Fast,Pokémon with serpentine bodies,Water,4,Blue,,70,,,,Sticky Hold,Storm Drain,Sand Force,0,,,2,11,0.9
Volbeat,313,,,,,86,,Bug,,0:1,Bug,Human-Like,15,,4096,4080,3855,3840,39,17.7,Erratic,"Pokémon with a bipedal, tailed form",Bug,3,Gray,F,70,,,,Illuminate,Swarm,Prankster,0,Forest,14,2,4,0.7
Vivillon,666,,,,Savanna Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
Arceus,493,,,,Type: Dragon,,,Normal,,GU,Undiscovered,—,120,,,30855,30840,30720,705.5,320,Slow,Pokémon with a quadruped body,Normal,4,White,,0,,,,Multitype,,,0,,,10,6,3.2
Goomy,704,,,,,19,Mo,Dragon,,1:1,Dragon,—,40,,,,10280,10240,6.2,2.8,Slow,Pokémon with serpentine bodies,Dragon,6,Purple,,35,40,,,Sap Sipper,Hydration,Gooey,0,,,1,0,0.3
Floette,670,,,,Blue Flower,69,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,2,0.9,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,,,0,Flower Veil,,Symbiosis,0,,,0,8,0.2
Vivillon,666,,,,Archipelago Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
Litleo,667,,,,,57,Ce,Fire,Normal,7:1,Field,—,20,,,,5140,5120,29.8,13.5,Medium Slow,Pokémon with a quadruped body,Fire,6,Brown,,70,35,,,Rivalry,Unnerve,Moxie,0,,,2,0,0.6
Silvally,773,,,,Type: Ground,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Rotom,479,,,,Frost,152,,Electric,Ghost,G,Amorphous,—,20,,,5355,5140,5120,0.7,0.3,Medium Fast,Pokémon consisting of only a head,Electric,4,Red,G,70,,,,Levitate,,,0,,,1,0,0.3
Silvally,773,,,,Type: Bug,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Bronzor,436,,,,,88,,Steel,Psychic,G,Mineral,—,20,,,5355,5140,5120,133.4,60.5,Medium Fast,Pokémon consisting of only a head,Steel,4,Green,E,70,33,,,Levitate,Heatproof,Heavy Metal,0,,,1,8,0.5
Ferroseed,597,,,,,103,,Grass,Steel,1:1,Grass,Mineral,20,,,,5140,5120,41.5,18.8,Medium Fast,Pokémon consisting of only a head,Grass,5,Gray,,70,40,,,Iron Barbs,,,0,,,2,0,0.6
Stunfisk,618,,,,,124,,Ground,Electric,1:1,Water 1,Amorphous,20,,,,5140,5120,24.3,11,Medium Fast,Pokémon with fins,Ground,5,Brown,,70,,,,Static,Limber,Sand Veil,0,,,2,4,0.7
Ponyta,77,,,,,77,,Fire,,1:1,Field,—,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,Pokémon with a quadruped body,Fire,1,Yellow,D,70,40,,,Run Away,Flash Fire,Flame Body,0,Grassland,17,3,3,1
Dustox,269,,,,,18,,Bug,Poison,1:1,Bug,—,15,,4096,4080,3855,3840,69.7,31.6,Medium Fast,Pokémon with two or more pairs of wings,Bug,3,Green,A,70,,,,Shield Dust,,Compound Eyes,0,Forest,4,3,11,1.2
Gothitelle,576,,,,,82,,Psychic,,3:1,Human-Like,—,20,,,,5140,5120,97,44,Medium Slow,"Pokémon with a bipedal, tailless form",Psychic,5,Purple,,70,,,,Frisk,Competitive,Shadow Tag,1,,,4,11,1.5
Meganium,154,,,,,3,,Grass,,1:7,Monster,Grass,20,5120,5376,5355,5140,5120,221.6,100.5,Medium Slow,Pokémon with a quadruped body,Grass,2,Green,H,70,,,,Overgrow,,Leaf Guard,0,Grassland,24,5,11,1.8
Vaporeon,134,,,,,134,,Water,,1:7,Field,—,35,8960,9216,9180,8995,8960,63.9,29,Medium Fast,Pokémon with a quadruped body,Water,1,Blue,F,70,,,,Water Absorb,,Hydration,0,Urban,11,3,3,1
Granbull,210,,,,,126,,Fairy,,3:1,Field,Fairy,20,5120,5376,5355,5140,5120,107.4,48.7,Fast,"Pokémon with a bipedal, tailed form",Fairy,2,Purple,B,70,,,,Intimidate,Quick Feet,Rattled,1,Urban,1,4,7,1.4
Nuzleaf,274,,,,,23,,Grass,Dark,1:1,Field,Grass,15,,4096,4080,3855,3840,61.7,28,Medium Slow,"Pokémon with a bipedal, tailless form",Grass,3,Brown,C,70,,,,Chlorophyll,Early Bird,Pickpocket,0,Forest,10,3,3,1
Dewott,502,,,,,8,,Water,,1:7,Field,—,20,,,,5140,5120,54,24.5,Medium Slow,"Pokémon with a bipedal, tailed form",Water,5,Blue,,70,36,,,Torrent,,Shell Armor,0,,,2,7,0.8
Shellder,90,,,,,90,,Water,,1:1,Water 3,—,20,5120,5376,5355,5140,5120,8.8,4,Slow,Pokémon consisting of only a head,Water,1,Purple,E,70,,,,Shell Armor,Skill Link,Overcoat,1,Sea,5,1,0,0.3
Dewpider,751,,,,,141,,Water,Bug,1:1,Water 1,Bug,15,,,,,3840,8.8,4,Medium Fast,Pokémon consisting of a head and legs,Water,7,Green,,70,22,,,Water Bubble,,Water Absorb,0,,,1,0,0.3
Meowth,52,,,,,52,,Normal,,1:1,Field,—,20,5120,5376,5355,5140,5120,9.3,4.2,Medium Fast,Pokémon with a quadruped body,Normal,1,Yellow,G,70,28,,,Pickup,Technician,Unnerve,1,Urban,1,1,4,0.4
Poliwrath,62,,,,,62,,Water,Fighting,1:1,Water 1,—,20,5120,5376,5355,5140,5120,119,54,Medium Slow,"Pokémon with a bipedal, tailless form",Water,1,Blue,F,70,,,,Water Absorb,Damp,Swift Swim,0,Water's-edge,7,4,3,1.3
Cacnea,331,,,,,119,,Grass,,1:1,Grass,Human-Like,20,,5376,5355,5140,5120,113.1,51.3,Medium Slow,"Pokémon with a bipedal, tailless form",Grass,3,Green,C,35,32,,,Sand Veil,,Water Absorb,0,Rough-terrain,5,1,4,0.4
Corphish,341,,,,,129,,Water,,1:1,Water 1,Water 3,15,,4096,4080,3855,3840,25.4,11.5,Fluctuating,Pokémon with an insectoid body,Water,3,Red,B,70,30,,,Hyper Cutter,Shell Armor,Adaptability,0,Water's-edge,3,2,0,0.6
Watchog,505,,,,,11,,Normal,,1:1,Field,—,20,,,,5140,5120,59.5,27,Medium Fast,"Pokémon with a bipedal, tailed form",Normal,5,Brown,,70,,,,Illuminate,Keen Eye,Analytic,0,,,3,7,1.1
Electrike,309,,,,,78,,Electric,,1:1,Field,—,20,,5376,5355,5140,5120,33.5,15.2,Slow,Pokémon with a quadruped body,Electric,3,Green,F,70,26,,,Static,Lightning Rod,Minus,0,Grassland,18,2,0,0.6
Unown,201,,,,,61,,Psychic,,GU,Undiscovered,—,40,10240,10496,10455,10280,10240,11,5,Medium Fast,Pokémon consisting of only a head,Psychic,2,Black,A,70,,,,Levitate,,,0,Rare,1,1,8,0.5
Rhyhorn,111,,,,,111,,Ground,Rock,1:1,Monster,Field,20,5120,5376,5355,5140,5120,253.5,115,Slow,Pokémon with a quadruped body,Ground,1,Gray,E,70,42,,,Lightning Rod,Rock Head,Reckless,0,Rough-terrain,2,3,3,1
Arceus,493,,,,Type: Grass,,,Normal,,GU,Undiscovered,—,120,,,30855,30840,30720,705.5,320,Slow,Pokémon with a quadruped body,Normal,4,White,,0,,,,Multitype,,,0,,,10,6,3.2
Gallade,475,M,,Galladite,Mega,160,,Psychic,Fighting,0:1,Amorphous,—,20,,,5355,5140,5120,114.6,52,Slow,"Pokémon with a bipedal, tailless form",Psychic,4,White,,35,,,,Steadfast,,Justified,0,,,5,3,1.6
Sandslash,28,A,,,Alolan,,,Ice,Steel,1:1,Field,—,20,5120,5376,5355,5140,5120,65,29.5,Medium Fast,"Pokémon with a bipedal, tailed form",Ground,1,Blue,,70,,,,Sand Veil,,Sand Rush,0,Rough-terrain,2,3,11,1.2
Blacephalon,806,,,,,393,,Fire,Ghost,GU,Undiscovered,—,120,,,,,30720,28.7,13,Slow,"Pokémon with a bipedal, tailless form",Fire,7,White,,0,,,,Beast Boost,,,0,,,5,11,1.8
Volcarona,637,,,,,143,,Bug,Fire,1:1,Bug,—,40,,,,10280,10240,101.4,46,Slow,Pokémon with two or more pairs of wings,Bug,5,White,,70,,,,Flame Body,,Swarm,0,,,5,3,1.6
Pumpkaboo,710,,,,Average Size,63,Mo,Ghost,Grass,1:1,Amorphous,—,20,,,,5140,5120,11,5,Medium Fast,Pokémon consisting of only a head,Ghost,6,Brown,,70,,,,Pickup,Frisk,Insomnia,0,,,1,4,0.4
Minior,774,I,,,Meteor Form,213,,Rock,Flying,G,Mineral,—,25,,,,,6400,88.2,40,Medium Slow,Pokémon consisting of only a head,Rock,7,Blue,,70,,,,Shields Down,,,0,,,1,0,0.3
Groudon,383,,,,,199,,Ground,,GU,Undiscovered,—,120,,30976,30855,30840,30720,2094.4,950,Slow,"Pokémon with a bipedal, tailed form",Ground,3,Red,E,0,,,,Drought,,,0,Rough-terrain,11,11,6,3.5
Rotom,479,,,,Fan,152,,Electric,Ghost,G,Amorphous,—,20,,,5355,5140,5120,0.7,0.3,Medium Fast,Pokémon consisting of only a head,Electric,4,Red,G,70,,,,Levitate,,,0,,,1,0,0.3
Unfezant,521,F,,,,27,,Normal,Flying,1:1,Flying,—,15,,,,3855,3840,63.9,29,Medium Slow,Pokémon with a single pair of wings,Normal,5,Gray,,70,,,,Big Pecks,Super Luck,Rivalry,0,,,3,11,1.2
Bastiodon,411,,,,,39,,Rock,Steel,1:7,Monster,—,30,,,7905,7710,7680,329.6,149.5,Erratic,Pokémon with a quadruped body,Rock,4,Gray,E,70,,,,Sturdy,,Soundproof,0,,,4,3,1.3
Lycanroc,745,D,,,Dusk Form,104,,Rock,,1:1,Field,—,15,,,,,3840,55.1,25,Medium Fast,Pokémon with a quadruped body,Rock,7,Brown,,70,,,,Tough Claws,,,0,,,2,7,0.8
Sawsbuck,586,,,,Spring Form,92,,Normal,Grass,1:1,Field,—,20,,,,5140,5120,203.9,92.5,Medium Fast,Pokémon with a quadruped body,Normal,5,Brown,,70,,,,Chlorophyll,Sap Sipper,Serene Grace,0,,,6,3,1.9
Rockruff,744,,,,,103,,Rock,,1:1,Field,—,15,,,,,3840,20.3,9.2,Medium Fast,Pokémon with a quadruped body,Rock,7,Brown,,70,25,,,Keen Eye,Vital Spirit,Steadfast,0,,,1,8,0.5
Relicanth,369,,,,,179,,Water,Rock,1:7,Water 1,Water 2,40,,10496,10455,10280,10240,51.6,23.4,Slow,Pokémon with fins,Water,3,Gray,E,70,,,,Swift Swim,Rock Head,Sturdy,0,Sea,12,3,3,1
Sealeo,364,,,,,174,,Ice,Water,1:1,Water 1,Field,20,,5376,5355,5140,5120,193.1,87.6,Medium Slow,Pokémon with fins,Ice,3,Blue,E,70,44,,,Thick Fat,Ice Body,Oblivious,1,Sea,9,3,7,1.1
Arbok,24,,,,,24,,Poison,,1:1,Field,Dragon,20,5120,5376,5355,5140,5120,143.3,65,Medium Fast,Pokémon with serpentine bodies,Poison,1,Purple,C,70,,,,Intimidate,Shed Skin,Unnerve,0,Grassland,9,11,6,3.5
Klang,600,,,,,106,,Steel,,G,Mineral,—,20,,,,5140,5120,112.4,51,Medium Slow,Pokémon consisting of multiple bodies,Steel,5,Gray,,70,49,,,Plus,Minus,Clear Body,0,,,2,0,0.6
Hoppip,187,,,,,67,,Grass,Flying,1:1,Fairy,Grass,20,5120,5376,5355,5140,5120,1.1,0.5,Medium Slow,"Pokémon with a bipedal, tailed form",Grass,2,Pink,H,70,18,,,Chlorophyll,Leaf Guard,Infiltrator,1,Grassland,7,1,4,0.4
Plusle,311,,,,,80,,Electric,,1:1,Fairy,—,20,,5376,5355,5140,5120,9.3,4.2,Medium Fast,"Pokémon with a bipedal, tailed form",Electric,3,Yellow,B,70,,,,Plus,,Lightning Rod*,0,Grassland,20,1,4,0.4
Silvally,773,,,,Type: Steel,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Keldeo,647,,,,Resolute Form,153,,Water,Fighting,GU,Undiscovered,—,80,,,,20560,20480,106.9,48.5,Slow,Pokémon with a quadruped body,Water,5,Yellow,,35,,,,Justified,,,0,,,4,7,1.4
Happiny,440,,,,,96,,Normal,,1:0U,Undiscovered,—,40,,,10455,10280,10240,53.8,24.4,Fast,"Pokémon with a bipedal, tailless form",Normal,4,Pink,H,140,,,,Natural Cure,Serene Grace,Friend Guard,0,,,2,0,0.6
Pignite,499,,,,,5,,Fire,Fighting,1:7,Field,—,20,,,,5140,5120,122.4,55.5,Medium Slow,"Pokémon with a bipedal, tailed form",Fire,5,Red,,70,36,,,Blaze,,Thick Fat,0,,,3,3,1
Spoink,325,,,,,110,,Psychic,,1:1,Field,—,20,,5376,5355,5140,5120,67.5,30.6,Fast,Pokémon consisting of a head and arms,Psychic,3,Black,F,70,32,,,Thick Fat,Own Tempo,Gluttony,0,Mountain,2,2,4,0.7
Pidgey,16,,,,,16,,Normal,Flying,1:1,Flying,—,15,3840,4096,4080,3855,3840,4,1.8,Medium Slow,Pokémon with a single pair of wings,Normal,1,Brown,D,70,18,,,Keen Eye,Tangled Feet,Big Pecks,1,Forest,5,1,0,0.3
Landorus,645,,,,Incarnate Forme,151,,Ground,Flying,0:1U,Undiscovered,—,120,,,,30840,30720,149.9,68,Slow,Pokémon consisting of a head and arms,Ground,5,Brown,,90,,,,Sand Force,,Sheer Force,0,,,4,11,1.5
Chesnaught,652,,,,,3,Ce,Grass,Fighting,1:7,Field,—,20,,,,5140,5120,198.4,90,Medium Slow,"Pokémon with a bipedal, tailed form",Grass,6,Green,,70,,,,Overgrow,,Bulletproof,0,,,5,3,1.6
Nidoking,34,,,,,34,,Poison,Ground,0:1,Monster,Field,20,5120,5376,5355,5140,5120,136.7,62,Medium Slow,"Pokémon with a bipedal, tailed form",Poison,1,Purple,C,70,,,,Poison Point,Rivalry,Sheer Force,1,Grassland,4,4,7,1.4
Dragalge,691,,,,,31,Co,Poison,Dragon,1:1,Water 1,Dragon,20,,,,5140,5120,179.7,81.5,Medium Fast,Pokémon consisting of a head and a base,Poison,6,Brown,,70,,,,Poison Point,Poison Touch,Adaptability,0,,,5,11,1.8
Goodra,706,,,,,21,Mo,Dragon,,1:1,Dragon,—,40,,,,10280,10240,331.8,150.5,Slow,"Pokémon with a bipedal, tailed form",Dragon,6,Purple,,35,,,,Sap Sipper,Hydration,Gooey,0,,,6,7,2
Scraggy,559,,,,,65,,Dark,Fighting,1:1,Field,Dragon,15,,,,3855,3840,26,11.8,Medium Fast,"Pokémon with a bipedal, tailed form",Dark,5,Yellow,,35,39,,,Shed Skin,Moxie,Intimidate,0,,,2,0,0.6
Roggenrola,524,,,,,30,,Rock,,1:1,Mineral,—,15,,,,3855,3840,39.7,18,Medium Slow,Pokémon consisting of a head and legs,Rock,5,Blue,,70,25,,,Sturdy,Weak Armor,Sand Force,1,,,1,4,0.4
Abomasnow,460,,,,,143,,Grass,Ice,1:1,Monster,Grass,20,,,5355,5140,5120,298.7,135.5,Slow,"Pokémon with a bipedal, tailed form",Grass,4,White,E,70,,,,Snow Warning,,Soundproof,0,,,7,3,2.2
Banette,354,M,,Banettite,Mega,147,,Ghost,,1:1,Amorphous,—,25,,6656,6630,6425,6400,27.6,12.5,Fast,"Pokémon with a bipedal, tailed form",Ghost,3,Black,,35,,,,Insomnia,Frisk,Cursed Body,1,Urban,3,3,11,1.2
Furfrou,676,,,,Diamond Trim,93,Ce,Normal,,1:1,Field,—,20,,,,5140,5120,61.7,28,Medium Fast,Pokémon with a quadruped body,Normal,6,White,,70,,,,Fur Coat,,,0,,,3,11,1.2
Torracat,726,,,,,5,,Fire,,1:7,Field,—,15,,,,,3840,55.1,25,Medium Slow,Pokémon with a quadruped body,Fire,7,Red,,70,34,,,Blaze,,Intimidate,0,,,2,4,0.7
Sandygast,769,,,,,186,,Ghost,Ground,1:1,Amorphous,—,15,,,,,3840,154.3,70,Medium Fast,Pokémon with serpentine bodies,Ghost,7,Brown,,70,42,,,Water Compaction,,Sand Veil,0,,,1,8,0.5
Cubchoo,613,,,,,119,,Ice,,1:1,Field,—,20,,,,5140,5120,18.7,8.5,Medium Fast,"Pokémon with a bipedal, tailed form",Ice,5,White,,70,37,,,Snow Cloak,Slush Rush,Rattled,1,,,1,8,0.5
Volcanion,721,,,,,153,Ce,Fire,Water,GU,Undiscovered,—,120,,,,30840,30720,429.9,195,Slow,Pokémon with a quadruped body,Fire,6,Brown,,100,,,,Water Absorb,,,0,,,5,7,1.7
Fletchling,661,,,,,14,Ce,Normal,Flying,1:1,Flying,—,15,,,,3855,3840,3.7,1.7,Medium Slow,Pokémon with a single pair of wings,Normal,6,Red,,70,17,,,Big Pecks,,Gale Wings,0,,,1,0,0.3
Yanmega,469,,,,,184,,Bug,Flying,1:1,Bug,—,20,,,5355,5140,5120,113.5,51.5,Medium Fast,Pokémon with two or more pairs of wings,Bug,4,Green,D,70,,,,Speed Boost,Tinted Lens,Frisk,0,,,6,3,1.9
Swoobat,528,,,,,34,,Psychic,Flying,1:1,Field,Flying,15,,,,3855,3840,23.1,10.5,Medium Fast,Pokémon with a single pair of wings,Psychic,5,Blue,,70,,,,Unaware,Klutz,Simple,0,,,2,11,0.9
Gloom,44,,,,,44,,Grass,Poison,1:1,Grass,—,20,5120,5376,5355,5140,5120,19,8.6,Medium Slow,"Pokémon with a bipedal, tailless form",Grass,1,Blue,B,70,,,,Chlorophyll,,Stench,0,Grassland,8,2,7,0.8
Genesect,649,,,,,155,,Bug,Steel,GU,Undiscovered,—,120,,,,30840,30720,181.9,82.5,Slow,"Pokémon with a bipedal, tailless form",Bug,5,Purple,,0,,,,Download,,,0,,,4,11,1.5
Leavanny,542,,,,,48,,Bug,Grass,1:1,Bug,—,15,,,,3855,3840,45.2,20.5,Medium Slow,"Pokémon with a bipedal, tailless form",Bug,5,Yellow,,70,,,,Swarm,Chlorophyll,Overcoat,0,,,3,11,1.2
Starly,396,,,,,10,,Normal,Flying,1:1,Flying,—,15,,,4080,3855,3840,4.4,2,Medium Slow,Pokémon with a single pair of wings,Normal,4,Brown,D,70,14,,,Keen Eye,,Reckless*,0,,,1,0,0.3
Totodile,158,,,,,7,,Water,,1:7,Monster,Water 1,20,5120,5376,5355,5140,5120,20.9,9.5,Medium Slow,"Pokémon with a bipedal, tailed form",Water,2,Blue,E,70,18,,,Torrent,,Sheer Force,0,Water's-edge,14,2,0,0.6
Teddiursa,216,,,,,198,,Normal,,1:1,Field,—,20,5120,5376,5355,5140,5120,19.4,8.8,Medium Fast,"Pokémon with a bipedal, tailed form",Normal,2,Brown,B,70,30,,,Pickup,Quick Feet,Honey Gather,1,Mountain,8,2,0,0.6
Exeggutor,103,,,,,103,,Grass,Psychic,1:1,Grass,—,20,5120,5376,5355,5140,5120,264.6,120,Slow,Pokémon consisting of a head and legs,Grass,1,Yellow,B,70,,,,Chlorophyll,,Harvest,0,Forest,19,6,7,2
Lunatone,337,,,,,125,,Rock,Psychic,G,Mineral,—,25,,6656,6630,6425,6400,370.4,168,Fast,Pokémon consisting of only a head,Rock,3,Yellow,F,70,,,,Levitate,,,0,Cave,9,3,3,1
Vivillon,666,,,,Elegant Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
