ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,ID,English,German,ID,English,French,ID,English,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,ID,English,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
191,Sunkern,ヒマナッツ,Himanattsu,Himanuts,191,Sunkern,Sonnkern,191,Sunkern,Tournegrin,191,Sunkern,해너츠,Haeneocheu,Haenŏch'ŭ,Haenuts,191,Sunkern,向日種子,向日种子,Xiàngrìzhǒngzǐ,Heungyahtjúngjí,-
192,Sunflora,キマワリ,Kimawari,Kimawari,192,Sunflora,Sonnflora,192,Sunflora,Héliatronc,192,Sunflora,해루미,Haerumi,Haerumi,Haerumi,192,Sunflora,向日花怪,向日花怪,Xiàngrìhuāguài,Heungyahtfāgwaai,-
193,Yanma,ヤンヤンマ,Yan'yanma,Yanyanma,193,Yanma,Yanma,193,Yanma,Yanma,193,Yanma,왕자리,Wangjari,Wangjari,Wangjari,193,Yanma,蜻蜻蜓,蜻蜻蜓,Qīngqīngtíng,Chīngchīngtìhng,"陽陽瑪 / 阳阳玛 Yángyángmǎ (TW/CN)
阳阳玛 Yèuhngyèuhngmáh (HK)"
194,Wooper,ウパー,Upā,Upah,194,Wooper,Felino,194,Wooper,Axoloto,194,Wooper,우파,Upa,Up'a,Woopa,194,Wooper,烏波,乌波,Wūbō,Wūbō,-
195,Quagsire,ヌオー,Nuō,Nuoh,195,Quagsire,Morlord,195,Quagsire,Maraiste,195,Quagsire,누오,Nuo,Nuo,Nuo,195,Quagsire,沼王,沼王,Zhǎowáng,Jíuwòhng,-
196,Espeon,エーフィ,Ēfi,Eifie,196,Espeon,Psiana,196,Espeon,Mentali,196,Espeon,에브이,Ebeui,Ebŭi,Ebeui,196,Espeon,太陽伊布,太阳伊布,Tàiyángyībù,Taaiyèuhngyībou,"太陽精靈 / 太阳精灵 Tàiyángjīnglíng (TW/CN)
太陽伊貝 Taaiyèuhngyībui (HK)"
197,Umbreon,ブラッキー,Burakkī,Blacky,197,Umbreon,Nachtara,197,Umbreon,Noctali,197,Umbreon,블래키,Beullaeki,Bŭllaek'i,Blacky,197,Umbreon,月亮伊布,月亮伊布,Yuèliàngyībù,Yuhtleuhngyībou,"月精靈 / 月精灵 Yuèjīnglíng (TW/CN)
月伊貝 Yuhtyībui (HK)"
198,Murkrow,ヤミカラス,Yamikarasu,Yamikarasu,198,Murkrow,Kramurx,198,Murkrow,Cornèbre,198,Murkrow,니로우,Nirou,Nirou,Nirou,198,Murkrow,黑暗鴉,黑暗鸦,Hēi'ànyā,Hāk'am'ā,-
199,Slowking,ヤドキング,Yadokingu,Yadoking,199,Slowking,Laschoking,199,Slowking,Roigada,199,Slowking,야도킹,Yadoking,Yadok'ing,Yadoking,199,Slowking,呆呆王,呆呆王,Dāidāiwáng,Ngòingòihwòhng,"河馬王 / 河马王 Hémǎwáng (TW/CN)
河馬王 Hòhmáhwòhng (HK)"
200,Misdreavus,ムウマ,Mūma,Muma,200,Misdreavus,Traunfugil,200,Misdreavus,Feuforêve,200,Misdreavus,무우마,Muuma,Muuma,Muuma,200,Misdreavus,夢妖,梦妖,Mèngyāo,Muhngyíu,-
201,Unown,アンノーン,Annōn,Unknown,201,Unown,Icognito,201,Unown,Zarbi,201,Unown,안농,Annong,Annong,Annown,201,Unown,未知圖騰,未知图腾,Wèizhītúténg,Meihjītòuhtàhng,-
202,Wobbuffet,ソーナンス,Sōnansu,Sonans,202,Wobbuffet,Woingenau,202,Wobbuffet,Qulbutoké,202,Wobbuffet,마자용,Majayong,Majayong,Mazayong,202,Wobbuffet,果然翁,果然翁,Guǒránwēng,Gwóyìhnyūng,-
203,Girafarig,キリンリキ,Kirinriki,Kirinriki,203,Girafarig,Girafarig,203,Girafarig,Girafarig,203,Girafarig,키링키,Kiringki,K'iringk'i,Kilingki,203,Girafarig,麒麟奇,麒麟奇,Qílínqí,Kèihlèuhnkèih,-
204,Pineco,クヌギダマ,Kunugidama,Kunugidama,204,Pineco,Tannza,204,Pineco,Pomdepik,204,Pineco,피콘,Pikon,P'ik'on,Pikon,204,Pineco,榛果球,榛果球,Zhēnguǒqiú,Jēungwókàuh,-
205,Forretress,フォレトス,Foretosu,Foretos,205,Forretress,Forstellka,205,Forretress,Foretress,205,Forretress,쏘콘,Ssokon,Ssok'on,Ssokon,205,Forretress,佛烈托斯,佛烈托斯,Fúliètuōsī,Fahtlihttoksī,"佛烈託斯 Fúliètuōsī (TW)
佛烈託斯 Fahtlihttoksī (HK)"
206,Dunsparce,ノコッチ,Nokotchi,Nokocchi,206,Dunsparce,Dummisel,206,Dunsparce,Insolourdo,206,Dunsparce,노고치,Nogochi,Nogoch'i,Nogochi,206,Dunsparce,土龍弟弟,土龙弟弟,Tǔlóngdìdì,Tóulùhngdàihdái,-
207,Gligar,グライガー,Guraigā,Gliger,207,Gligar,Skorgla,207,Gligar,Scorplane,207,Gligar,글라이거,Geullaigeo,Kŭllaigŏ,Glaiger,207,Gligar,天蠍,天蝎,Tiānxiē,Tīnkit,-
208,Steelix,ハガネール,Haganēru,Haganeil,208,Steelix,Stahlos,208,Steelix,Steelix,208,Steelix,강철톤,Gangcheolton,Kangch'ŏlt'on,Gangcheolton,208,Steelix,大鋼蛇,大钢蛇,Dàgāngshé,Daaihgongsèh,-
209,Snubbull,ブルー,Burū,Bulu,209,Snubbull,Snubbull,209,Snubbull,Snubbull,209,Snubbull,블루,Beullu,Pŭllu,Bullu,209,Snubbull,布魯,布鲁,Bùlú,Boulóuh,布盧 / 布廬 / 布卢 / 布庐Bùlú (TW/CN)
210,Granbull,グランブル,Guranburu,Granbulu,210,Granbull,Granbull,210,Granbull,Granbull,210,Granbull,그랑블루,Geurangbeullu,Kŭrangbŭllu,Granbullu,210,Granbull,布魯皇,布鲁皇,Bùlǔhuáng,Boulóuhwòhng,布盧皇 / 布廬皇 / 布卢皇 Bùlúhuáng (TW/CN)
211,Qwilfish,ハリーセン,Harīsen,Harysen,211,Qwilfish,Baldorfish,211,Qwilfish,Qwilfish,211,Qwilfish,침바루,Chimbaru,Ch'imbaru,Chimbaru,211,Qwilfish,千針魚,千针鱼,Qiānzhēnyú,Chīnjāmyú,-
212,Scizor,ハッサム,Hassamu,Hassam,212,Scizor,Scherox,212,Scizor,Cizayox,212,Scizor,핫삼,Hatsam,Hatsam,Hatsam,212,Scizor,巨鉗螳螂,巨钳螳螂,Jùqiántángláng,Geuihkìhmtòhnglòhng,-
213,Shuckle,ツボツボ,Tsubotsubo,Tsubotsubo,213,Shuckle,Pottrott,213,Shuckle,Caratroc,213,Shuckle,단단지,Dandanji,Tandanji,Dandanji,213,Shuckle,壺壺,壶壶,Húhú,Wùhwùh,-
214,Heracross,ヘラクロス,Herakurosu,Heracros,214,Heracross,Skaraborn,214,Heracross,Scarhino,214,Heracross,헤라크로스,Herakeuroseu,Herak'ŭrosŭ,Heracross,214,Heracross,赫拉克羅斯,赫拉克罗斯,Hèlākèluósī,Hāklāaihāklòhsī,"赫拉剋羅斯 Hèlākèluósī (TW)
赫拉剋羅斯 Hāklāaihāklòhsī (HK)"
215,Sneasel,ニューラ,Nyūra,Nyula,215,Sneasel,Sniebel,215,Sneasel,Farfuret,215,Sneasel,포푸니,Popuni,P'op'uni,Popuni,215,Sneasel,狃拉,狃拉,Niǔlā,Náulāai,-
216,Teddiursa,ヒメグマ,Himeguma,Himeguma,216,Teddiursa,Teddiursa,216,Teddiursa,Teddiursa,216,Teddiursa,깜지곰,Kkamjigom,Kkamjigom,Kkamjigom,216,Teddiursa,熊寶寶,熊宝宝,Xióngbǎobǎo,Hùhngbóubóu,-
217,Ursaring,リングマ,Ringuma,Ringuma,217,Ursaring,Ursaring,217,Ursaring,Ursaring,217,Ursaring,링곰,Ringgom,Ringgom,Ringgom,217,Ursaring,圈圈熊,圈圈熊,Quānquānxióng,Hyūnhyūnhùhng,-
218,Slugma,マグマッグ,Magumaggu,Magmag,218,Slugma,Schneckmag,218,Slugma,Limagma,218,Slugma,마그마그,Mageumageu,Magŭmagŭ,Magmag,218,Slugma,熔岩蟲,熔岩虫,Róngyánchóng,Yùhngngàahmchùhng,-
219,Magcargo,マグカルゴ,Magukarugo,Magcargot,219,Magcargo,Magcargo,219,Magcargo,Volcaropod,219,Magcargo,마그카르고,Mageukareugo,Magŭk'arŭgo,Magcargo,219,Magcargo,熔岩蝸牛,熔岩蜗牛,"Róngyánguāniú
Róngyánwōniú",Yùhngngàahmwōngàuh,-
220,Swinub,ウリムー,Urimū,Urimoo,220,Swinub,Quiekel,220,Swinub,Marcacrin,220,Swinub,꾸꾸리,Kkukkuri,Kkukkuri,Kkukkuri,220,Swinub,小山豬,小山猪,Xiǎoshānzhū,Síusāanjyū,-
221,Piloswine,イノムー,Inomū,Inomoo,221,Piloswine,Keifel,221,Piloswine,Cochignon,221,Piloswine,메꾸리,Mekkuri,Mekkuri,Mekkuri,221,Piloswine,長毛豬,长毛猪,Chángmáozhū,Chèuhngmòuhjyū,-
222,Corsola,サニーゴ,Sanīgo,Sunnygo,222,Corsola,Corasonn,222,Corsola,Corayon,222,Corsola,코산호,Kosanho,K'osanho,Kosanho,222,Corsola,太陽珊瑚,太阳珊瑚,Tàiyángshānhú,Taaiyèuhngsāanwùh,-
223,Remoraid,テッポウオ,Teppouo,Teppouo,223,Remoraid,Remoraid,223,Remoraid,Rémoraid,223,Remoraid,총어,Chongeo,Ch'ongŏ,Chongeo,223,Remoraid,鐵炮魚,铁炮鱼,Tiěpàoyú,Titpaauyú,-
224,Octillery,オクタン,Okutan,Okutank,224,Octillery,Octillery,224,Octillery,Octillery,224,Octillery,대포무노,Daepomuno,Taep'omuno,Daepomuno,224,Octillery,章魚桶,章鱼桶,Zhāngyútǒng,Jēungyùhtún,-
225,Delibird,デリバード,Deribādo,Delibird,225,Delibird,Botogel,225,Delibird,Cadoizo,225,Delibird,딜리버드,Dillibeodeu,Tillibŏdŭ,Delibird,225,Delibird,信使鳥,信使鸟,Xìnshǐniǎo,Seunsíníuh,-
226,Mantine,マンタイン,Mantain,Mantain,226,Mantine,Mantax,226,Mantine,Démanta,226,Mantine,만타인,Mantain,Mant'ain,Mantine,226,Mantine,巨翅飛魚,巨翅飞鱼,Jùchìfēiyú,Geuihchifēiyùh,-
227,Skarmory,エアームド,Eāmudo,Airmd,227,Skarmory,Panzaeron,227,Skarmory,Airmure,227,Skarmory,무장조,Mujangjo,Mujangjo,Mujangjo,227,Skarmory,盔甲鳥,盔甲鸟,Kuījiǎniǎo,Kwāigaapníuh,-
228,Houndour,デルビル,Derubiru,Delvil,228,Houndour,Hunduster,228,Houndour,Malosse,228,Houndour,델빌,Delbil,Delbil,Delvil,228,Houndour,戴魯比,戴鲁比,Dàilǔbǐ,Daailóuhbéi,-
229,Houndoom,ヘルガー,Herugā,Hellgar,229,Houndoom,Hundemon,229,Houndoom,Démolosse,229,Houndoom,헬가,Helga,Helga,Helga,229,Houndoom,黑魯加,黑鲁加,Hēilǔjiā,Hāklóuhgā,-
230,Kingdra,キングドラ,Kingudora,Kingdra,230,Kingdra,Seedraking,230,Kingdra,Hyporoi,230,Kingdra,킹드라,Kingdeura,K'ingdŭra,Kingdra,230,Kingdra,刺龍王,刺龙王,Cìlóngwáng,Chilùhngwòhng,-
231,Phanpy,ゴマゾウ,Gomazō,Gomazou,231,Phanpy,Phanpy,231,Phanpy,Phanpy,231,Phanpy,코코리,Kokori,K'ok'ori,Kokori,231,Phanpy,小小象,小小象,Xiǎoxiǎoxiàng,Síusíujeuhng,-
232,Donphan,ドンファン,Donfan,Donfan,232,Donphan,Donphan,232,Donphan,Donphan,232,Donphan,코리갑,Korigap,K'origap,Korigap,232,Donphan,頓甲,顿甲,Dùnjiǎ,Deuhngaap,冬凡 Dūngfàahn (HK)
233,Porygon2,ポリゴン２,Porigon Tsū,Porygon2,233,Porygon2,Porygon2,233,Porygon2,Porygon2,233,Porygon2,폴리곤2,Polligontu,P'olligont'u,Porygon2,233,Porygon2,多邊獸Ⅱ,多边兽Ⅱ,Duōbiānshòu-II,Dōbīnsau-II,"3D龍ＩＩ / 3D龙ＩＩ 3D-Lóng II (TW/CN)
立方獸ＩＩ Laahpfōngsau II (HK)"
234,Stantler,オドシシ,Odoshishi,Odoshishi,234,Stantler,Damhirplex,234,Stantler,Cerfrousse,234,Stantler,노라키,Noraki,Norak'i,Noraki,234,Stantler,驚角鹿,惊角鹿,Jīngjiǎolù,Gīnggokluhk,-
235,Smeargle,ドーブル,Dōburu,Doble,235,Smeargle,Farbeagle,235,Smeargle,Queulorior,235,Smeargle,루브도,Rubeudo,Rubŭdo,Rubeudo,235,Smeargle,圖圖犬,图图犬,Tútúquǎn,Tòuhtòuhhyún,圖畫犬 Tòuhwáhyún (HK)
236,Tyrogue,バルキー,Barukī,Balkie,236,Tyrogue,Rabauz,236,Tyrogue,Debugant,236,Tyrogue,배루키,Baeruki,Paeruk'i,Baeruki,236,Tyrogue,無畏小子,无畏小子,Wúwèixiǎozi,Mòuhwaisíují,"巴爾郎 / 巴尔郎 Bā'ěrláng (TW/CN)
巴爾郎 Bāyíhlòhng (HK)"
237,Hitmontop,カポエラー,Kapoerā,Kapoerer,237,Hitmontop,Kapoera,237,Hitmontop,Kapoera,237,Hitmontop,카포에라,Kapoera,K'ap'oëra,Kapoera,237,Hitmontop,戰舞郎,战舞郎,Zhànwǔláng,Jinmóuhlòhng,"柯波朗 Kēbōlǎng (TW/CN)
柯波朗 Ōbōlòhng (HK)"
238,Smoochum,ムチュール,Muchūru,Muchul,238,Smoochum,Kussilla,238,Smoochum,Lippouti,238,Smoochum,뽀뽀라,Ppoppora,Ppoppora,Ppoppora,238,Smoochum,迷唇娃,迷唇娃,Míchúnwá,Màihsèuhnwā,-
239,Elekid,エレキッド,Erekiddo,Elekid,239,Elekid,Elekid,239,Elekid,Élekid,239,Elekid,에레키드,Erekideu,Erek'idŭ,Elekid,239,Elekid,電擊怪,电击怪,"Diànjíguài
Diànjīguài",Dihngīkgwaai,-
240,Magby,ブビィ,Bubī,Buby,240,Magby,Magby,240,Magby,Magby,240,Magby,마그비,Mageubi,Magŭbi,Magby,240,Magby,鴨嘴寶寶,鸭嘴宝宝,Yāzuǐbǎobǎo,Aapjéuibóubóu,"小鴨嘴龍 / 小鸭嘴龙 Xiǎoyāzuǐlóng (TW/CN)
小鴨嘴龍 Síuaapjéuilùhng (HK)"
241,Miltank,ミルタンク,Mirutanku,Miltank,241,Miltank,Miltank,241,Miltank,Écrémeuh,241,Miltank,밀탱크,Miltaengkeu,Milt'aengk'ŭ,Miltank,241,Miltank,大奶罐,大奶罐,Dànǎiguàn,Daaihnáaihgun,-
242,Blissey,ハピナス,Hapinasu,Happinas,242,Blissey,Heiteira,242,Blissey,Leuphorie,242,Blissey,해피너스,Haepineoseu,Haep'inŏsŭ,Happynus,242,Blissey,幸福蛋,幸福蛋,Xìngfúdàn,Hahngfūkdáan,-
243,Raikou,ライコウ,Raikō,Raikou,243,Raikou,Raikou,243,Raikou,Raikou,243,Raikou,라이코,Raiko,Raik'o,Raikou,243,Raikou,雷公,雷公,Léigōng,Lèuihgūng,-
244,Entei,エンテイ,Entei,Entei,244,Entei,Entei,244,Entei,Entei,244,Entei,앤테이,Aentei,Aent'ei,Entei,244,Entei,炎帝,炎帝,Yándì,Yìhmdai,-
245,Suicune,スイクン,Suikun,Suicune,245,Suicune,Suicune,245,Suicune,Suicune,245,Suicune,스이쿤,Seuikun,Sŭik'un,Suicune,245,Suicune,水君,水君,Shuǐjūn,Séuigwān,-
246,Larvitar,ヨーギラス,Yōgirasu,Yogiras,246,Larvitar,Larvitar,246,Larvitar,Embrylex,246,Larvitar,애버라스,Aebeoraseu,Aebŏrasŭ,Aebeoras,246,Larvitar,幼基拉斯,幼基拉斯,Yòujīlāsī,Yaugēilāaisī,"由基拉 Yóujīlā (TW/CN)
由基拉 Yàuhgēilāai (HK)"
247,Pupitar,サナギラス,Sanagirasu,Sanagiras,247,Pupitar,Pupitar,247,Pupitar,Ymphect,247,Pupitar,데기라스,Degiraseu,Tegirasŭ,Degiras,247,Pupitar,沙基拉斯,沙基拉斯,Shājīlāsī,Sāgēilāaisī,"沙基拉 Shājīlā (TW/CN)
沙基拉 Sāgēilāai (HK)"
248,Tyranitar,バンギラス,Bangirasu,Bangiras,248,Tyranitar,Despotar,248,Tyranitar,Tyranocif,248,Tyranitar,마기라스,Magiraseu,Magirasŭ,Magiras,248,Tyranitar,班基拉斯,班基拉斯,Bānjīlāsī,Bāangēilāaisī,"班吉拉 Bānjīlā (TW/CN)
班吉拉 Bāangātlāai (HK)"
249,Lugia,ルギア,Rugia,Lugia,249,Lugia,Lugia,249,Lugia,Lugia,249,Lugia,루기아,Rugia,Rugia,Rugia,249,Lugia,洛奇亞,洛奇亚,"Luòqíyǎ
Luòqíyà",Lokkèih'a,利基亞 Leihgēi'a (HK)
250,Ho-Oh,ホウオウ,Hōō,Houou,250,Ho-Oh,Ho-Oh,250,Ho-Oh,Ho-Oh,250,Ho-Oh,칠색조,Chilsaekjo,Ch'ilsaekcho,Chilsaeckjo,250,Ho-Oh,鳳王,凤王,Fèngwáng,Fuhngwòhng,鳳凰 Fuhngwòhng (HK)
251,Celebi,セレビィ,Serebī,Celebi,251,Celebi,Celebi,251,Celebi,Celebi,251,Celebi,세레비,Serebi,Serebi,Celebi,251,Celebi,時拉比,时拉比,Shílābǐ,Sìhlāaibéi,"雪拉比 Xuělābǐ (TW/CN)
雪拉比 Syutlāaibéi (HK)"
252,Treecko,キモリ,Kimori,Kimori,252,Treecko,Geckarbor,252,Treecko,Arcko,252,Treecko,나무지기,Namujigi,Namujigi,Namujigi,252,Treecko,木守宮,木守宫,Mùshǒugōng,Muhksáugūng,-
253,Grovyle,ジュプトル,Juputoru,Juptile,253,Grovyle,Reptain,253,Grovyle,Massko,253,Grovyle,나무돌이,Namudori,Namudori,Namudori,253,Grovyle,森林蜥蜴,森林蜥蜴,Sēnlínxīyì,Sāmlàhmsīkyihk,-
254,Sceptile,ジュカイン,Jukain,Jukain,254,Sceptile,Gewaldro,254,Sceptile,Jungko,254,Sceptile,나무킹,Namuking,Namuk'ing,Namuking,254,Sceptile,蜥蜴王,蜥蜴王,Xīyìwáng,Sīkyihkwòhng,-
255,Torchic,アチャモ,Achamo,Achamo,255,Torchic,Flemmli,255,Torchic,Poussifeu,255,Torchic,아차모,Achamo,Ach'amo,Achamo,255,Torchic,火稚雞,火稚鸡,Huǒzhìjī,Fójigāi,-
256,Combusken,ワカシャモ,Wakashamo,Wakasyamo,256,Combusken,Jungglut,256,Combusken,Galifeu,256,Combusken,영치코,Yeongchiko,Yŏngchi'ik'o,Youngchiko,256,Combusken,力壯雞,力壮鸡,Lìzhuàngjī,Lihkjohnggāi,-
257,Blaziken,バシャーモ,Bashāmo,Bursyamo,257,Blaziken,Lohgock,257,Blaziken,Braségali,257,Blaziken,번치코,Beonchiko,Pŏnch'ik'o,Bunchiko,257,Blaziken,火焰雞,火焰鸡,Huǒyànjī,Fóyihmgāi,-
258,Mudkip,ミズゴロウ,Mizugorō,Mizugorou,258,Mudkip,Hydropi,258,Mudkip,Gobou,258,Mudkip,물짱이,Muljjangi,Multchangi,Muljjangi,258,Mudkip,水躍魚,水跃鱼,Shuǐyuèyú,Séuiyeuhkyú,-
259,Marshtomp,ヌマクロー,Numakurō,Numacraw,259,Marshtomp,Moorabbel,259,Marshtomp,Flobio,259,Marshtomp,늪짱이,Neupjjangi,Nŭptchangi,Nupjjangi,259,Marshtomp,沼躍魚,沼跃鱼,Zhǎoyuèyú,Jíuyeuhkyú,-
260,Swampert,ラグラージ,Ragurāji,Laglarge,260,Swampert,Sumpex,260,Swampert,Laggron,260,Swampert,대짱이,Daejjangi,Taetchangi,Daejjangi,260,Swampert,巨沼怪,巨沼怪,Jùzhǎoguài,Geuihjíugwaai,-
261,Poochyena,ポチエナ,Pochiena,Pochiena,261,Poochyena,Fiffyen,261,Poochyena,Medhyèna,261,Poochyena,포챠나,Pochyana,P'och'yana,Pochana,261,Poochyena,土狼犬,土狼犬,Tǔlángquǎn,Tóulòhnghyún,-
262,Mightyena,グラエナ,Guraena,Graena,262,Mightyena,Magnayen,262,Mightyena,Grahyèna,262,Mightyena,그라에나,Geuraena,Gŭraëna,Guraeana,262,Mightyena,大狼犬,大狼犬,Dàlángquǎn,Daaihlòhnghyún,-
263,Zigzagoon,ジグザグマ,Jiguzaguma,Jiguzaguma,263,Zigzagoon,Zigzachs,263,Zigzagoon,Zigzaton,263,Zigzagoon,지그제구리,Jigeujeguri,Chigŭjeguri,Jigujaeguri,263,Zigzagoon,蛇紋熊,蛇纹熊,Shéwénxióng,Sèhmàhnhùhng,-
264,Linoone,マッスグマ,Massuguma,Massuguma,264,Linoone,Geradaks,264,Linoone,Linéon,264,Linoone,직구리,Jikguri,Chikkuri,Jikguli,264,Linoone,直衝熊,直冲熊,Zhíchōngxióng,Jihkchūnghùhng,-
265,Wurmple,ケムッソ,Kemusso,Kemusso,265,Wurmple,Waumpel,265,Wurmple,Chenipotte,265,Wurmple,개무소,Gaemuso,Kaemuso,Gaemuso,265,Wurmple,刺尾蟲,刺尾虫,Cìwěichóng,Chiméihchùhng,-
266,Silcoon,カラサリス,Karasarisu,Karasalis,266,Silcoon,Schaloko,266,Silcoon,Armulys,266,Silcoon,실쿤,Silkun,Silk'un,Silcoon,266,Silcoon,甲殼繭,甲壳茧,"Jiǎkéjiǎn
Jiǎqiàojiǎn",Gaaphokgáan,"甲殼蛹 / 甲壳蛹 Jiǎkéyǒng / Jiǎqiàoyǒng (TW/CN)
甲殼蛹 Gaaphokyúng (HK)"
267,Beautifly,アゲハント,Agehanto,Agehunt,267,Beautifly,Papinella,267,Beautifly,Charmillon,267,Beautifly,뷰티플라이,Byutipeullai,Pyut'ip'ŭllai,Beautifly,267,Beautifly,狩獵鳳蝶,狩猎凤蝶,Shòulièfèngdié,Saulihpfuhngdihp,-
268,Cascoon,マユルド,Mayurudo,Mayuld,268,Cascoon,Panekon,268,Cascoon,Blindalys,268,Cascoon,카스쿤,Kaseukun,K'asŭk'un,Cascoon,268,Cascoon,盾甲繭,盾甲茧,Dùnjiǎjiǎn,Téuhngaapgáan,-
269,Dustox,ドクケイル,Dokukeiru,Dokucale,269,Dustox,Pudox,269,Dustox,Papinox,269,Dustox,독케일,Dokkeil,Tokk'eil,Dokkeil,269,Dustox,毒粉蛾,毒粉蛾,Dúfěn'é,Duhkfanngòh,"毒粉蝶 Dúfěndié (TW/CN)
毒粉蝶 Duhkfandihp (HK)"
270,Lotad,ハスボー,Hasubō,Hassboh,270,Lotad,Loturzel,270,Lotad,Nénupiot,270,Lotad,연꽃몬,Yeonkkonmon,Yŏnkkonmon,Yeonkkotmon,270,Lotad,蓮葉童子,莲叶童子,Liányètóngzǐ,Lìhnyihptùhngjí,-
271,Lombre,ハスブレロ,Hasuburero,Hasubrero,271,Lombre,Lombrero,271,Lombre,Lombre,271,Lombre,로토스,Rotoseu,Rot'osŭ,Rotosu,271,Lombre,蓮帽小童,莲帽小童,Liánmàoxiǎotóng,Lìhnmóusíutùhng,-
272,Ludicolo,ルンパッパ,Runpappa,Runpappa,272,Ludicolo,Kappalores,272,Ludicolo,Ludicolo,272,Ludicolo,로파파,Ropapa,Rop'ap'a,Ropapa,272,Ludicolo,樂天河童,乐天河童,Lètiānhétóng,Lohktīnhòhtùhng,-
273,Seedot,タネボー,Tanebō,Taneboh,273,Seedot,Samurzel,273,Seedot,Grainipiot,273,Seedot,도토링,Dotoring,Tot'oring,Dotoring,273,Seedot,橡實果,橡实果,Xiàngshíguǒ,Jeuhngsahtgwó,-
274,Nuzleaf,コノハナ,Konohana,Konohana,274,Nuzleaf,Blanas,274,Nuzleaf,Pifeuil,274,Nuzleaf,잎새코,Ipsaeko,Ipsaek'o,Ipseko,274,Nuzleaf,長鼻葉,长鼻叶,Chángbíyè,Chèuhngbeihyihp,-
275,Shiftry,ダーテング,Dātengu,Dirteng,275,Shiftry,Tengulist,275,Shiftry,Tengalice,275,Shiftry,다탱구,Dataenggu,Tat'aenggu,Datenggu,275,Shiftry,狡猾天狗,狡猾天狗,Jiǎohuátiāngǒu,Gáauwaahttīngáu,-
276,Taillow,スバメ,Subame,Subame,276,Taillow,Schwalbini,276,Taillow,Nirondelle,276,Taillow,테일로,Teillo,T'eillo,Tailow,276,Taillow,傲骨燕,傲骨燕,Àogǔyàn,Ngouhgwātyin,-
277,Swellow,オオスバメ,Ōsubame,Ohsubame,277,Swellow,Schwalboss,277,Swellow,Hélédelle,277,Swellow,스왈로,Seuwallo,Sŭwallo,Swalow,277,Swellow,大王燕,大王燕,Dàwángyàn,Daaihwòhngyin,-
278,Wingull,キャモメ,Kyamome,Camome,278,Wingull,Wingull,278,Wingull,Goélise,278,Wingull,갈모매,Galmomae,Kalmomae,Galmomae,278,Wingull,長翅鷗,长翅鸥,Chángchì'ōu,Chèuhngchi'āu,-
279,Pelipper,ペリッパー,Perippā,Pelipper,279,Pelipper,Pelipper,279,Pelipper,Bekipan,279,Pelipper,패리퍼,Paeripeo,P'aerip'ŏ,Pelipper,279,Pelipper,大嘴鷗,大嘴鸥,Dàzuǐ'ōu,Daaihjéui'āu,-
280,Ralts,ラルトス,Rarutosu,Ralts,280,Ralts,Trasla,280,Ralts,Tarsal,280,Ralts,랄토스,Raltoseu,Ralt'osŭ,Raltos,280,Ralts,拉魯拉絲,拉鲁拉丝,Lālǔlāsī,Lāailóuhlāaisī,-
281,Kirlia,キルリア,Kiruria,Kirlia,281,Kirlia,Kirlia,281,Kirlia,Kirlia,281,Kirlia,킬리아,Killia,K'illia,Kirlia,281,Kirlia,奇魯莉安,奇鲁莉安,Qílǔlì'ān,Kèihlouhleih'ōn,-
282,Gardevoir,サーナイト,Sānaito,Sirnight,282,Gardevoir,Guardevoir,282,Gardevoir,Gardevoir,282,Gardevoir,가디안,Gadian,Kadian,Gadian,282,Gardevoir,沙奈朵,沙奈朵,Shānàiduǒ,Sānoihdó,-
283,Surskit,アメタマ,Ametama,Ametama,283,Surskit,Gehweiher,283,Surskit,Arakdo,283,Surskit,비구술,Bigusul,Pigusul,Bigusul,283,Surskit,溜溜糖球,溜溜糖球,Liūliūtángqiú,Līulīutóngkàuh,-
284,Masquerain,アメモース,Amemōsu,Amemoth,284,Masquerain,Maskeregen,284,Masquerain,Maskadra,284,Masquerain,비나방,Binabang,Pinabang,Binabang,284,Masquerain,雨翅蛾,雨翅蛾,Yǔchì'é,Yúhchi'ngòh,-
285,Shroomish,キノココ,Kinokoko,Kinococo,285,Shroomish,Knilz,285,Shroomish,Balignon,285,Shroomish,버섯꼬,Beoseotkko,Pŏsŏtkko,Bosotkko,285,Shroomish,蘑蘑菇,蘑蘑菇,Mómógū,Mòhmòhgū,-
286,Breloom,キノガッサ,Kinogassa,Kinogassa,286,Breloom,Kapilz,286,Breloom,Chapignon,286,Breloom,버섯모,Beoseonmo,Pŏsŏnmo,Bosotmo,286,Breloom,斗笠菇,斗笠菇,Dǒulìgū,Dáulāpgū,-
287,Slakoth,ナマケロ,Namakero,Namakero,287,Slakoth,Bummelz,287,Slakoth,Parecool,287,Slakoth,게을로,Geeullo,Keŭllo,Geulro,287,Slakoth,懶人獺,懒人獭,Lǎnréntà,Láahnyàhnchaat,"懶人翁 / 懒人翁 Lǎnrénwēng (TW/CN)
懶人翁 Láahnyàhnyūng (HK)"
